identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19491104-0,Friday,04-NOV-1949,21:34,A1, Approach (APR),"Akron/Canton Airport, OH (CAK)",United States of America,3,3, Damaged beyond repair,-,Douglas R4D-1 (DC-3),2,Pratt & Whitney R-1830,1942,-,1965.0, NC29086, 4304,Harrington's Inc,Cargo,-,Philadelphia-North Philadelphia Airport,PNE,KPNE,United States of America,-,-,-,-,3,0,3,0,-,-,Final
19491104-1,Friday,04-NOV-1949,-,A1, Takeoff (TOF),"Calgary Municipal Airport, AB (YYC)",Canada,8,0, Damaged beyond repair,-,Lockheed 18-08A Lodestar,-,-,1941,-,-, CF-TCU, 18-2060,Pacific Petroleum,Passenger,-,Calgary Municipal Airport,YYC,CYYC,Canada,-,-,-,-,-,-,0,0,-,-,-
19491104-2,Friday,04-NOV-1949,-,A1, Initial climb (ICL),"11 km (6.9 mls) S of Shreveport-Barksdale AFB, LA (BAD)",United States of America,9,1, Damaged beyond repair,-,Fairchild C-82A Packet,-,-,-,-,-, 44-22996, 10040,USAF,Military,-,Shreveport-Barksdale AFB,BAD,KBAD,United States of America,-,-,-,-,-,-,1,0,-,1,-
19491107-0,Monday,07-NOV-1949,-,U1, Unknown (UNK),Tripoli-Castel Benito Airport (TIP),Libya,-,-, Damaged beyond repair,-,Avro 691 Lancastrian C.1,-,-,-,-,-, G-AGMM, 1192,BOAC,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19491108-0,Tuesday,08-NOV-1949,-,A1, En route (ENR),120 km (75 mls) from  Mengzi,China,-,-, Damaged beyond repair,-,Douglas C-47B-20-DK (DC-3),-,-,1945,-,-, XT-805, 27167/15722,Civil Air Transport,Cargo,-,-,-,-,-,Haiphong-Cat Bi Airport,HPH,VVCI,Vietnam,-,-,-,-,-,-,-
19491111-0,Friday,11-NOV-1949,-,U1, Unknown (UNK),Las Piedros,Venezuela,-,-, Damaged beyond repair,-,Curtiss C-46,-,-,-,-,-, YV-C-AQG,-,T.A. Transandino,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19491113-0,Sunday,13-NOV-1949,-,A1, Unknown (UNK),Lanywa,Myanmar,-,-, Damaged beyond repair,-,Douglas C-47A-25-DK (DC-3),-,-,1944,-,-, UBT-705, 13512,Burmese AF,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19491115-1,Tuesday,15-NOV-1949,-,A1, Landing (LDG),Nairobi-Civil Airport,Kenya,-,0, Damaged beyond repair,-,Avro 685 York C.1,4,Rolls-Royce Merlin,-,-,-, MW297,-,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19491117-0,Thursday,17-NOV-1949,-,A1, Unknown (UNK),Yangon-Mingaladon Airport (RGN),Myanmar,-,-, Damaged beyond repair,-,Douglas C-47A-90-DL (DC-3),-,-,1944,-,-, HS-TA180, 20583,Trans Asiatic Airlines,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19491119-0,Saturday,19-NOV-1949,10:11,A2, Approach (APR),"Detroit, MI",United States of America,2,2, Substantial, Repaired,Douglas C-47A-90-DL (DC-3),2,Pratt & Whitney R-1830,1944,-,3416.0, NC54337, 20136,Meteor Air Transport,Cargo, 959,Dunkirk Airport,DKK,KDKK,United States of America,Detroit City Airport,DET,KDET,United States of America,2,0,2,0,-,1,Final
19491120-0,Sunday,20-NOV-1949,16:56,A1, Approach (APR),"31,5 km (19.7 mls) S of Oslo-Fornebu Airport (FBU)",Norway,35,34, Destroyed, Written off (damaged beyond repair),Douglas C-47A-25-DK (DC-3),2,Pratt & Whitney R-1830-92,1944,-,1697.0, PH-TFA, 13462,Aero Holland,Int'l Non Scheduled Passenger,-,Brussel-Zaventem Airport,BRU,EBBR,Belgium,Oslo-Fornebu Airport,FBU,ENFB,Norway,4,31,4,30,-,-,Final
19491120-1,Sunday,20-NOV-1949,-,A1, Takeoff (TOF),Seletar Island,Singapore,12,5, Damaged beyond repair,-,Short Sunderland GR.5,-,-,-,-,-, NJ176,-,RAF,Military,-,Singapore-Seletar Airport,XSP,WSSL,Singapore,Hong Kong-Kai Tak RAF Station,HKG,VHHH,Hong Kong,8,4,2,3,-,-,-
19491124-0,Thursday,24-NOV-1949,-,A1, Landing (LDG),Menorca-Mahón Airport (MAH),Spain,26,0, Damaged beyond repair,-,Bristol 170 Freighter 21E,-,-,-,-,-, EC-ADK, 12777,Aviaco,Domestic Scheduled Passenger,-,Barcelona-El Prat Airport,BCN,LEBL,Spain,Menorca-Mahón Airport,MAH,LEMH,Spain,4,22,0,0,-,-,-
