identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20180606-1,Wednesday,06-JUN-2018,14:00,A1, Maneuvering (MNV),"Baleni, Galati County",Romania,2,0, Destroyed, Written off (damaged beyond repair),Antonov An-2R,-,-,-,-,-, YR-DAX, 1G216-16,Aeroserv,Agricultural,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,Preliminary
20180609-0,Saturday,09-JUN-2018,14:50,A2, Landing (LDG),Jumla Airport (JUM),Nepal,21,0, Substantial, Repaired,de Havilland Canada DHC-6 Twin Otter 300,-,-,1980,-,-, 9N-AEV, 729, Tara Air,Domestic Scheduled Passenger,-,Nepalganj Airport,KEP,VNNG,Nepal,Jumla Airport,JUM,VNJL,Nepal,3,18,0,0,-,-,Preliminary
20180611-0,Monday,11-JUN-2018,-,O1, Pushback / towing (PBT),Frankfurt International Airport (FRA),Germany,0,0, Substantial, Written off (damaged beyond repair),Airbus A340-313,4,CFMI CFM56-5C4,2000,-,-, 	D-AIFA, 352,Lufthansa,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20180611-1,Monday,11-JUN-2018,14:54,A2, Approach (APR),Beaver Island Airstrip,Falkland Islands,3,0, Substantial,-,Pilatus Britten-Norman BN-2B-26 Islander,2,Lycoming O-540-E4C5,1989,-,-, VP-FBM, 2200,FIGAS,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,1,2,0,0,-,-,Final
20180614-0,Thursday,14-JUN-2018,-,O1, Standing (STD),Mendi Airport (MDU),Papua New Guinea,0,0, Destroyed, Written off (damaged beyond repair),de Havilland Canada DHC-8-202Q Dash 8,2,Pratt & Whitney Canada PW123D,1997,-,-, P2-ANX, 463,LinkPNG,Domestic Scheduled Passenger,PX861,Mendi Airport,MDU,AYMN,Papua New Guinea,Port Moresby-Jacksons International Airport,POM,AYPY,Papua New Guinea,0,0,0,0,-,-,-
20180614-1,Thursday,14-JUN-2018,20:40,A1, Landing (LDG),Kiev-Igor Sikorsky International Airport (IEV),Ukraine,169,0, Substantial,-,McDonnell Douglas MD-83,-,-,1991,-,-, UR-CPR, 49946/1898,Bravo Airways,Int'l Non Scheduled Passenger,BAY4406,Antalya Airport,AYT,LTAI,Turkey,Kiev-Igor Sikorsky International Airport,IEV,UKKK,Ukraine,-,-,0,0,-,-,Preliminary
20180618-0,Monday,18-JUN-2018,14:52,A2, Approach (APR),"6,7 km (4.2 mls) E of Nabire Airport (NBX)",Indonesia,13,0, Substantial,-,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,2007,15519.0,11276.0, PK-FSL, 208B1254,Spirit Avia Sentosa,Domestic Non Scheduled Passenger,-,Bilogai/Sugapa Airport,ZGP,WAYB,Indonesia,Nabire Airport,NBX,WABI,Indonesia,2,11,0,0,-,-,Preliminary - official
20180621-0,Thursday,21-JUN-2018,04:10,O2, Standing (STD),"Columbus-John Glenn International Airport, OH (CMH)",United States of America,0,0, Unknown,-,Embraer ERJ-170LR (ERJ-170-100 LR),2,General Electric CF34-8E5,2007,-,-, N876RW, 17000187,Republic Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,- (No safety board investigation)
20180622-0,Friday,22-JUN-2018,13:05,C2, Landing (LDG),Kenyam Airstrip,Indonesia,20,0, Minor,-,de Havilland Canada DHC-6 Twin Otter 300,-,-,1976,-,-, PK-HVU,-,Dimonim Air,Passenger,-,Timika-Moses Kilangin (Tembagapura) Airport,TIM,WABP,Indonesia,-,-,-,-,3,17,0,0,-,-,-
20180624-0,Sunday,24-JUN-2018,10:30,A1, En route (ENR),"Souguéta, Kindia",Guinea,4,4, Destroyed, Written off (damaged beyond repair),Let L-410UVP,-,-,-,-,-, registration unknown,-,Eagle Air,Cargo,-,Conakry Airport,CKY,DGCY,Guinea,-,-,-,-,4,0,4,0,-,-,-
20180625-0,Monday,25-JUN-2018,10:00,C2, Taxi (TXI),Kenyam Airstrip,Indonesia,18,0, Minor,-,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1980,-,-, PK-YRU, 685,Trigana Air Service,Domestic Non Scheduled Passenger,-,Wamena Airport,WMX,WAJW,Indonesia,-,-,-,-,3,15,0,0,-,-,-
20180626-0,Tuesday,26-JUN-2018,08:00,O2, Standing (STD),Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS),South Korea,-,0, Substantial, Repaired,Boeing 777-2B5ER,2,Pratt & Whitney PW4090,2007,-,-, HL7764, 34214/684,Korean Air,International Scheduled Passenger,KE2725,Seoul-Gimpo (Kimpo) International Airport,SEL,RKSS,South Korea,Osaka-Kansai International Airport,KIX,RJBB,Japan,-,-,0,0,-,-,-
20180626-1,Tuesday,26-JUN-2018,08:00,O2, Pushback / towing (PBT),Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS),South Korea,-,0, Minor,-,Airbus A330-323,2,Pratt & Whitney PW4168A,2013,-,-, HL8286, 1464,Asiana Airlines,International Scheduled Passenger,OZ3355,Seoul-Gimpo (Kimpo) International Airport,SEL,RKSS,South Korea,Beijing-Capital Airport,PEK,ZBAA,China,-,0,0,0,-,-,-
20180626-2,Tuesday,26-JUN-2018,08:50,A2, Taxi (TXI),"Salt Lake City International Airport, UT (SLC)",United States of America,3,0, Substantial,-,Learjet 60,2,Pratt & Whitney Canada PW305A,1994,-,-, N57, 60-039,FAA,Survey/research,-,Salt Lake City International Airport,SLC,KSLC,United States of America,-,-,-,-,3,0,0,0,-,-,Preliminary - official
20180626-3,Tuesday,26-JUN-2018,-,O1, Standing (STD),Damascus International Airport (DAM),Syria,0,0, Destroyed, Written off (damaged beyond repair),Ilyuhsin Il-76,-,-,-,-,-, registration unknown,-,Iran AF,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20180627-0,Wednesday,27-JUN-2018,-,A2, En route (ENR),"Nizhneudinsk, Irkutsk region",Russia,4,0, Substantial,-,Antonov An-2R,-,-,1977,-,-, RA-62524, 1G175-47,Feniks,Survey/research,-,-,-,-,-,-,-,-,-,2,2,0,0,-,-,-
20180630-0,Saturday,30-JUN-2018,14:10,A2, En route (ENR),San Pedro Airport (SPR),Belize,8,0, Substantial,-,IRMA/Pilatus Britten-Norman BN-2A-26 Islander,-,-,1981,-,-, V3-HFB, 907,Maya Island Air,Passenger,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,Preliminary
