identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19501104-1,Saturday,04-NOV-1950,-,A1, Takeoff (TOF),Misawa Air Base (MSJ),Japan,-,-, Damaged beyond repair,-,Douglas SC-47D,2,Pratt & Whitney R-1830-90,1944,-,-, 43-49681, 26942/15497,USAF,Military,-,Misawa Airport,MSJ,RJSM,Japan,-,-,-,-,-,-,-,-,-,-,-
19501105-0,Sunday,05-NOV-1950,-,A1, Unknown (UNK),"Schofields, NSW",Australia,-,-, Damaged beyond repair,-,Douglas C-47B-35-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, A65-116, 33453/16705,RAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19501107-0,Tuesday,07-NOV-1950,08:15,A1, Approach (APR),"5 km (3.1 mls) E of Butte Airport, MT (BTM)",United States of America,21,21, Damaged beyond repair,-,Martin 2-0-2,2,Pratt & Whitney R-2800-CA18,1947,-,6166.0, N93040, 9161,Northwest Orient Airlines,Domestic Scheduled Passenger, 115,Helena Airport,HLN,KHLN,United States of America,Butte Airport,BTM,KBTM,United States of America,4,17,4,17,-,-,Final
19501107-1,Tuesday,07-NOV-1950,-,A1, Takeoff (TOF),Arctic Ice Station SP-2,Arctic Ocean,-,-, Damaged beyond repair,-,Lisunov PS-84,-,-,-,-,-, CCCP-N359, 23441901,GUSMP,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19501108-0,Wednesday,08-NOV-1950,-,A1, Unknown (UNK),La Paz-El Alto Airport (LPB),Bolivia,2,0, Damaged beyond repair,-,Curtiss C-46D-10-CU Commando,-,-,1945,-,-, CB-47, 33245,Frigorífico Cooperativo Los Andes,Cargo,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19501109-0,Thursday,09-NOV-1950,-,A1, Landing (LDG),"Kenai Airport, AK (ENA)",United States of America,-,-, Damaged beyond repair,-,Douglas C-47D,2,Pratt & Whitney R-1830-90,1944,-,-, 43-49529, 26790/15345,USAF,Military,-,-,-,-,-,Kenai Airport,ENA,PAEN,United States of America,-,-,-,-,-,-,-
19501109-1,Thursday,09-NOV-1950,-,A1, Unknown (UNK),"4,5 km (2.8 mls) N of Pyongyang",North Korea,3,3, Damaged beyond repair,-,Douglas C-54D-10-DC (DC-4),-,-,1945,-,-, 42-72742, 10847,USAF,Military,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19501109-2,Thursday,09-NOV-1950,-,A1, Unknown (UNK),Pusan East (K-9) Air Base,South Korea,-,-, Damaged beyond repair,-,Fairchild C-119C Flying Boxcar,-,-,-,-,-, 49-166, 10403,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19501109-3,Thursday,09-NOV-1950,16:23,A1, Approach (APR),2 km (1.3 mls) NE of Turukhansk Airport (THX),Russia,12,2, Damaged beyond repair,-,Douglas TS-62 (DC-3),-,-,1945,-,3858.0, CCCP-L1098, 34235/16974,Aeroflot / Krasnoyarsk,Domestic Scheduled Passenger,-,Turukhansk Airport,THX,UOTT,Russia,-,-,-,-,4,8,0,2,-,-,-
19501110-1,Friday,10-NOV-1950,-,A1, Unknown (UNK),at an unknown location,Mexico,-,0, Damaged beyond repair,-,Douglas C-47 (DC-3),-,-,-,-,-, XB-KWZ,-,Federal Electricity Commission,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19501111-0,Saturday,11-NOV-1950,-,A1, Approach (APR),"19 km (11.9 mls) NW of Pickens, SC",United States of America,4,4, Damaged beyond repair,-,Fairchild C-82A Packet,-,-,1947,-,-, 45-57739, 10109,USAF,Military,-,Montgomery-Maxwell AFB,MXF,KMXF,United States of America,Greenville-Donaldson AFB,GDC,KGYH,United States of America,4,0,4,0,-,-,-
19501111-1,Saturday,11-NOV-1950,-,A1, Unknown (UNK),Emirdag,Turkey,4,4, Damaged beyond repair,-,Douglas C-47B-5-DK (DC-3),-,-,1944,-,-, 43-6017, 26047/14602,Turkish AF,Military,-,Afyon Airport,AFY,LTAH,Turkey,-,-,-,-,4,0,4,0,-,-,-
19501113-1,Monday,13-NOV-1950,18:00,A1, En route (ENR),48 km (30 mls) S of Grenoble,France,58,58, Destroyed, Written off (damaged beyond repair),Douglas C-54B-1-DC (DC-4),-,-,1945,-,-, CF-EDN, 10518,Curtiss Reid Flying Services,Int'l Non Scheduled Passenger,-,Roma-Ciampino Airport,CIA,LIRA,Italy,Paris-Orly Airport,ORY,LFPO,France,7,51,7,51,-,-,-
19501115-0,Wednesday,15-NOV-1950,-,A1, Unknown (UNK),La Paz,Bolivia,2,0, Damaged beyond repair,-,Curtiss C-46,-,-,-,-,-, CB-48,-,Frigorífico Cooperativo Los Andes,Unknown,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19501115-1,Wednesday,15-NOV-1950,-,A1, Unknown (UNK),Fagaras Mountains,Romania,-,-, Damaged beyond repair,-,Lisunov Li-2P,-,-,-,-,-, YR-TAA, 18423501,TARS,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19501116-0,Thursday,16-NOV-1950,-,A1, Approach (APR),off Hobsonville Air Base (NZHB),New Zealand,2,0, Damaged beyond repair,-,Douglas C-47B-35-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, NZ3549, 33482/16734,New Zealand AF,Military,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19501117-0,Friday,17-NOV-1950,-,A1, Landing (LDG),Surabaya-Juanda Airport (SUB),Indonesia,23,2, Damaged beyond repair,-,Douglas C-47A-65-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, PK-DPB, 19005,Garuda,Domestic Scheduled Passenger,-,-,-,-,-,Surabaya-Juanda Airport,SUB,WARR,Indonesia,3,20,2,0,-,-,-
19501117-2,Friday,17-NOV-1950,-,A1, Taxi (TXI),"Greenville-Donaldson AFB, SC (GDC)",United States of America,-,0, Damaged beyond repair,-,Fairchild C-82A-20-FA Packet,-,-,1946,-,-, 44-23024, 10068,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19501118-0,Saturday,18-NOV-1950,-,A2, Landing (LDG),"Long Beach Airport, CA (LGB)",United States of America,60,0, Substantial, Written off (damaged beyond repair),Lockheed L-049 Constellation,-,-,1945,-,-, NC86511, 2035,TWA,Domestic Scheduled Passenger,-,Los Angeles International Airport,LAX,KLAX,United States of America,-,-,-,-,5,55,0,0,-,-,Preliminary
19501119-0,Sunday,19-NOV-1950,-,A1, Initial climb (ICL),near Pyongyang Air Base,North Korea,-,0, Damaged beyond repair,-,Douglas C-54D-10-DC (DC-4),-,-,1945,-,-, 42-72662, 10767,USAF,Military,-,Pyongyang-Sunan Aiport,FNJ,ZKPY,North Korea,-,-,-,-,-,-,0,0,-,-,-
19501121-0,Tuesday,21-NOV-1950,-,A1, Unknown (UNK),13 km (8.1 mls) SW of Hyesanjin,North Korea,3,3, Damaged beyond repair,-,Douglas C-47D (DC-3),2,Pratt & Whitney R-1830-90,1944,-,-, 43-49704, 26965/15520,USAF,Military,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19501122-0,Wednesday,22-NOV-1950,-,A1, Landing (LDG),Neubiberg Air Base,Germany,-,0, Damaged beyond repair,-,Fairchild C-82A Packet,-,-,1947,-,-, 45-57743, 10113,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19501122-2,Wednesday,22-NOV-1950,-,A1, En route (ENR),"Mount Moran, WY",United States of America,21,21, Damaged beyond repair,-,Douglas DC-3C,-,-,1944,-,-, N74586, 19711,New Tribes Mission,Domestic Non Scheduled Passenger,-,Chico Airport,CIC,KCIC,United States of America,Billings Municipal Airport,BIL,KBIL,United States of America,3,18,3,18,-,-,-
19501123-0,Thursday,23-NOV-1950,-,A1, Unknown (UNK),Cuzco,Peru,9,9, Damaged beyond repair,-,Douglas C-47B-25-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, OB-PAU-201, 32740/15992,Faucett,Domestic Scheduled Passenger,-,Puerto Maldonado Airport,PEM,SPTU,Peru,Quincemil Airport,UMI,SPIL,Peru,4,5,4,5,-,-,-
19501124-0,Friday,24-NOV-1950,-,A1, Unknown (UNK),near Medellín,Colombia,2,0, Damaged beyond repair,-,Curtiss C-46D-15-CU Commando,-,-,1945,-,-, HK-330, 33470,LIDCA,Cargo,-,-,-,-,-,Barranquilla-Soledad Airport,BAQ,SKBQ,Colombia,2,0,0,0,-,-,-
19501125-0,Saturday,25-NOV-1950,-,A1, Unknown (UNK),near Khitokha,Bhutan,3,3, Damaged beyond repair,-,Douglas C-47A-20-DK (DC-3),-,-,1944,-,-, VT-COI, 13137,Indamer,Cargo,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19501125-1,Saturday,25-NOV-1950,-,A1, Approach (APR),near Holguín Airport (HOG),Cuba,25,0, Damaged beyond repair,-,Douglas DC-3A,-,-,1943,-,-, CU-T7, 11646,Cubana,Unknown,-,Havana-Rancho Boyeros Airport,HAV,MUHA,Cuba,Holguín-Frank Pais Airport,HOG,MUHG,Cuba,-,-,0,0,-,-,-
19501127-1,Monday,27-NOV-1950,-,A1, En route (ENR),"3,7 km (2.3 mls) off  Yokohama Bay, near Kaena Point, HI",United States of America,5,5, Damaged beyond repair,-,Lockheed P2V-2 Neptune,-,-,-,-,-, 39340, 126-1039,US Navy,Military,-,-,-,-,-,-,-,-,-,5,0,5,0,-,-,-
19501128-0,Tuesday,28-NOV-1950,-,A1, En route (ENR),S of Bandung,Indonesia,27,15, Damaged beyond repair,-,Douglas C-47B-25-DK (DC-3),-,-,1945,-,-, T-446, 32692/15944,Indonesian AF,Military,-,Bandung Airport,BDO,WICC,Indonesia,Tasikmalaya/Cibeureum Airport,TSY,WICM,Indonesia,3,24,3,12,-,-,-
19501201-0,Friday,01-DEC-1950,-,A1, En route (ENR),NNW of Chamaran,Iran,8,8, Damaged beyond repair,-,Douglas C-47A-25-DK (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, EP-AAJ, 13572,Iranian Airways,Domestic Scheduled Passenger,-,Tabriz Airport,TBZ,OITT,Iran,Tehran-Mehrabad Airport,THR,OIII,Iran,7,1,7,1,-,-,-
19501201-1,Friday,01-DEC-1950,-,A1, Landing (LDG),Hagaru-ri Airstrip,North Korea,3,0, Damaged beyond repair,-,Douglas R4D-6 (DC-3),-,-,1944,-,-, 50767, 26303/14858,USMC,Military,-,-,-,-,-,-,-,-,-,3,0,0,0,-,-,-
19501202-0,Saturday,02-DEC-1950,-,A1, Takeoff (TOF),3 km (1.9 mls) ESE of Hagaru-ri Airstrip,North Korea,38,0, Damaged beyond repair,-,Douglas C-47D,2,Pratt & Whitney R-1830-90,1945,-,-, 45-949, 34211/16952,USAF,Military,-,-,-,-,-,-,-,-,-,3,35,0,0,-,-,-
19501204-0,Monday,04-DEC-1950,-,A1, Landing (LDG),Kabrit RAF Station,Egypt,3,0, Damaged beyond repair,-,Vickers Valetta C.1,2,Bristol Hercules 230,1949,-,-, VW805, 366,RAF,Military,-,-,-,-,-,-,-,-,-,3,0,0,0,-,-,-
19501206-0,Wednesday,06-DEC-1950,-,A1, Taxi (TXI),Su Won (K-13) Air Base (SWU),South Korea,-,0, Damaged beyond repair,-,Douglas C-47B-25-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, A65-74, 32680/15932,RAAF,Military,-,-,-,-,-,Su Won (K-13) Air Base,SWU,RKSW,South Korea,-,-,0,0,-,-,-
19501208-0,Friday,08-DEC-1950,19:37,A1, Initial climb (ICL),16 km (10 mls) S of Bangui Airport (BGF),Central African Republic,56,46, Damaged beyond repair,-,Douglas C-54A-DO (DC-4),-,-,1943,-,-, F-BELB, 3084,TAI,International Scheduled Passenger,-,Bangui Airport,BGF,FEFF,Central African Republic,Dar Es Salaam International Airport,DAR,HTDA,Tanzania,6,50,3,43,-,-,-
19501208-1,Friday,08-DEC-1950,-,A1, En route (ENR),near Col de l'Ouillat,France,7,5, Damaged beyond repair,-,Douglas C-47B-25-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, F-BAXY, 32848/16100,Air Atlas,Passenger,-,-,-,-,-,Perpignan Airport,PGF,LFMP,France,3,4,3,2,-,-,-
19501208-2,Friday,08-DEC-1950,-,A1, Landing (LDG),Yonpo Airfield,North Korea,10,1, Damaged beyond repair,-,Curtiss C-46F-1-CU Commando,-,-,1945,-,-, XT-44, 22502,Civil Air Transport,Military,-,-,-,-,-,-,-,-,-,4,6,0,1,-,-,-
