identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19630101-0,Tuesday,01-JAN-1963,-,A1, Unknown (UNK),Banhilal,India,2,2, Damaged beyond repair,-,Fairchild C-119 Flying Boxcar,-,-,-,-,-, registration unknown,-,Indian AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19630107-0,Monday,07-JAN-1963,-,A1, Unknown (UNK),"off Alameda NAS, CA (NGZ)",United States of America,-,0, Damaged beyond repair,-,Lockheed P-2H Neptune,-,-,-,-,-, 140966, 726-7068,US Navy,Military,-,Alameda NAS,NGZ,KNGZ,United States of America,-,-,-,-,-,-,0,0,-,-,-
19630110-0,Thursday,10-JAN-1963,-,A1, Approach (APR),"Kodiak NAS, AK (ADQ)",United States of America,12,7, Damaged beyond repair,-,Lockheed P-2H Neptune,-,-,-,-,-, 135559, 726-7016,US Navy,Military,-,-,-,-,-,Kodiak NAS,ADQ,PADQ,United States of America,12,0,7,0,-,-,-
19630111-0,Friday,11-JAN-1963,-,O1, Standing (STD),"Moncton-Metropolitan Area Airport, NB (YQM)",Canada,0,0, Destroyed, Written off (damaged beyond repair),Curtiss C-46E-1-CS Commando,-,-,1945,-,-, CF-HTI,  2932,Maritime Central Airways,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19630111-1,Friday,11-JAN-1963,11:00,A1, En route (ENR),near Périllos,France,12,12, Destroyed, Written off (damaged beyond repair),Lockheed L-749A Constellation,-,-,1947,-,-, F-BAZM, 2545,SGAC,Training,-,-,-,-,-,-,-,-,-,12,0,12,0,-,-,-
19630113-0,Sunday,13-JAN-1963,02:33,O1, Standing (STD),"Memphis Municipal Airport, TN (MEM)",United States of America,0,0, Substantial, Repaired,Fairchild C-123B Provider,-,-,-,-,-, 54-0589, 20038,USAF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,Final
19630113-1,Sunday,13-JAN-1963,02:33,A2, Taxi (TXI),"Memphis Municipal Airport, TN (MEM)",United States of America,5,1, Substantial, Repaired,Douglas DC-7,-,-,1954,-,-, N4875C, 44679/526,USAF,Ferry/positioning,-,Memphis Municipal Airport,MEM,KMEM,United States of America,-,-,-,-,5,0,1,0,-,-,Final
19630115-0,Tuesday,15-JAN-1963,-,A2, Landing (LDG),Colombo-Katunayake International Airport (CMB),Sri Lanka,7,0, Substantial, Repaired,Douglas DC-6A,-,-,1956,-,-, G-APON, 45058/662,Cunard Eagle Airways,Cargo,-,Aden International Airport,ADE,ODAA,Yemen,Colombo-Katunayake International Airport,CMB,VCBI,Sri Lanka,7,0,0,0,-,-,Preliminary - official
19630115-1,Tuesday,15-JAN-1963,16:12,A1, Initial climb (ICL),"4 km (2.5 mls) S of São Paulo-Congonhas Airport, SP (CGH)",Brazil,45,6, Damaged beyond repair,-,Convair CV-240-0,-,-,1948,-,-, PP-CEV,   6,Cruzeiro do Sul,Domestic Scheduled Passenger,-,São Paulo-Congonhas Airport,CGH,SBSP,Brazil,-,-,-,-,5,40,1,5,-,7,-
19630117-0,Thursday,17-JAN-1963,15:53,A1, Maneuvering (MNV),"Great Salt Lake, UT",United States of America,3,3, Destroyed, Written off (damaged beyond repair),Fairchild F-27,2,Rolls-Royce Dart 511,1958,-,11708.0, N2703,   6,West Coast Airlines,Training, 703,Salt Lake City Municipal Airport,SLC,KSLC,United States of America,Salt Lake City Municipal Airport,SLC,KSLC,United States of America,3,0,3,0,-,-,Final
