identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20160715-0,Friday,15-JUL-2016,16:10,A2, Landing (LDG),San Juan-Fernando Luis Ribas Dominicci Airport (SIG),Puerto Rico,-,0, Substantial, Repaired,Beechcraft B200 Super King Air,-,-,1999,-,-, N111MQ, BB-1665,Execumed Corp.,Unknown,-,La Romana-Casa de Campo International Airport,LRM,MDLR,Dominican Republic,San Juan-Fernando Luis Ribas Dominicci Airport,SIG,TJIG,Puerto Rico,-,-,0,0,-,-,Preliminary
20160717-0,Sunday,17-JUL-2016,12:17,A1, Landing (LDG),"Iqaluit Airport, NU (YFB)",Canada,2,0, Substantial,-,Beechcraft 200 Super King Air,2,Pratt & Whitney Canada PT6A-41,1976,-,-, C-FCGW, BB-207,Air Nunavut,Training,BFF200,Iqaluit Airport,YFB,CYFB,Canada,Iqaluit Airport,YFB,CYFB,Canada,2,0,0,0,-,-,Preliminary - official
20160720-0,Wednesday,20-JUL-2016,12:20,A1, Takeoff (TOF),off Jinshan City Beach,China,10,5, Damaged beyond repair,-,Cessna 208B Grand Caravan EX,1,Pratt & Whitney Canada PT6A-140,2015,-,-, B-10FW, 208B5222,Joy General Aviation,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,2,8,1,4,-,-,Preliminary
20160720-1,Wednesday,20-JUL-2016,18:30,A2, Landing (LDG),"Burnsville-Mountain Air Airport, NC",United States of America,2,0, Substantial, Repaired,Beechcraft B200 Super King Air,2,Pratt & Whitney Canada PT6A-61,1994,-,1838.0, N46CE, BB-1492,Century Equipment Company,Private,-,Rock Hill Airport,RKH,KUZA,United States of America,-,-,-,-,1,1,0,0,-,-,Final
20160721-0,Thursday,21-JUL-2016,14:00,A2, Landing (LDG),"Baldwin Airport, WI",United States of America,15,0, Substantial, Repaired,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,1994,-,10660.0, N7581F, 208B0389,Skydive Twin Cities,Parachuting,-,-,-,-,-,-,-,-,-,1,14,0,0,-,-,Final
20160722-0,Friday,22-JUL-2016,-,A1, En route (ENR),ca 280 km E off Chennai [Bay of Bengal],Indian Ocean,29,29, Missing, Presumed damaged beyond repair,Antonov An-32,-,-,1986,-,-, K2743, 0809 ?,Indian AF,Military,-,-,-,-,-,Port Blair Airport,IXZ,VOPB,India,6,23,6,23,-,-,Preliminary
20160726-0,Tuesday,26-JUL-2016,15:09,A1, Landing (LDG),"Houston-Sugar Land Regional Airport, TX (SGR)",United States of America,3,0, Substantial,-,Embraer EMB-505 Phenom 300,2,Pratt & Whitney Canada PW535E,2014,-,1883.0, N362FX, 50500239,Flexjet,Executive,OPT362,Scottsdale Airport,SCF,KSDL,United States of America,Houston-Sugar Land Regional Airport,SGR,KSGR,United States of America,2,1,0,0,-,-,Preliminary - official
20160728-0,Thursday,28-JUL-2016,-,O1, Standing (STD),"Colorado Springs Municipal Airport, CO (COS)",United States of America,0,0, Damaged beyond repair,-,Gulfstream G650ER,2,Rolls-Royce BR700-725A1,2015,-,-, N827DC, 6174,TDC Management,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,- (No safety board investigation)
20160731-0,Sunday,31-JUL-2016,13:35,A1, En route (ENR),"29 km (18.1 mls) E of Zelenogorskiy, Kemerovo Region",Russia,3,3, Destroyed, Written off (damaged beyond repair),Antonov An-2R,1,Shvetsov ASh-62IR,1979,-,8853.0, RA-54790, 1G183-54,Lemaks,Ferry/positioning,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,Final
20160801-0,Monday,01-AUG-2016,18:40,A2, En route (ENR),"near Spanish Fork, UT",United States of America,1,0, Substantial, Repaired,Beechcraft C99 Commuter,2,Pratt & Whitney Canada PT6A-36,1986,-,28737.0, N234AV, U-234,Ameriflight,Cargo,AMF1843,Price-Carbon County Airport,PUC,KPUC,United States of America,Salt Lake City International Airport,SLC,KSLC,United States of America,1,0,0,0,-,-,Final
20160801-1,Monday,01-AUG-2016,19:50,A2, Taxi (TXI),Ajaccio-Napoleon Bonaparte Airport (AJA),France,2,0, Substantial, Repaired,Canadair CL-215-6B11 (CL-415),2,Pratt & Whitney Canada PW123F,1994,4607.0,5522.0, F-ZBEU, 2024,Securité Civile,Fire fighting,-,Ajaccio-Napoleon Bonaparte Airport,AJA,LFKJ,France,Ajaccio-Napoleon Bonaparte Airport,AJA,LFKJ,France,2,0,0,0,-,-,Final
20160803-0,Wednesday,03-AUG-2016,12:38,A1, Landing (LDG),Dubai Airport (DXB),United Arab Emirates,300,0, Destroyed, Written off (damaged beyond repair),Boeing 777-31H,2,Rolls-Royce Trent 892,2003,13620.0,58169.0, A6-EMW, 32700/434,Emirates,International Scheduled Passenger,EK521,Thiruvananthapuram International Airport,TRV,VOTV,India,Dubai Airport,DXB,OMDB,United Arab Emirates,18,282,0,0,-,1,Final
20160804-0,Thursday,04-AUG-2016,16:00,A2, En route (ENR),near Simikot,Nepal,2,0, Unknown,-,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,1996,-,-, 9N-AKC, 208B0554, Makalu Air,Cargo,-,Surkhet Airport,SKH,VNSK,Nepal,Simikot Airport,IMK,VNST,Nepal,2,0,0,0,-,-,Preliminary
20160804-1,Thursday,04-AUG-2016,21:02,A1, Pushback / towing (PBT),"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)",United States of America,135,0, Substantial, Written off (damaged beyond repair),Boeing 737-3H4 (WL),2,CFMI CFM56-3B1,1993,-,72354.0, N368SW, 26579/2473,Southwest Airlines,Domestic Scheduled Passenger,WN149,Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI,United States of America,Atlanta-William B. Hartsfield International Airport,ATL,KATL,United States of America,6,129,0,0,-,-,Final
20160805-0,Friday,05-AUG-2016,04:07,A1, Landing (LDG),Bergamo-Orio Al Serio Airport (BGY),Italy,2,0, Destroyed, Written off (damaged beyond repair),Boeing 737-476SF,2,CFMI CFM56-3C1,1991,-,65332.0, HA-FAX, 24437/2162,ASL Airlines Hungary,Cargo,QY7332,Paris-Charles de Gaulle Airport,CDG,LFPG,France,Bergamo-Orio Al Serio Airport,BGY,LIME,Italy,2,0,0,0,-,-,Final
20160809-0,Tuesday,09-AUG-2016,21:00,A2, Standing (STD),"New York-John F. Kennedy International Airport, NY (JFK)",United States of America,166,0, Substantial, Repaired,Boeing 737-832 (WL),2,CFMI CFM56-7B26,2001,-,49267.0, N3762Y, 30817/968,Delta Air Lines,Domestic Scheduled Passenger,DL442,New York-John F. Kennedy International Airport,JFK,KJFK,United States of America,Salt Lake City International Airport,SLC,KSLC,United States of America,6,160,0,0,-,-,Final
20160811-0,Thursday,11-AUG-2016,16:47,A2, Landing (LDG),Polyarnyj Airport (PYJ),Russia,3,0, Substantial,-,Antonov An-2R,-,-,1983,-,12135.0, RA-17812, 1G204-13,ALROSA,Survey/research,-,Polyarnyj Airport,PYJ,UERP,Russia,Polyarnyj Airport,PYJ,UERP,Russia,2,1,0,0,-,-,Final
20160813-0,Saturday,13-AUG-2016,12:30,A2, Standing (STD),"Fort Lauderdale-Executive Airport, FL (FXE)",United States of America,2,0, Substantial, Repaired,Cessna 500 Citation I,2,Pratt & Whitney Canada JT15D-1,1974,-,9798.0, N70SW, 500-0236,Strong Tower Services,Private,-,Nassau-Lynden Pindling International Airport,NAS,MYNN,Bahamas,Fort Lauderdale-Executive Airport,FXE,KFXE,United States of America,2,0,0,0,-,-,Final
