identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19900530-0,Wednesday,30-MAY-1990,11:04,A2, Landing (LDG),"Mabuiag Island Airport, QLD (UBB)",Australia,9,0, Substantial, Repaired,Pilatus Britten Norman BN2A-26 Islander,-,-,1969,-,-, VH-RTP, 79,Cape York Air Services,Domestic Non Scheduled Passenger,-,Horn Island Airport,HID,YHID,Australia,Mabuiag Island Airport,UBB,YMAA,Australia,1,8,0,0,-,-,Final
19900599-0,-,xx-MAY-1990,-,A1, Unknown (UNK),Morobe Airport (OBM),Papua New Guinea,-,-, Damaged beyond repair,-,Britten-Norman BN-2A-26 Islander,2,Lycoming O-540-E4C5,1970,-,-, P2-IST, 180,Talair,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19900599-1,-,xx-MAY-1990,-,A1, Landing (LDG),Yelgava Airport,Latvia,-,0, Damaged beyond repair,-,Antonov An-2T,-,-,1958,-,-, 10 Yellow, 19447320,Rigas Aeroklubs,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19900602-0,Saturday,02-JUN-1990,09:37,A1, Approach (APR),"12 km (7.5 mls) from  Unalakleet Airport, AK (UNK)",United States of America,4,0, Destroyed, Written off (damaged beyond repair),Boeing 737-2X6C,2,Pratt & Whitney JT8D-17A,1984,-,-, N670MA, 23121/1025,MarkAir,Ferry/positioning,3087,Anchorage International Airport,ANC,PANC,United States of America,Unalakleet Airport,UNK,PAUN,United States of America,4,0,0,0,-,-,Final
19900602-1,Saturday,02-JUN-1990,16:02,A1, Landing (LDG),Kenkiyak,Kazakhstan,33,0, Damaged beyond repair,-,Antonov An-24B,-,-,1968,-,-, CCCP-46551, 87304503,Aeroflot / North Kavkaz,Domestic Scheduled Passenger,-,Krasnodar Airport,KRR,URKK,Russia,-,-,-,-,4,29,0,0,-,-,-
19900602-2,Saturday,02-JUN-1990,19:11,A2, Maneuvering (MNV),Antwerpen-Deurne Airport (ANR),Belgium,2,0, Substantial, Repaired,Embraer EMB-120RT Brasilia,-,-,1988,-,-, OO-DTH, 120104,DAT,"Aerial Work (Calibration, Photo)", 100,Liège-Bierset Airport,LGG,EBLG,Belgium,Brussel-Zaventem Airport,BRU,EBBR,Belgium,2,0,0,0,4,-,Final
19900606-1,Wednesday,06-JUN-1990,05:29,A1, Approach (APR),"0,8 km (0.5 mls) from  Altamira Airport, PA (ATM)",Brazil,42,22, Damaged beyond repair,-,Fairchild FH-227B,-,-,1967,-,-, PT-ICA, 570,TABA,Domestic Scheduled Passenger, 800,Belém/Val-de-Cans International Airport,BEL,SBBE,Brazil,Altamira Airport,ATM,SBHT,Brazil,3,39,2,20,-,-,Final
19900606-2,Wednesday,06-JUN-1990,17:15,A1, Landing (LDG),"Fresno-Chandler Airport, CA (FCH)",United States of America,1,0, Destroyed, Written off (damaged beyond repair),Cessna 208A Cargomaster,1,Pratt & Whitney Canada PT6A-114A,1985,-,-, N803FE, 20800015,Federal Express,Cargo,-,Fresno Air Terminal,FAT,KFAT,United States of America,Oakland International Airport,OAK,KOAK,United States of America,1,0,0,0,-,-,Final
19900607-0,Thursday,07-JUN-1990,-,A1, Unknown (UNK),"Kangiqsujuaq Airport, QC (YWB)",Canada,-,-, Damaged beyond repair,-,Douglas C-49J (DC-3),-,-,1942,-,-, C-FPQE, 6319,Gouvernement du Québec,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19900608-0,Friday,08-JUN-1990,-,H2, En route (ENR),Stockholm-Arlanda Airport (ARN),Sweden,121,0, None,-,Tupolev Tu-154,-,-,-,-,-, registration unknown,-,Aeroflot,Domestic Scheduled Passenger,-,Minsk-2 International Airport,MSQ,UMMS,Belarus,Murmansk Airport,MMK,ULMM,Russia,7,114,0,0,-,-,-
19900609-0,Saturday,09-JUN-1990,13:40,A2, Landing (LDG),"Mabuiag Island Airport, QLD (UBB)",Australia,1,0, Substantial, Repaired,Britten-Norman BN-2A-20 Islander,-,-,1975,-,-, VH-FCJ, 448,Falcon Airlines,Cargo,-,Horn Island Airport,HID,YHID,Australia,Mabuiag Island Airport,UBB,YMAA,Australia,1,0,0,0,-,-,Final
19900610-1,Sunday,10-JUN-1990,07:33,A2, En route (ENR),over Didcot,United Kingdom,87,0, Substantial, Repaired,BAC One-Eleven 528FL,2,Rolls-Royce Spey 512-14DW,1977,-,37724.0, G-BJRT, 234,British Airways,Int'l Non Scheduled Passenger,BA5390,Birmingham International Airport,BHX,EGBB,United Kingdom,Málaga Airport,AGP,LEMG,Spain,6,81,0,0,-,-,Final
