identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19590104-0,Sunday,04-JAN-1959,-,A1, Landing (LDG),Moyobamba Airport (MBP),Peru,2,0, Damaged beyond repair,-,Curtiss C-46A-25-CU Commando,2,Pratt & Whitney R-2800-51,1943,-,-, OB-QAL-487, 26656,TAPSA,Unknown,-,-,-,-,-,Moyobamba Airport,MBP,SPBB,Peru,2,0,0,0,-,-,-
19590104-1,Sunday,04-JAN-1959,-,A1, Takeoff (TOF),Marble Point,Antarctica,5,2, Damaged beyond repair,-,de Havilland Canada UC-1 Otter (DHC-3),-,-,1956,-,-, 144673, 163,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,2,0,-,-,-
19590106-0,Tuesday,06-JAN-1959,-,A1, Landing (LDG),"Rio de Janeiro-Santos Dumont Airport, RJ (SDU)",Brazil,5,0, Damaged beyond repair,-,Curtiss C-46A-45-CU Commando,2,Pratt & Whitney R-2800-51,1944,-,-, PP-LDH, 30350,Paraense Transportes Aéreos,Ferry/positioning,-,Rio de Janeiro-Galeão International Airport,GIG,SBGL,Brazil,Rio de Janeiro-Santos Dumont Airport,SDU,SBRJ,Brazil,5,0,0,0,-,-,-
19590106-1,Tuesday,06-JAN-1959,11:20,A1, Unknown (UNK),Pena Blanca Mt.,Guatemala,5,5, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,15840.0, XH-SAA, 19667,SAHSA,Int'l Non Scheduled Passenger,-,Copán Airport,RUY,MHRU,Honduras,-,-,-,-,3,2,3,2,-,-,-
19590108-0,Thursday,08-JAN-1959,20:32,A1, Approach (APR),"Mt. Holston, TN",United States of America,10,10, Destroyed, Written off (damaged beyond repair),Douglas DC-3A-197B,2,Pratt & Whitney R-1830-92,1938,-,56755.0, N18941, 2007,Southeast Airlines,Domestic Scheduled Passenger, 308,Knoxville-McGhee Tyson Airport,TYS,KTYS,United States of America,Bristol,TRI,KTRI,United States of America,3,7,3,7,-,-,Final
19590111-0,Sunday,11-JAN-1959,11:20,A1, Approach (APR),"Rio de Janeiro-Galeão International Airport, RJ (GIG)",Brazil,39,36, Destroyed, Written off (damaged beyond repair),Lockheed L-1049G Super Constellation,-,-,1955,-,-, D-ALAK, 4602,Lufthansa,International Scheduled Passenger,LH502,Dakar-Yoff Airport,DKR,GOOY,Senegal,Rio de Janeiro-Galeão International Airport,GIG,SBGL,Brazil,10,29,7,29,-,-,Final
19590111-1,Sunday,11-JAN-1959,-,A1, En route (ENR),"ca 40 km SE of Homer, AK",United States of America,9,9, Destroyed, Written off (damaged beyond repair),Douglas C-124C Globemaster II,4,Pratt & Whitney R-4360-20WA,-,-,-, 50-0111, 43249,USAF,Military,-,Tacoma-McChord AFB,TCM,KTCM,United States of America,Kodiak Airport,ADQ,PADQ,United States of America,9,0,9,0,-,-,-
19590113-0,Tuesday,13-JAN-1959,-,A1, En route (ENR),"Panther Peak, CA",United States of America,2,2, Damaged beyond repair,-,Curtiss C-46F-1-CU Commando,-,-,1945,-,-, N1240N, 22404,California Air Freight,Cargo,-,Hollywood-Lockheed Air Terminal,BUR,KBUR,United States of America,Seattle/Tacoma International Airport,SEA,KSEA,United States of America,2,0,2,0,-,-,-
19590114-1,Wednesday,14-JAN-1959,-,A1, Landing (LDG),Firq,Oman,-,0, Damaged beyond repair,-,Vickers Valetta C.1,2,Bristol Hercules 230,1949,-,-, VW817, 378,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19590115-0,Thursday,15-JAN-1959,-,A1, Approach (APR),"near Windsor Locks-Bradley Field, CT (BDL)",United States of America,3,2, Damaged beyond repair,-,Douglas C-54 (DC-4),-,-,-,-,-, registration unknown,-,USAF,Military,-,Tucson-Davis Monthan AFB,DMA,KDMA,United States of America,Windsor Locks-Bradley Field,BDL,KBDL,United States of America,3,0,2,0,-,-,-
