identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19910104-1,Friday,04-JAN-1991,07:12,A1, Takeoff (TOF),Palma de Mallorca Airport (PMI),Spain,2,0, Damaged beyond repair,-,Douglas DC-3,-,-,1945,-,-, EC-EQH, 33058/16310,Aeromarket,Cargo,-,Palma de Mallorca Airport,PMI,LEPA,Spain,Menorca-Mahón Airport,MAH,LEMH,Spain,2,0,0,0,-,-,Preliminary - official
19910107-0,Monday,07-JAN-1991,-,H2, En route (ENR),Lima International Airport (LIM),Peru,-,1, None,-,McDonnell Douglas DC-8,-,-,-,-,-, registration unknown,-,Faucett,Domestic Scheduled Passenger, 339,Trujillo Airport,TRU,SPRU,Peru,Lima-Callao International Airport,LIM,SPIM,Peru,-,-,0,1,-,-,-
19910110-0,Thursday,10-JAN-1991,18:40,A2, En route (ENR),"Little Vermillion Lake, ON",Canada,-,0, Substantial, Repaired,de Havilland Canada DHC-6 Twin Otter 200,-,-,1969,-,-, C-GJLZ, 220,Sabourin Lake Airways,Domestic Non Scheduled Passenger,-,Little Grand Rapids Airport,ZGR,CZGR,Canada,Red Lake Airport,YRL,CYRL,Canada,2,-,0,0,-,-,-
19910110-1,Thursday,10-JAN-1991,18:00,A1, En route (ENR),ca 40 km SW of Mérida-A Carnevalli Airport (MRD),Venezuela,23,22, Destroyed, Written off (damaged beyond repair),CASA C-212 Aviocar 200,-,-,1982,-,-, ARV-0209, 264,Venezuelan Navy,Military,-,El Vigia Airport,VIG,SVVG,Venezuela,Mérida-A Carnevalli Airport,MRD,SVMD,Venezuela,3,20,3,19,-,-,-
19910110-2,Thursday,10-JAN-1991,-,A1, Landing (LDG),Bucharest-Otopeni International Airport (OTP),Romania,13,0, Damaged beyond repair,-,Boeing 707-3K1C,4,Pratt & Whitney JT3D-3B,1979,-,-, YR-ABD, 21651/938,Romavia,Test,-,Bucharest-Otopeni International Airport,OTP,LROP,Romania,Bucharest-Otopeni International Airport,OTP,LROP,Romania,13,0,0,0,-,-,-
19910111-0,Friday,11-JAN-1991,20:40,A1, Approach (APR),"near Belo Horizonte, MG",Brazil,5,5, Damaged beyond repair,-,Learjet 25C,-,-,-,-,-, PT-KKV, 25-172,Belair,Executive,-,Brasília International Airport,BSB,SBBR,Brazil,-,-,-,-,2,3,2,3,-,-,-
19910111-1,Friday,11-JAN-1991,20:30,A1, Landing (LDG),"Vichy-Rolla National Airport, MO (VIH)",United States of America,4,0, Substantial,-,Beechcraft 200 Super King Air,2,Pratt & Whitney Canada PT6A-41,1977,-,1596.0, N200MR, BB-219,United Executive Jet,Ferry/positioning,-,Saint Louis-Spirit of St. Louis Airport,SUS,KSUS,United States of America,Vichy-Rolla National Airport,VIH,KVIH,United States of America,2,2,0,0,-,-,Final
19910112-0,Saturday,12-JAN-1991,-,A1, Landing (LDG),Ho Chi Minh City-Tan Son Nhat International Airport (SGN),Vietnam,79,0, Substantial, Written off (damaged beyond repair),Tupolev Tu-134AK,-,-,1978,-,-, VN-A126, 60435,Vietnam Airlines,International Scheduled Passenger,-,Bangkok-Don Muang International Airport,BKK,VTBD,Thailand,Ho Chi Minh City-Tan Son Nhat International Airport,SGN,VVTS,Vietnam,7,72,0,0,-,-,-
19910112-1,Saturday,12-JAN-1991,-,A2, Landing (LDG),Palembang Airport (PLM),Indonesia,2,0, Substantial,-,Dornier Do 28D-1 Skyservant,-,-,-,-,-, PK-VRA, 4026,Adikarto Printindo,Cargo,-,-,-,-,-,Palembang Airport,PLM,WIPP,Indonesia,2,0,0,0,-,-,-
19910116-0,Wednesday,16-JAN-1991,01:00,A1, Unknown (UNK),Kobenhavn-Kastrup Airport (CPH),Denmark,2,0, Damaged beyond repair,-,Swearingen SA226-TC Metro II,-,-,1980,-,-, OY-BZW, TC-328,Muk Air Taxi,Unknown,-,-,-,-,-,København-Kastrup Airport,CPH,EKCH,Denmark,2,0,0,0,-,-,-
19910118-0,Friday,18-JAN-1991,-,C1, Standing (STD),Qadisiyah Air Base (IQA),Iraq,0,0, Damaged beyond repair,-,Ilyushin Il-76MD,-,-,1987,-,-, YI-ANH, 0073476307,Iraqi AF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
