identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20170102-0,Monday,02-JAN-2017,-,A1, Unknown (UNK),Sasakwa Airstrip,Tanzania,6,0, Substantial,-,Reims Cessna F406 Caravan II,-,-,1991,-,-, 5H-WOW, F406-0060,Air Excel,Passenger,-,-,-,-,-,-,-,-,-,1,5,0,0,-,-,Preliminary
20170102-1,Monday,02-JAN-2017,12:20,A1, Landing (LDG),Shabunda Airport,Democratic Republic of the Congo,2,0, Substantial,-,Let L-410UVP,-,-,1985,-,-, 9Q-CZR, 851336, Doren Air Congo,Cargo,-,Bukavu-Kavumu Airport,BKY,FZMA,Democratic Republic of the Congo,-,-,-,-,2,0,0,0,-,-,Preliminary
20170102-2,Monday,02-JAN-2017,16:43,A2, Landing (LDG),"Scottsdale Airport, AZ (SCF)",United States of America,2,0, Substantial,-,Hawker 800XP,2,Honeywell TFE731-SER,1999,-,-, N910JD, 258420,Pinnacle Air Charter,Private,-,Tucson International Airport,TUS,KTUS,United States of America,Scottsdale Airport,SCF,KSDL,United States of America,2,0,0,0,-,-,Preliminary - official
20170107-0,Saturday,07-JAN-2017,-,A2, En route (ENR),"SSE off Muscat, Oman",Indian Ocean,9,0, Substantial,-,Canadair CL-600-2B16 Challenger 604,2,General Electric CF34-3B,2000,5504.0,10211.0, D-AMSC, 5464,MHS Aviation,Executive,MHV604,Malé International Airport,MLE,VRMM,Maldives,Abu Dhabi-Bateen Airport,AZI,OMAD,United Arab Emirates,3,6,0,0,-,-,Preliminary - official
20170111-0,Wednesday,11-JAN-2017,16:19,A1, Initial climb (ICL),south of Oslo-Gardermoen Airport (OSL),Norway,2,0, Substantial, Written off (damaged beyond repair),Cessna 560 Citation Encore,-,-,2003,2730.0,3847.0, LN-IDB, 560-0637,Hesnes Air,Ferry/positioning,-,Oslo-Gardermoen Airport,OSL,ENGM,Norway,Sandefjord-Torp Airport,TRF,ENTO,Norway,2,0,0,0,-,-,Final
20170113-0,Friday,13-JAN-2017,16:00,A2, Takeoff (TOF),"Five Point-Agro-West Airport, CA",United States of America,1,0, Substantial,-,Beechcraft B200 Super King Air,-,-,-,-,-, N795DE, BB-1510,Optimal Aviation Services,Ferry/positioning,-,-,-,-,-,Visalia Airport,VIS,KVIS,United States of America,1,0,0,0,-,-,Final
20170116-0,Monday,16-JAN-2017,07:19,A1, Approach (APR),1 km (0.6 mls) W of Bishkek-Manas International Airport (FRU),Kyrgyzstan,4,4, Destroyed, Written off (damaged beyond repair),Boeing 747-412F,4,Pratt & Whitney PW4056,2003,8308.0,46820.0, TC-MCL, 32897/1322,ACT Airlines,Cargo,TK6491,Hong Kong-Chek Lap Kok International Airport,HKG,VHHH,Hong Kong,Bishkek-Manas International Airport,FRU,UCFM,Kyrgyzstan,4,0,4,0,-,35,Final
20170116-1,Monday,16-JAN-2017,11:59,A1, Landing (LDG),"Howell-Livingston County Spencer J. Hardy Airport, MI",United States of America,1,0, Damaged beyond repair,-,Cessna 525C Citation CJ4,2,Williams International FJ44-4A,2015,-,320.0, N525PZ, 525C-0196,Zeliff Aviation,Executive,-,-,-,-,-,-,-,-,-,1,0,0,0,-,-,Final
20170119-0,Thursday,19-JAN-2017,11:44,A2, Landing (LDG),"Billings-Logan International Airport, MT (BIL)",United States of America,1,0, Substantial,-,Beechcraft 99A Airliner,-,-,1970,-,-, N326CA, U-135,Alpine Aviation,Cargo,1530,Glendive-Dawson Community Airport,GDV,KGDV,United States of America,Sidney-Richland Municipal Airport,SDY,KSDY,United States of America,1,0,0,0,-,-,Preliminary - official
20170123-0,Monday,23-JAN-2017,12:33,A1, Takeoff (TOF),"Tucson International Airport, AZ (TUS)",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Beechcraft 300 Super King Air,2,Pratt & Whitney Canada PT6A-60A,1985,-,9962.0, N385KA, FA-42,KAAZ,Private,-,Tucson International Airport,TUS,KTUS,United States of America,Hermosillo-Gen Pesqueira Garcia Airport,HMO,MMHO,Mexico,1,1,1,1,-,-,Final
20170123-1,Monday,23-JAN-2017,19:00,A2, Takeoff (TOF),"Durango-La Plata Airport, CO (DRO)",United States of America,2,0, Substantial, Repaired,Beechcraft C99 Commuter,-,-,1983,-,-, N216CS, U-216,Alpine Aviation,Cargo,-,Durango-La Plata Airport,DRO,KDRO,United States of America,-,-,-,-,2,0,0,0,-,-,Preliminary - official
20170126-0,Thursday,26-JAN-2017,17:08,A1, Maneuvering (MNV),"Swan River, Perth, WA",Australia,2,2, Damaged beyond repair,-,Grumman G-73 Mallard,2,Pratt & Whitney R-1340 Wasp,1948,-,-, VH-CQA, J-35,private,Demonstration,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,Final
20170127-0,Friday,27-JAN-2017,17:50,A1, Landing (LDG),"West Palm Beach International Airport, FL (PBI)",United States of America,2,0, Substantial, Written off (damaged beyond repair),Beechcraft 200T Super King Air,2,Pratt & Whitney Canada PT6A-41,1979,-,15782.0, N60RA, 	BT-7,Eastern Air Express,Ferry/positioning,-,Treasure Cay Airport,TCB,MYAT,Bahamas,West Palm Beach International Airport,PBI,KPBI,United States of America,2,0,0,0,-,-,Final
20170128-0,Saturday,28-JAN-2017,16:57,A2, Landing (LDG),Leticia-Alfredo Vásquez Cobo Airport (LET),Colombia,4,0, Substantial, Repaired,Boeing 737-476 (SF),2,CFMI CFM56-3C1,1990,-,67961.0, HK-5197, 24430/1820,Aer Caribe,Cargo,-,Bogotá-Eldorado Airport,BOG,SKBO,Colombia,Leticia-Alfredo Vásquez Cobo Airport,LET,SKLT,Colombia,4,0,0,0,-,-,Final
20170207-0,Tuesday,07-FEB-2017,17:05,A2, Landing (LDG),Freeport-Grand Bahama International Airport (FPO),Bahamas,34,0, Substantial,-,Saab 340A,-,-,1986,-,-, C6-HBW, 340A-067,Western Air,Domestic Scheduled Passenger,WT708,Freeport-Grand Bahama International Airport,FPO,MYGF,Bahamas,Nassau-Lynden Pindling International Airport,NAS,MYNN,Bahamas,3,31,0,0,-,-,Final
20170209-0,Thursday,09-FEB-2017,22:11,A1, Landing (LDG),"São Paulo-Guarulhos International Airport, SP (GRU)",Brazil,3,0, Damaged beyond repair,-,British Aerospace BAe-125-800B,-,-,1991,-,-, PT-OTC, 258194,Líder Táxi Aéreo,Executive,-,Brasília-Presidente Juscelino Kubitschek International Airport,BSB,SBBR,Brazil,São Paulo-Congonhas Airport,CGH,SBSP,Brazil,2,1,0,0,-,-,Preliminary - official
20170209-1,Thursday,09-FEB-2017,17:00,A2, Landing (LDG),Illertissen Airport,Germany,2,0, Substantial, Repaired,Cessna 208B Supervan 900,-,-,1993,-,-, D-FSRT, 208B0358,Paranodon Fallschirmsport Illertissen,Training,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,Preliminary
20170209-2,Thursday,09-FEB-2017,-,A1, En route (ENR),4 km (2.5 mls) from  Thebephatshwa Air Base,Botswana,3,3, Damaged beyond repair,-,CASA C-212 Aviocar 300,-,-,-,-,-, registration unknown,-,Botswana AF,Military,-,-,-,-,-,Gaborone-Sir Seretse Khama International Airport,GBE,FBSK,Botswana,3,0,3,0,-,-,-
20170209-3,Thursday,09-FEB-2017,09:11,A2, Taxi (TXI),"Tulita Airport, NT (ZFN)",Canada,6,0, Minor, Repaired,Beechcraft 1900D,2,Pratt & Whitney Canada PT6A-67D,1994,-,-, C-FNWH, UE-112,North-Wright Airways,Domestic Scheduled Passenger,NWL125,Norman Wells Airport,YVQ,CYVQ,Canada,Tulita Airport,ZFN,CZFN,Canada,2,4,0,0,-,-,Preliminary - official
