identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19220114-0,Saturday,14-JAN-1922,-,A1, Approach (APR),near Paris-Le Bourget Airport (LBG),France,5,5, Damaged beyond repair,-,Handley Page O/10,-,-,-,-,-, G-EATN, HP.43,Handley Page Transport,International Scheduled Passenger,-,-,-,-,-,Paris-Le Bourget Airport,LBG,LFPB,France,1,4,1,4,-,-,-
19220331-0,Friday,31-MAR-1922,10:00,A1, Approach (APR),near Beijing-Nanyuan Airport,China,14,14, Damaged beyond repair,-,	Handley Page O/7,-,-,-,-,-, registration unknown,-,Chinese Government,Domestic Non Scheduled Passenger,-,-,-,-,-,Beijing-Nanyuan Airport,NAY,ZBNY,China,-,-,-,-,-,-,-
19220407-0,Friday,07-APR-1922,14:00,A1, En route (ENR),Thieuloy-Saint-Antoine,France,5,5, Damaged beyond repair,-,Farman F.60 Goliath,-,-,1920,-,-, F-GEAD, 23,Grands Express Aériens,International Scheduled Passenger,-,Paris-Le Bourget Airport,LBG,LFPB,France,-,-,-,-,2,3,2,3,2,-,-
