identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19540430-1,Friday,30-APR-1954,-,A1, Takeoff (TOF),Saigon-Tan-Son-Nhat Airport (SGN),Vietnam,4,0, Damaged beyond repair,-,SNCASO SO.30P Bretagne,2,Pratt & Whitney R-2800,-,-,-, F-OAMA, 14,Air Laos,Cargo,-,Saigon-Tan Son Nhat International Airport,SGN,VVTS,Vietnam,-,-,-,-,4,0,0,0,-,-,-
19540503-0,Monday,03-MAY-1954,-,A1, Unknown (UNK),"near Sinking Spring, PA",United States of America,-,-, Damaged beyond repair,-,Lockheed P2V-6 Neptune,-,-,-,-,-, 126516,-,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19540504-0,Tuesday,04-MAY-1954,-,O1, Standing (STD),"Sea Island RCAF Station, BC",Canada,0,0, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,-,-,1953,-,-, 3670, 25,RCAF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19540504-1,Tuesday,04-MAY-1954,-,O1, Standing (STD),"Sea Island RCAF Station, BC",Canada,0,0, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,-,-,-,-,-, 3676, 34,RCAF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19540506-0,Thursday,06-MAY-1954,-,C1, Maneuvering (MNV),near Ban Sot,Laos,6,5, Damaged beyond repair,-,Fairchild C-119C-14-FA Flying Boxcar,2,Pratt & Whitney R-4360-20WA,-,-,-, 149, 10386,French AF,Military,-,Haiphong-Cat Bi Airport,HPH,VVCI,Vietnam,Haiphong-Cat Bi Airport,HPH,VVCI,Vietnam,6,0,5,0,-,-,-
19540506-1,Thursday,06-MAY-1954,-,A1, En route (ENR),near Carricitos,Mexico,10,10, Damaged beyond repair,-,Martin PBM-5 Mariner,-,-,-,-,-, 59106,-,US Navy,Military,-,-,-,-,-,-,-,-,-,5,5,5,5,-,-,-
19540507-0,Friday,07-MAY-1954,-,A1, Unknown (UNK),off Nassau,Bahamas,10,10, Damaged beyond repair,-,Lockheed P2V-5 Neptune,-,-,-,-,-, 128421, 426-5267,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19540508-0,Saturday,08-MAY-1954,-,A1, Approach (APR),near RAF North Luffenham,United Kingdom,-,0, Damaged beyond repair,-,Canadair DC-4M1 North Star,4,Rolls-Royce Merlin 622,1947,-,-, 17522, 106,RCAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19540508-1,Saturday,08-MAY-1954,-,A1, Landing (LDG),"N89°09', W90°00'",Arctic Ocean,5,0, Damaged beyond repair,-,Antonov An-2,-,-,-,-,-, CCCP-N140, 1 30 473 06,GUSMP,Unknown,-,-,-,-,-,-,-,-,-,5,0,0,0,-,-,Preliminary
19540513-0,Thursday,13-MAY-1954,-,A1, Approach (APR),Wigsley RAF Station,United Kingdom,-,0, Damaged beyond repair,-,Vickers Varsity T.1,2,Bristol Hercules 264,1952,-,-, WF393, 552,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19540515-0,Saturday,15-MAY-1954,-,A1, Landing (LDG),Saugaon,India,3,0, Damaged beyond repair,-,Douglas C-47B-30-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, VT-DGO, 32934/16186,Jamair,Cargo,-,Calcutta-Dum Dum Airport,CCU,VECC,India,-,-,-,-,3,0,0,0,-,-,-
19540517-0,Monday,17-MAY-1954,-,A1, Landing (LDG),Havana-Rancho Boyeros Airport (HAV),Cuba,-,0, Damaged beyond repair,-,Curtiss C-46A-55-CK Commando,2,Pratt & Whitney R-2800-51,1945,-,-, CU-C556,   264,Cubana,Unknown,-,-,-,-,-,Havana-Rancho Boyeros Airport,HAV,MUHA,Cuba,-,-,0,0,-,-,-
19540521-0,Friday,21-MAY-1954,-,A1, Unknown (UNK),5 km (3.1 mls) SE of Hanoi,Vietnam,3,3, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, F-BEIP, 4517,Autrex,Cargo,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19540521-1,Friday,21-MAY-1954,-,A1, En route (ENR),"650 km (406.3 mls) E off  Hawaii, USA",Pacific Ocean,10,4, Damaged beyond repair,-,Martin P5M-1 Marlin,-,-,-,-,-, 126511,-,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19540522-0,Saturday,22-MAY-1954,09:23,A1, Approach (APR),"0,8 km (0.5 mls) SW of Paraparaumu Airport (PPQ)",New Zealand,28,3, Damaged beyond repair,-,Douglas DC-3D,-,-,1945,-,12732.0, ZK-AQT, 32696/15948,New Zealand National Airways,Domestic Scheduled Passenger, 152,Christchurch-Harewood Airport,CHC,NZCH,New Zealand,Paraparaumu Airport,PPQ,NZPP,New Zealand,2,26,0,3,-,-,Final
19540529-0,Saturday,29-MAY-1954,-,A1, Landing (LDG),Porvenir Airport (WPR),Chile,29,0, Damaged beyond repair,-,Douglas C-47A-1-DK (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, CC-CLH-0184, 11883,LAN Chile,Scheduled Passenger,-,-,-,-,-,Porvenir-Capitán Fuentes Martínez Airport,WPR,SCFM,Chile,3,26,0,0,-,-,-
19540531-0,Monday,31-MAY-1954,-,A1, En route (ENR),"Serra do Cipó Mountains, MG",Brazil,19,19, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, PP-ANO, 19830,T.A. Nacionales,Domestic Scheduled Passenger,-,Governador Valadares Airport,GVR,SBGV,Brazil,Belo Horizonte-Pampulha Airport,PLU,SBBH,Brazil,4,15,4,15,-,-,-
19540531-2,Monday,31-MAY-1954,-,A1, Unknown (UNK),"Duluth-Williamson-Johnson Municipal Airport, MN (DLH)",United States of America,14,7, Damaged beyond repair,-,Douglas C-47A-30-DK (DC-3),-,-,1944,-,-, 43-48097, 25358/13913,USAF,Military,-,-,-,-,-,Duluth International Airport,DLH,KDLH,United States of America,-,-,-,-,-,-,-
19540603-0,Thursday,03-JUN-1954,08:36,C2, En route (ENR),near Maribor,Slovenia,4,1, Substantial, Repaired,Douglas C-47A-1-DK (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, OO-CBY, 11982,Sabena,Cargo,-,München-Riem Airport,MUC,EDDM,Germany,-,-,-,-,4,0,1,0,-,-,Final
19540604-0,Friday,04-JUN-1954,11:00,A1, Takeoff (TOF),"São Paulo-Congonhas Airport, SP (CGH)",Brazil,3,3, Damaged beyond repair,-,Curtiss C-46A-45-CU Commando,2,Pratt & Whitney R-2800-51,1944,-,-, PP-VBZ, 30400,Varig,Cargo,-,São Paulo-Congonhas Airport,CGH,SBSP,Brazil,Porto Alegre-Salgado Filho International Airport,POA,SBPA,Brazil,3,0,3,0,-,-,-
19540605-0,Saturday,05-JUN-1954,-,A1, Unknown (UNK),1.5 km (0.9 mls) NW off  Iwakuni MCAS,Japan,2,0, Damaged beyond repair,-,Douglas C-47B-35-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, A65-120, 33461/16713,RAAF,Military,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19540608-0,Tuesday,08-JUN-1954,-,A1, Unknown (UNK),Da Nang,Vietnam,4,4, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, F-BCCL, 4464,STAEO,Unknown,-,-,-,-,-,Saigon-Tan Son Nhat International Airport,SGN,VVTS,Vietnam,2,2,2,2,-,-,-
