identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19870102-0,Friday,02-JAN-1987,16:30,A1, Initial climb (ICL),200 m off Bata Airport (BSG),Equatorial Guinea,22,22, Damaged beyond repair,-,CASA C-212 Aviocar 100,-,-,1976,-,-, T.12B-32, 65,Spanish AF,Military,-,Bata Airport,BSG,FGBT,Equatorial Guinea,Malabo-Santa Isabel Airport,SSG,FGSL,Equatorial Guinea,3,19,3,19,-,-,-
19870103-0,Saturday,03-JAN-1987,01:45,A1, Approach (APR),18 km (11.3 mls) NE of Abidjan-Felix Houphouet Boigny Airport (ABJ),Cote d'Ivoire,51,50, Destroyed, Written off (damaged beyond repair),Boeing 707-379C,4,Pratt & Whitney JT3D-3B,1968,-,-, PP-VJK, 19822/726,Varig,International Scheduled Passenger,RG797,Abidjan-Felix Houphouet Boigny Airport,ABJ,DIAP,Cote d'Ivoire,Rio de Janeiro-Galeão International Airport,GIG,SBGL,Brazil,12,39,12,38,-,-,-
19870106-1,Tuesday,06-JAN-1987,09:12,A1, Takeoff (TOF),Stockholm-Arlanda Airport (ARN),Sweden,27,0, Damaged beyond repair,-,Sud Aviation SE-210 Caravelle 10B1R,2,Pratt & Whitney JT8D-7,1970,-,36044.0, SE-DEC, 263,Transwede,Int'l Non Scheduled Passenger,-,Stockholm-Arlanda Airport,ARN,ESSA,Sweden,Alicante Airport,ALC,LEAL,Spain,6,21,0,0,-,-,Final
19870107-0,Wednesday,07-JAN-1987,-,A1, Unknown (UNK),at an unknown location,Democratic Republic of the Congo,-,-, Damaged beyond repair,-,Douglas C-54D-1-DC (DC-4),-,-,1945,-,-, 9Q-CAG, 10640,Kinair Cargo,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19870108-0,Thursday,08-JAN-1987,-,C1, Standing (STD),Beirut International Airport (BEY),Lebanon,126,0, Damaged beyond repair,-,Boeing 707-323C,4,Pratt & Whitney JT3D-3B,1968,-,-, OD-AHB, 19588/692,MEA,International Scheduled Passenger,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19870110-0,Saturday,10-JAN-1987,13:50,A1, Landing (LDG),Ilorin Airport (ILR),Nigeria,9,0, Destroyed, Written off (damaged beyond repair),McDonnell Douglas DC-10-30,3,General Electric CF6-50C,1977,8748.0,29487.0, 5N-ANR, 46968/243,Nigeria Airways,Training,-,Lagos-Murtala Muhammed International Airport,LOS,DNMM,Nigeria,Ilorin Airport,ILR,DNIL,Nigeria,9,0,0,0,-,-,Final
19870110-1,Saturday,10-JAN-1987,-,U1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Antonov An-2,-,-,-,-,-, R109,-,Angolan AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19870110-2,Saturday,10-JAN-1987,-,A1, En route (ENR),"off Pilas Island, Sulu Sea",Philippines,12,9, Damaged beyond repair,-,Britten-Norman BN-2A Islander,-,-,-,-,-, registration unknown,-,Philippine AF,Military,-,Cagayan de Sulu Airport,CDY,RPMU,Philippines,Zamboanga Airport,ZAM,RPMZ,Philippines,-,-,-,-,-,-,-
19870110-3,Saturday,10-JAN-1987,-,H2, En route (ENR),"Washington-Dulles International Airport, DC (IAD)",United States of America,55,0, None,-,McDonnell Douglas DC-9,-,-,-,-,-, registration unknown,-,New York Air,Domestic Scheduled Passenger, 681,Newark International Airport,EWR,KEWR,United States of America,Washington-Dulles International Airport,IAD,KIAD,United States of America,5,50,0,0,-,-,-
19870112-0,Monday,12-JAN-1987,11:10,A1, Approach (APR),"5,6 km (3.5 mls) SSE off  Toronto Island Airport, ON (YTZ)",Canada,2,1, Damaged beyond repair,-,Britten-Norman BN-2A-20 Islander,2,Lycoming O-540-E4C5,1974,-,-, C-GIRH, 404,Trillium Air,Unknown,-,St. Catharines Airport,YCM,CYSN,Canada,Toronto Island Airport,YTZ,CYTZ,Canada,1,1,1,0,-,-,-
19870113-0,Tuesday,13-JAN-1987,13:54,A1, Landing (LDG),"Remington, IN",United States of America,3,0, Damaged beyond repair,-,NAMC YS-11A-213,2,Rolls-Royce Dart 542-105,1970,-,-, N906TC, 2154,Mid Pacific Airlines,Test,-,Indianapolis International Airport,IND,KIND,United States of America,Lafayette-Purdue University Airport,LAF,KLAF,United States of America,3,0,0,0,-,-,Final
19870113-1,Tuesday,13-JAN-1987,13:30,A1, Approach (APR),near Asmara International Airport (ASM),Eritrea,54,54, Damaged beyond repair,-,Antonov An-12,-,-,-,-,-, registration unknown,-,Ethiopian AF,Military,-,Asmara International Airport,ASM,HAAY,Eritrea,Addis Ababa-Bole Airport,ADD,HAAB,Ethiopia,-,-,-,-,-,-,-
19870114-0,Wednesday,14-JAN-1987,-,U1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Antonov An-32,2,Ivchenko AI-20,-,-,-, D2-FA.,-,Angolan AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19870114-1,Wednesday,14-JAN-1987,-,A1, Takeoff (TOF),"Montgomery-Maxwell AFB, AL (MXF)",United States of America,3,2, Damaged beyond repair,-,Learjet C-21A (Learjet 35A),2,Garrett TFE731-2-2B,-,-,-, 84-0121, 35-567,USAF,Military,-,Montgomery-Maxwell AFB,MXF,KMXF,United States of America,-,-,-,-,3,0,2,0,-,-,-
19870114-2,Wednesday,14-JAN-1987,13:31,A2, Landing (LDG),Lugano Airport (LUG),Switzerland,2,0, Substantial, Repaired,Learjet 35A,2,Garrett TFE731-2-2B,1979,-,-, HB-VGC, 35A-259,Fidinam Fiduciara,Private,-,Nice-Côte d'Azur Airport,NCE,LFMN,France,Lugano Airport,LUG,LSZA,Switzerland,2,0,0,0,-,-,Final
19870115-0,Thursday,15-JAN-1987,12:52,A1, Approach (APR),"Kearns, UT",United States of America,8,8, Damaged beyond repair,-,Swearingen SA226-TC Metro II,2,Garrett TPE331-3UW-303G,1980,-,-, N163SW, TC-327,SkyWest Airlines,Domestic Scheduled Passenger,1834,Pocatello Airport,PIH,KPIH,United States of America,Salt Lake City International Airport,SLC,KSLC,United States of America,2,6,2,6,2,-,Final
19870115-1,Thursday,15-JAN-1987,-,U1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Antonov An-2,-,-,-,-,-, R108,-,Angolan AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19870115-2,Thursday,15-JAN-1987,17:00,A2, En route (ENR),"over Jaboatão, PE",Brazil,163,0, Substantial, Repaired,Boeing 707-365C,4,Pratt & Whitney JT3D-3B,1967,-,-, PT-TCP, 19416/556,Transbrasil,Domestic Scheduled Passenger,-,Recife-Guararapes International Airport,REC,SBRF,Brazil,Fortaleza-Pinto Martins Airport,FOR,SBFZ,Brazil,9,154,0,0,-,-,Preliminary
19870116-0,Friday,16-JAN-1987,08:11,A1, Takeoff (TOF),Tashkent-Yuzhny Airport (TAS),Uzbekistan,9,9, Damaged beyond repair,-,Yakovlev Yak-40,3,Ivchenko AI-25,1971,20927.0,17132.0, CCCP-87618, 9131918,Aeroflot / Uzbekistan,Domestic Scheduled Passenger, 505,Tashkent-Yuzhny Airport,TAS,UTTT,Uzbekistan,-,-,-,-,4,5,4,5,-,-,-
19870116-1,Friday,16-JAN-1987,06:40,A1, En route (ENR),"Cima, CA",United States of America,1,1, Destroyed, Written off (damaged beyond repair),Cessna 208 Caravan I,1,Pratt & Whitney Canada PT6A-114,1986,-,126.0, N9613F, 20800106,California Air Charter,Cargo,-,Ontario International Airport,ONT,KONT,United States of America,Las Vegas-North Air Terminal,VGT,KVGT,United States of America,1,0,1,0,-,-,Final
19870118-0,Sunday,18-JAN-1987,14:15,A1, Approach (APR),4 km (2.5 mls) W of East Midlands Airport (EMA),United Kingdom,3,0, Damaged beyond repair,-,Fokker F-27 Friendship 200,2,Rolls-Royce Dart 528D-7E,1963,44761.0,38487.0, G-BMAU, 10241,BMA,Training,-,East Midlands Airport,EMA,EGNX,United Kingdom,East Midlands Airport,EMA,EGNX,United Kingdom,3,0,0,0,-,-,Final
