identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19460317-0,Sunday,17-MAR-1946,-,A1, Unknown (UNK),Nanjing,China,20,20, Damaged beyond repair,-,Douglas C-47 (DC-3),-,-,-,-,-, registration unknown,-,China Air Force,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460319-0,Tuesday,19-MAR-1946,-,A1, Unknown (UNK),"near Hobard Mills, CA",United States of America,26,26, Damaged beyond repair,-,Douglas C-47B-50-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, 45-1085, 34355/17088,USAAF,Military,-,Stockton Airport,SCK,KSCK,United States of America,-,-,-,-,3,23,3,23,-,-,-
19460320-0,Wednesday,20-MAR-1946,-,A1, Unknown (UNK),Seoul-Gimpo (Kimpo) Air Base,South Korea,-,-, Damaged beyond repair,-,Douglas C-47B-40-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, 44-77256, 33588/16840,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460322-0,Friday,22-MAR-1946,-,A1, En route (ENR),85 km (53.1 mls) from  Anadyr,Russia,-,-, Damaged beyond repair,-,Lisunov Li-2,-,-,-,-,-, registration unknown,-,Aeroflot / Yakutsk,Unknown,-,Anadyr Airport,DYR,UHMA,Russia,-,-,-,-,-,-,-,-,-,-,-
19460322-1,Friday,22-MAR-1946,-,A1, Unknown (UNK),"0,8 km (0.5 mls) SE of Bakovka, Kuntsevo District, Moscow Region",Russia,5,5, Damaged beyond repair,-,Douglas C-47A-20-DK (DC-3),-,-,1944,-,1581.0, CCCP-L893, 13096,Aeroflot,Cargo,-,Moskva-Vnukovo Airport,VKO,UUWW,Russia,Minsk-1 International Airport,MHP,UMMM,Belarus,5,0,5,0,-,-,-
19460323-0,Saturday,23-MAR-1946,-,A1, En route (ENR),Indian Ocean,Indian Ocean,10,10, Missing, Presumed damaged beyond repair,Avro 691 Lancastrian C.1,4,Rolls-Royce Merlin,-,-,-, G-AGLX, 1178,BOAC,International Scheduled Passenger,-,Negombo RAF Station,CMB,VCBI,Sri Lanka,Cocos Islands Airport,CCK,YPCC,Cocos (Keeling) Islands,5,5,5,5,-,-,-
19460323-1,Saturday,23-MAR-1946,-,A1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Curtiss C-46D-5-CU Commando,-,-,1944,-,-, 44-77403, 32799,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460323-2,Saturday,23-MAR-1946,-,A1, En route (ENR),Banahao Mountain,Philippines,24,19, Damaged beyond repair,-,Douglas C-47B-1-DL (DC-3),2,Pratt & Whitney R-1830-90C,1944,-,-, 43-16211, 20677,USAAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460326-0,Tuesday,26-MAR-1946,-,A1, Approach (APR),Lantau Island,Hong Kong,4,4, Damaged beyond repair,-,Douglas Dakota IV (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, KN366, 32735/15987,RAF,Military,-,Hong Kong-Kai Tak International Airport,HKG,VHHH,Hong Kong,Hong Kong-Kai Tak International Airport,HKG,VHHH,Hong Kong,4,0,4,0,-,-,-
19460327-0,Wednesday,27-MAR-1946,-,A1, Takeoff (TOF),Singapore-Seletar Airport (XSP),Singapore,-,13, Damaged beyond repair,-,Short Sunderland GR.5,-,-,-,-,-, PP103,-,RAF,Military,-,Singapore-Seletar Airport,XSP,WSSL,Singapore,-,-,-,-,-,-,-,-,-,-,-
19460328-0,Thursday,28-MAR-1946,-,A1, Initial climb (ICL),Brampton,United Kingdom,-,0, Damaged beyond repair,-,Douglas Dakota III (DC-3),-,-,1944,-,-, KG660, 13477,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19460328-1,Thursday,28-MAR-1946,-,A1, Taxi (TXI),"Corpus Christi NAS, TX (NGP)",United States of America,-,-, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, 08437,-,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460328-2,Thursday,28-MAR-1946,06:40,A1, Takeoff (TOF),Zyryanka Airport,Russia,4,1, Damaged beyond repair,-,Kawasaki Ki-56,-,-,-,-,-, 514,-,Dalstroi Aviation,Cargo,-,-,-,-,-,-,-,-,-,4,0,1,0,-,-,-
19460328-4,Thursday,28-MAR-1946,-,U1, Unknown (UNK),unknown,Unknown country,-,-, Damaged beyond repair,-,Douglas Dakota (DC-3),-,-,1943,-,-, FD783, 6247,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460329-0,Friday,29-MAR-1946,12:34,A1, Landing (LDG),"Washington-National Airport, DC (DCA)",United States of America,12,0, Damaged beyond repair,-,Lockheed L-049 Constellation,4,Wright R-3350 (739C18BA2),-,-,489.0, NC86510, 2034,TWA,Domestic Scheduled Passenger, 955,-,-,-,-,Washington-National Airport,DCA,KDCA,United States of America,3,9,0,0,-,-,Final
19460329-1,Friday,29-MAR-1946,-,A1, En route (ENR),near Sinhkung,Myanmar,6,5, Damaged beyond repair,-,Douglas Dakota IV (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, KN644, 33334/16586,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460329-2,Friday,29-MAR-1946,-,A1, Unknown (UNK),near Sinhkung,Myanmar,8,8, Damaged beyond repair,-,Douglas Dakota IV (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, KN643, 33332/16584,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460329-3,Friday,29-MAR-1946,-,A1, Maneuvering (MNV),Bina,Myanmar,7,7, Damaged beyond repair,-,Douglas Dakota IV (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, KP270, 33572/16824,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460329-4,Friday,29-MAR-1946,-,A1, Unknown (UNK),"Goose Bay, NL",Canada,-,-, Damaged beyond repair,-,Douglas C-47B Dakota IV (DC-3),-,-,1945,-,-, 986, 32681/15933,RCAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19460331-0,Sunday,31-MAR-1946,-,A1, Approach (APR),near Touho,New Caledonia,6,6, Damaged beyond repair,-,Douglas R4D-7 (DC-3),-,-,1945,-,-, 39100, 32796/16048,US Navy,Military,-,Nouméa-Magenta Airport,GEA,NWWM,New Caledonia,Touho Airport,TOU,NWWU,New Caledonia,2,4,2,4,-,-,-
19460331-1,Sunday,31-MAR-1946,-,A1, En route (ENR),Hunan,China,-,0, Damaged beyond repair,-,Douglas C-47A-25-DK (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, CA6, 13236,Central Air Transport,Unknown,-,-,-,-,-,Kunming-Wujiaba Airfield,KMG,ZPPP,China,-,-,0,0,-,-,-
19460401-0,Monday,01-APR-1946,-,A1, Landing (LDG),"Port Angeles CGAS, WA",United States of America,-,-, Damaged beyond repair,-,Consolidated PBY-5A Catalina,-,-,-,-,-, 46612,-,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
