identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19650603-0,Thursday,03-JUN-1965,23:00,A1, Takeoff (TOF),"Roswell-Walker AFB, NM",United States of America,5,5, Damaged beyond repair,-,Boeing KC-135A Stratotanker,4,Pratt & Whitney J57-P,1964,-,-, 63-8042, 18659/698,USAF,Military,-,-,-,-,-,-,-,-,-,5,0,5,0,-,-,-
19650604-0,Friday,04-JUN-1965,-,A1, Unknown (UNK),near Pedro Juan Caballero,Paraguay,31,1, Damaged beyond repair,-,Douglas C-47B-20-DK (DC-3),2,Pratt & Whitney R-1830-90C,1944,-,-, T-49, 26900/15455,Paraguay AF,Military,-,Asunción-Silvio Pettirossi International Airport,ASU,SGAS,Paraguay,Pedro Juan Caballero Airport,PJC,SGPJ,Paraguay,4,27,1,0,-,-,-
19650605-0,Saturday,05-JUN-1965,-,A1, En route (ENR),"off Crooked Island, Bahamas",Atlantic Ocean,10,10, Destroyed, Written off (damaged beyond repair),Fairchild C-119G Flying Boxcar,2,Wright R-3350,-,-,-, 51-2680, 10669,USAF,Military,-,Homestead AFB,HST,KHST,United States of America,Grand Turk Island Airport,GDT,MBJT,Turks and Caicos Islands,5,5,5,5,-,-,-
19650606-0,Sunday,06-JUN-1965,-,A1, Takeoff (TOF),Cebu Airport (CEB),Philippines,-,0, Damaged beyond repair,-,Douglas DC-6B,4,Pratt & Whitney R-2800,1952,-,-, PI-C950, 43820/311,Filipinas Orient Airways,Unknown,-,Cebu Airport,CEB,RPVM,Philippines,-,-,-,-,-,-,0,0,-,-,-
19650608-1,Tuesday,08-JUN-1965,-,A1, Maneuvering (MNV),near Murcia/Alcantarilla Air Base,Spain,3,3, Damaged beyond repair,-,CASA 352 (Junkers Ju-52),-,-,-,-,-, T.2B-230, 121,Spanish AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-
19650608-2,Tuesday,08-JUN-1965,-,A1, Maneuvering (MNV),near Murcia/Alcantarilla Air Base,Spain,11,11, Damaged beyond repair,-,CASA 352 (Junkers Ju-52),-,-,-,-,-, T.2B-229, 120,Spanish AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
19650611-0,Friday,11-JUN-1965,-,A1, Maneuvering (MNV),13 km (8.1 mls) S of Holloway Field,Vietnam,7,7, Damaged beyond repair,-,Fairchild C-123B-18-FA Provider,-,-,-,-,-, 56-4379, 20263,USAF,Military,-,Nha Trang Airport,NHA,VVNT,Vietnam,Pleiku Airport,PXU,VVPK,Vietnam,7,0,7,0,-,-,-
19650611-2,Friday,11-JUN-1965,-,U1, Unknown (UNK),Algiers-Dar el Beida Airport (ALG),Algeria,-,-, Damaged beyond repair,-,Douglas C-54A-15-DC (DC-4),-,-,1944,-,-, 7T-VAC, 10421,Air Algérie,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19650614-0,Monday,14-JUN-1965,-,A1, Takeoff (TOF),"Manaus/Ponta Pelada Airport, AM (PLL)",Brazil,-,0, Damaged beyond repair,-,Lockheed 18-56-23 Lodestar,-,-,1943,-,4007.0, PT-BIS, 18-2405,Private,Cargo,-,Manaus/Ponta Pelada Airport,PLL,SBMN,Brazil,-,-,-,-,-,-,0,0,-,-,-
19650614-1,Monday,14-JUN-1965,22:40,A1, Takeoff (TOF),Ahlhorn Air Base,Germany,4,0, Damaged beyond repair,-,Nord 2501D Noratlas,2,Bristol Hercules 739,-,-,-, GB+235, D171,German AF,Military,-,-,-,-,-,-,-,-,-,4,0,0,0,-,-,-
