identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19860702-1,Wednesday,02-JUL-1986,10:27,A1, En route (ENR),Kopsa,Russia,94,54, Damaged beyond repair,-,Tupolev Tu-134AK,-,-,1978,7989.0,13988.0, CCCP-65120, 60482,Aeroflot / Komi,Domestic Scheduled Passenger,-,Syktyvkar Airport,SCW,UUYY,Russia,Moskva-Sheremetyevo Airport,SVO,UUEE,Russia,8,86,2,52,-,-,-
19860704-0,Friday,04-JUL-1986,-,A1, Landing (LDG),"Camden Airport, NSW (CDU)",Australia,-,0, Damaged beyond repair,-,de Havilland Canada DHC-4A Caribou,-,-,1968,-,-, A4-264, 264,RAAF,Military,-,-,-,-,-,Camden Airport,CDU,YSCN,Australia,-,-,0,0,-,-,-
19860705-0,Saturday,05-JUL-1986,-,H2, En route (ENR),Khartoum-Civil Airport (KRT),Sudan,-,0, None,-,Boeing 707-300,-,-,-,-,-, registration unknown,-,Sudan Airways,International Scheduled Passenger, 259,Baghdad-Saddam International Airport,SDA,ORBS,Iraq,Khartoum-Civil Airport,KRT,HSSS,Sudan,-,124,0,0,-,-,-
19860710-0,Thursday,10-JUL-1986,-,A1, Takeoff (TOF),Chimoio Airport (VPY),Mozambique,22,17, Damaged beyond repair,-,Douglas C-47A-30-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,20036.0, 7312, 9492,Zimbabwe AF,Military,-,Chimoio Airport,VPY,FQCH,Mozambique,Harare Airport,HRE,FVHA,Zimbabwe,-,-,-,-,-,-,-
19860711-0,Friday,11-JUL-1986,-,A1, Unknown (UNK),at an unknown location,Russia,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,1972,-,-, CCCP-70124, 1G136-50,Aeroflot / Yakutsk,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19860714-0,Monday,14-JUL-1986,20:25,A2, Landing (LDG),"Kelowna Airport, BC (YLW)",Canada,81,0, Substantial, Repaired,Boeing 737-275,2,Pratt & Whitney JT8D-9A,1978,-,19954.0, C-GGPW, 21639/539,Pacific Western,Domestic Scheduled Passenger, 117,Calgary International Airport,YYC,CYYC,Canada,Kelowna Airport,YLW,CYLW,Canada,5,76,0,0,-,-,Final
19860716-0,Wednesday,16-JUL-1986,-,A2, Landing (LDG),"Ushuaia-Comandante Berisso Airport, TF (EAU)",Argentina,65,0, Substantial, Repaired,Fokker F-28 Fellowship 1000,-,-,1974,-,-, LV-LOA, 11085,Aerolineas Argentinas,Domestic Scheduled Passenger,-,Buenos Aires-Jorge Newbery Airport,AEP,SABE,Argentina,Ushuaia-Comandante Berisso Airport,EAU,SAWO,Argentina,-,-,0,0,-,-,Preliminary
19860719-1,Saturday,19-JUL-1986,11:30,A1, Maneuvering (MNV),3 km (1.9 mls) NNW of Cantallops,Spain,4,4, Destroyed, Written off (damaged beyond repair),Douglas DC-6B,4,Pratt & Whitney R-2800,1957,-,-, F-ZBBU, 45219/815,Securité Civile,Fire fighting,-,-,-,-,-,-,-,-,-,2,2,2,2,-,-,Preliminary - official
19860720-0,Sunday,20-JUL-1986,14:48,A2, Takeoff (TOF),"Wabush Airport, NL (YWK)",Canada,64,0, Unknown, Repaired,Boeing 737-296,2,Pratt & Whitney JT8D-9A,1981,-,12210.0, C-GQBH, 22516/759,Quebecair,Domestic Scheduled Passenger, 461,Wabush Airport,YWK,CYWK,Canada,Sept-Îles Airport,YZV,CYZV,Canada,6,58,0,0,-,-,Final
19860722-0,Tuesday,22-JUL-1986,13:53,A1, Approach (APR),ca 2 km W of San Juan-Luis Muñoz Marín International Airport (SJU),Puerto Rico,2,1, Damaged beyond repair,-,Douglas DC-3A,2,Wright R-1820-202A,1943,-,-, N27PR, 11776,Borinquen Air,Cargo,-,San Juan-Luis Muñoz Marín International Airport,SJU,TJSJ,Puerto Rico,Saint Kitts-Golden Rock Airport,SKB,TKPK,St. Kitts and Nevis,2,0,1,0,-,-,-
19860723-0,Wednesday,23-JUL-1986,-,A1, En route (ENR),Mount Kinpoku,Japan,4,4, Damaged beyond repair,-,Mitusbishi Mu-300 Diamond IA,-,-,-,-,-, JA8246, A092SA,Yomiuri Shimbun,Training,-,Tokyo-Haneda Airport,HND,RJTT,Japan,Niigata Airport,KIJ,RJAN,Japan,4,0,4,0,-,-,-
19860724-0,Thursday,24-JUL-1986,-,A2, Taxi (TXI),Saint Kitts-Golden Rock Airport (SKB),St. Kitts and Nevis,32,0, Substantial, Repaired,de Havilland Canada DHC-8-110,2,Pratt & Whitney Canada PW120A,1986,-,-, V2-LCY, 035,LIAT,Scheduled Passenger,-,Saint Kitts-Golden Rock Airport,SKB,TKPK,St. Kitts and Nevis,-,-,-,-,2,30,0,0,-,-,-
19860725-0,Friday,25-JUL-1986,-,A1, Takeoff (TOF),Tabou Airport (TXU),Cote d'Ivoire,29,0, Damaged beyond repair,-,Fokker F-27 Friendship 600,2,Rolls-Royce Dart 535-7R,1978,9442.0,7399.0, TU-TIF, 10573,Air Ivoire,Scheduled Passenger,-,Tabou Airport,TXU,DITB,Cote d'Ivoire,-,-,-,-,3,26,0,0,-,-,-
19860729-0,Tuesday,29-JUL-1986,-,A1, Unknown (UNK),Krasiny,Poland,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, SP-WZH, 1G184-42,ZUA,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19860731-0,Thursday,31-JUL-1986,-,A1, En route (ENR),Mount Canlandog,Philippines,4,4, Damaged beyond repair,-,Britten-Norman BN-2A-21 Islander,-,-,1975,-,-, RP-C850, 469,Atlas,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19860802-0,Saturday,02-AUG-1986,18:06,A1, Landing (LDG),"Bedford-Virgil I Grissom Municipal Airport, IN (BFR)",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Hawker Siddeley HS-125-1A-522,2,Rolls-Royce Viper 522,1965,-,-, N50HH, 25022,American Agronomics Corp,Private,-,Toledo-Express Airport,TOL,KTOL,United States of America,Bedford-Virgil I Grissom Municipal Airport,BFR,KBFR,United States of America,2,0,2,0,-,-,Final
19860804-0,Monday,04-AUG-1986,00:23,A1, Approach (APR),SW off Saint Vincent-Arnos Vale Airport (SVD),Saint Vincent and the Grenadines,13,13, Missing, Presumed damaged beyond repair,de Havilland Canada DHC-6 Twin Otter 310,2,Pratt & Whitney Canada PT6A-27,1982,-,-, V2-LCJ, 785,LIAT,International Scheduled Passenger, 319,Saint Lucia-Hewanorra Airport,UVF,TLPL,Saint Lucia,Saint Vincent-Arnos Vale Airport,SVD,TVSV,Saint Vincent and the Grenadines,2,11,2,11,-,-,-
19860806-0,Wednesday,06-AUG-1986,-,A1, Landing (LDG),Calabar Airport (CBQ),Nigeria,-,0, Damaged beyond repair,-,Sud Aviation SE-210 Caravelle III,2,Rolls-Royce Avon 527B,1960,-,-, 5N-AWK,  50,Kabo Air,Unknown,-,-,-,-,-,Calabar Airport,CBQ,DNCA,Nigeria,-,-,0,0,-,-,-
19860806-1,Wednesday,06-AUG-1986,14:55,A1, Takeoff (TOF),"Rutland Airport, VT (RUT)",United States of America,3,0, Destroyed, Written off (damaged beyond repair),Learjet 55,2,Garrett TFE731-2-2B,-,-,901.0, N921FP, 55-103,Federal Paper Board,Executive,-,Rutland Airport,RUT,KRUT,United States of America,Teterboro Airport,TEB,KTEB,United States of America,2,1,0,0,-,-,Final
19860810-0,Sunday,10-AUG-1986,07:15,O1, Standing (STD),"Chicago-O'Hare International Airport, IL (ORD)",United States of America,0,0, Destroyed, Written off (damaged beyond repair),McDonnell Douglas DC-10-40,3,Pratt & Whitney JT9D-20,1973,-,29155.0, N184AT, 46751/36,American Trans Air,Domestic Non Scheduled Passenger, 131,Los Angeles International Airport,LAX,KLAX,United States of America,Chicago-O'Hare International Airport,ORD,KORD,United States of America,0,0,0,0,-,-,Final
19860811-0,Monday,11-AUG-1986,-,A1, Maneuvering (MNV),"Konder Mountain, Khabarovsk region",Russia,4,2, Damaged beyond repair,-,Antonov An-2R,-,-,1985,-,-, CCCP-40902, 1G215-39,Aeroflot / Far East,Cargo,-,-,-,-,-,-,-,-,-,3,1,2,0,-,-,Preliminary
19860814-0,Thursday,14-AUG-1986,-,A1, Approach (APR),NW of Mocorón-Durzona Airstrip,Honduras,52,52, Damaged beyond repair,-,Lockheed C-130D-6 Hercules,-,-,1958,-,-, FAH-556, 3194,Honduras AF,Military,-,Tegucigalpa-Toncontin Airport,TGU,MHTG,Honduras,-,-,-,-,6,46,6,46,-,-,-
19860814-1,Thursday,14-AUG-1986,-,A1, Unknown (UNK),near Garut,Indonesia,8,8, Damaged beyond repair,-,Fokker F-27 Friendship 400M,-,-,1976,4540.0,5107.0, T-2702, 10537,Indonesian AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19860816-0,Saturday,16-AUG-1986,-,C1, En route (ENR),near Malakal,South Sudan,60,60, Damaged beyond repair,-,Fokker F-27 Friendship 400M,2,Rolls-Royce Dart 532-7,1965,19290.0,25702.0, ST-ADY, 10277,Sudan Airways,Domestic Scheduled Passenger,-,Malakal Airport,MAK,HSSM,South Sudan,Khartoum-Civil Airport,KRT,HSSS,Sudan,3,57,3,57,-,-,-
19860828-0,Thursday,28-AUG-1986,06:53,A1, Approach (APR),"Texarkana Municipal Airport, AR (TXK)",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Howard 250,2,Wright R-1820-56A,1943,-,9534.0, N252K, 18-2596,Southwest Airlift,Cargo,-,Little Rock National Airport,LIT,KLIT,United States of America,Texarkana Municipal Airport,TXK,KTXK,United States of America,2,0,2,0,-,-,Final
19860828-1,Thursday,28-AUG-1986,-,C1, Unknown (UNK),near Siuma,Nicaragua,2,2, Damaged beyond repair,-,Douglas C-47 (DC-3),-,-,-,-,-, registration unknown,-,Sandinist AF,Military,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19860828-2,Thursday,28-AUG-1986,-,A1, Unknown (UNK),near Lille-Lesquin Airport (LIL),France,-,-, Damaged beyond repair,-,Beechcraft A100 King Air,-,-,-,-,-, F-GEFR, B-220,Flandre Air,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19860828-3,Thursday,28-AUG-1986,-,H2, En route (ENR),Warszawa-Okecie Airport (WAW),Poland,-,0, None,-,Tupolev Tu-134A,-,-,-,-,-, registration unknown,-,LOT,Domestic Scheduled Passenger,-,Wroclaw-Strachowice Airport,WRO,EPWR,Poland,Warszawa-Okecie Airport,WAW,EPWA,Poland,-,-,0,0,-,-,-
19860828-4,Thursday,28-AUG-1986,10:08,A2, Landing (LDG),Rajkot-Civil Airport (RAJ),India,95,0, Substantial, Repaired,Boeing 737-2A8,2,Pratt & Whitney JT8D-9A,1970,-,-, VT-EAJ, 20483/273,Indian Airlines,Domestic Scheduled Passenger,IC115,Bombay-Sahar International Airport,BOM,VABB,India,Rajkot-Civil Airport,RAJ,VARK,India,6,89,0,0,-,-,Final
19860831-0,Sunday,31-AUG-1986,11:52,A1, Approach (APR),"Cerritos, CA",United States of America,64,64, Destroyed, Written off (damaged beyond repair),McDonnell Douglas DC-9-32,2,Pratt & Whitney JT8D-7,1969,-,-, XA-JED, 47356/470,Aeroméxico,International Scheduled Passenger,AM498,Tijuana-Rodriguez Airport,TIJ,MMTJ,Mexico,Los Angeles International Airport,LAX,KLAX,United States of America,6,58,6,58,3,15,Final
19860902-0,Tuesday,02-SEP-1986,05:45,A2, En route (ENR),over North Sea,Atlantic Ocean,1,0, Minor, Repaired,Britten-Norman BN-2A Trislander Mk.III-1,3,Lycoming O-540-E4C5,1974,-,-, G-BCCU, 0366,Kondair,Cargo,-,Amsterdam-Schiphol International Airport,AMS,EHAM,Netherlands,London-Stansted Airport,STN,EGSS,United Kingdom,1,0,0,0,-,-,-
19860902-1,Tuesday,02-SEP-1986,-,A1, Unknown (UNK),"Pickle Lake, ON",Canada,-,-, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,-,-,1955,-,-, C-FBER,  86,Pickle Lake Air Services,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19860903-0,Wednesday,03-SEP-1986,06:53,A1, Approach (APR),"Detroit-Willow Run Airport, MI (YIP)",United States of America,3,0, Substantial, Written off (damaged beyond repair),Learjet 24,2,General Electric CJ610-4,1966,-,8468.0, N88JF, 24-110,Jet Way,Ferry/positioning,-,Kansas City Downtown Municipal Airport,MKC,KMKC,United States of America,Detroit-Willow Run Airport,YIP,KYIP,United States of America,2,1,0,0,-,-,Final
19860905-0,Friday,05-SEP-1986,06:00,H2, Standing (STD),Karachi-Quaid-E-Azam International Airport (KHI),Pakistan,379,20, Minor, Repaired,Boeing 747-121,-,-,1971,-,-, N656PA, 20351/127,Pan Am,International Scheduled Passenger,PA73,Karachi-Jinnah International Airport,KHI,OPKC,Pakistan,Frankfurt International Airport,FRA,EDDF,Germany,19,360,1,19,-,-,-
19860905-1,Friday,05-SEP-1986,-,A1, Landing (LDG),Cluj Airport (CLJ),Romania,55,3, Damaged beyond repair,-,Antonov An-24RV,2,Ivchenko AI-24,1972,-,-, YR-AMF, 27307902,Tarom,Domestic Scheduled Passenger,-,Bucharest-Baneasa Airport,BBU,LRBS,Romania,Cluj-Napoca Airport,CLJ,LRCL,Romania,5,50,3,0,-,-,-
19860909-0,Tuesday,09-SEP-1986,-,A1, Landing (LDG),"Hopkinsville-Fort Campbell AAF, KY (HOP)",United States of America,5,3, Damaged beyond repair,-,Lockheed C-130A Hercules,-,-,1957,-,-, 56-0468, 3076,USAF,Military,-,-,-,-,-,Hopkinsville-Fort Campbell AAF,HOP,KHOP,United States of America,5,0,3,0,-,-,-
19860911-1,Thursday,11-SEP-1986,11:45,A1, Takeoff (TOF),Vanuabalavu Airport (VBV),Fiji,3,1, Damaged beyond repair,-,de Havilland DH-114 Riley Heron 2,-,-,1955,-,-, DQ-FEC, 14078,Fiji Air,Domestic Scheduled Passenger,-,Vanuabalavu Airport,VBV,NFVB,Fiji,Suva-Nausori Airport,SUV,NFSU,Fiji,1,2,0,1,-,-,-
19860914-0,Sunday,14-SEP-1986,03:10,A1, Approach (APR),"4,6 km (2.9 mls) from  Amsterdam-Schiphol International Airport (AMS)",Netherlands,1,1, Damaged beyond repair,-,Britten-Norman BN-2A Trislander Mk.III-2,3,Lycoming O-540-E4C5,1976,-,7100.0, G-BDTP, 1028,Kondair,Cargo, 201,London-Stansted Airport,STN,EGSS,United Kingdom,Amsterdam-Schiphol International Airport,AMS,EHAM,Netherlands,1,0,1,0,-,-,Final
19860919-1,Friday,19-SEP-1986,14:58,A1, En route (ENR),"near Mantiqueira, SP",Brazil,5,5, Destroyed, Written off (damaged beyond repair),Embraer EMB-120RT Brasilia,2,Pratt & Whitney Canada PW115,1986,-,12.0, N219AS, 120019,Delta Connection,Ferry/positioning,-,São José dos Campos Airport,SJK,SBSJ,Brazil,Brasília International Airport,BSB,SBBR,Brazil,3,2,3,2,-,-,Final
19860920-0,Saturday,20-SEP-1986,-,H2, Standing (STD),Ufa Airport (UFA),Russia,78,4, Minor, Repaired,Tupolev Tu-134,-,-,-,-,-, registration unknown,-,Aeroflot,Domestic Scheduled Passenger,-,Ufa Airport,UFA,UWUU,Russia,Nizhnevartovsk Airport,NJC,USNN,Russia,-,-,0,4,-,-,-
19860929-0,Monday,29-SEP-1986,07:19,A1, Takeoff (TOF),Chennai (Madras) Airport (MAA),India,196,0, Damaged beyond repair,-,Airbus A300B2-1C,2,General Electric CF6-50C,1976,-,-, VT-ELV, 022,Indian Airlines,Domestic Scheduled Passenger, 571,Madras Airport,MAA,VOMM,India,Mumbai (Bombay) Airport,BOM,VABB,India,11,185,0,0,-,-,Final
19860929-1,Monday,29-SEP-1986,12:04,A1, Landing (LDG),"Liberal Municipal Airport, KS (LBL)",United States of America,4,0, Substantial, Written off (damaged beyond repair),Rockwell Sabreliner 75A,2,General Electric CF700-2D2,-,-,7327.0, N64, 380-35,FAA,Unknown,-,Oklahoma City-Will Rogers Airport,OKC,KOKC,United States of America,Liberal Municipal Airport,LBL,KLBL,United States of America,2,2,0,0,-,-,Final
