identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19960604-0,Tuesday,04-JUN-1996,13:20,A1, Takeoff (TOF),"Ribeião Preto-Leite Lopes Airport, SP (RAO)",Brazil,4,1, Damaged beyond repair,-,Learjet 25C,-,-,1974,-,-, PT-KBC, 25-165,Aeroexecutivos,Training,-,Ribeirão Preto-Leite Lopes Airport,RAO,SBRP,Brazil,Ribeirão Preto-Leite Lopes Airport,RAO,SBRP,Brazil,4,0,1,0,-,1,Final
19960606-2,Thursday,06-JUN-1996,-,A1, Initial climb (ICL),Kinshasa-N'Djili Airport (FIH),Democratic Republic of the Congo,10,10, Damaged beyond repair,-,Ilyushin Il-76MD,-,-,1983,1358.0,2134.0, UR-76539, 0033442234,Ukraine Air Force,Cargo,-,Kinshasa-N'Djili Airport,FIH,FZAA,Democratic Republic of the Congo,Athens-Ellinikon International Airport,ATH,LGAT,Greece,7,3,7,3,-,-,-
19960607-0,Friday,07-JUN-1996,-,A1, Landing (LDG),Pisa,Italy,4,0, Damaged beyond repair,-,Alenia G-222TCM,-,-,-,-,-, MM62108, 4013,Italian AF,Military,-,-,-,-,-,Pisa International Airport,PSA,LIRP,Italy,4,0,0,0,-,-,-
19960609-3,Sunday,09-JUN-1996,14:55,A1, Landing (LDG),5 km (3.1 mls) W of Rasht Airport (RAS),Iran,7,4, Damaged beyond repair,-,Boeing 727-286,3,Pratt & Whitney JT8D-15,1975,-,38678.0, EP-IRU, 21079/1131,Iran Air,Training,-,Tehran-Mehrabad Airport,THR,OIII,Iran,Rasht Airport,RAS,OIGG,Iran,7,0,4,0,-,-,Final
19960612-0,Wednesday,12-JUN-1996,-,A2, Landing (LDG),near Yambio,South Sudan,-,-, Substantial, Repaired,de Havilland Canada DHC-5D Buffalo,-,-,1979,-,-, 5H-BAF, 94,Trident Aviation,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Preliminary
19960613-0,Thursday,13-JUN-1996,12:08,A1, Takeoff (TOF),Fukuoka Airport (FUK),Japan,275,3, Damaged beyond repair,-,McDonnell Douglas DC-10-30,3,General Electric CF6-50C,1979,-,46325.0, PK-GIE, 46685/284,Garuda,International Scheduled Passenger,GA865,Fukuoka Airport,FUK,RJFF,Japan,Denpasar-Ngurah Rai Bali International Airport,DPS,WADD,Indonesia,15,260,0,3,-,-,Final
19960613-1,Thursday,13-JUN-1996,-,A1, Maneuvering (MNV),"Gorkaya Balka, Sovetskiy district",Russia,2,2, Damaged beyond repair,-,Antonov An-2R,-,-,1983,28240.0,5619.0, RA-84744, 1G202-02,Aviaagro,Agricultural,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19960616-0,Sunday,16-JUN-1996,-,A1, En route (ENR),Hoogeveen,Netherlands,2,0, Damaged beyond repair,-,Shorts SC.7 Skyvan 3-400,2,Garrett TPE331-2-201A,1969,-,-, OE-FDI, SH.1869,Pink Aviation Services,Parachuting,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19960616-1,Sunday,16-JUN-1996,19:14,A1, En route (ENR),"9 km (5.6 mls) E of Cochenour, ON",Canada,7,0, Destroyed, Written off (damaged beyond repair),de Havilland Canada DHC-3 Otter,1,Pratt & Whitney R-1340,1957,-,-, C-FMEL, 222,Wildcountry Airways,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,1,6,0,0,-,-,Final
19960617-0,Monday,17-JUN-1996,-,A1, Unknown (UNK),near Madaniat,Tajikistan,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, UK-17798, 1G203-59,Samarkand Flight Enterprise,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
