identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19380104-0,Tuesday,04-JAN-1938,-,A1, Approach (APR),Frankfurt,Germany,6,6, Damaged beyond repair,-,Junkers Ju-52/3mte,-,-,-,-,-, D-ABUR, 5777,Deutsche Lufthansa,International Scheduled Passenger,-,-,-,-,-,Frankfurt International Airport,FRA,EDDF,Germany,3,3,3,3,-,-,-
19380110-0,Monday,10-JAN-1938,15:07,A1, En route (ENR),"22 km (13.8 mls) NE of Bozeman, MT",United States of America,10,10, Damaged beyond repair,-,Lockheed 14-H Super Electra,-,-,1937,-,-, NC17388, 1407,Northwest Airlines,Domestic Scheduled Passenger,   2,Butte Airport,BTM,KBTM,United States of America,Billings Municipal Airport,BIL,KBIL,United States of America,2,8,2,8,-,-,-
19380111-0,Tuesday,11-JAN-1938,-,A1, En route (ENR),"120 km (75 mls) S off  Pago Pago, American Samoa",Pacific Ocean,7,7, Damaged beyond repair,-,Sikorsky S-42B,-,-,-,-,-, NC16734, 4207,Pan Am,Cargo,-,Pago Pago International Airport,PPG,NSTU,American Samoa,Auckland International Airport,AKL,NZAA,New Zealand,7,0,7,0,-,-,-
19380113-2,Thursday,13-JAN-1938,-,A1, Unknown (UNK),Barcelona,Spain,-,-, Damaged beyond repair,-,Junkers Ju-52/3m,-,-,-,-,-, registration unknown,-,Aviación Nacional,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19380202-0,Wednesday,02-FEB-1938,20:40,A1, En route (ENR),"off San Clemente Island, CA",United States of America,6,3, Damaged beyond repair,-,Consolidated PBY-2 Catalina,-,-,-,-,-, 0463,-,US Navy,Military,-,San Diego-North Island NAS,NZY,KNZY,United States of America,San Diego-North Island NAS,NZY,KNZY,United States of America,-,-,-,-,7,-,-
19380202-1,Wednesday,02-FEB-1938,20:40,A1, En route (ENR),"off San Clemente Island, CA",United States of America,7,7, Damaged beyond repair,-,Consolidated PBY-2 Catalina,-,-,-,-,-, 0462,-,US Navy,Military,-,San Diego-North Island NAS,NZY,KNZY,United States of America,San Diego-North Island NAS,NZY,KNZY,United States of America,-,-,-,-,3,-,-
19380207-0,Monday,07-FEB-1938,-,A1, Maneuvering (MNV),Dessau,Germany,3,1, Damaged beyond repair,-,Junkers Ju-90V1,-,-,-,-,-, D-AALU, 4913,Junkers,Test,-,-,-,-,-,-,-,-,-,3,0,1,0,-,-,-
19380209-0,Wednesday,09-FEB-1938,07:30,A1, Takeoff (TOF),Étang de Berre,France,14,7, Damaged beyond repair,-,Lioré-et-Olivier H.242/1,4,Gnome-Rhône 7Kd Titan Major,-,-,-, F-ANPB, 4,Air France,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,5,9,2,5,-,-,-
19380213-0,Sunday,13-FEB-1938,14:30,A1, En route (ENR),"off Sardinia, Italy",Mediterranean Sea,14,14, Damaged beyond repair,-,CANT Z.506,-,-,1936,-,-, I-ORIA, 297,Ala Littoria,International Scheduled Passenger,-,-,-,-,-,-,-,-,-,4,10,4,10,-,-,-
19380222-0,Tuesday,22-FEB-1938,04:50,A1, Approach (APR),near Pontoise,France,3,3, Damaged beyond repair,-,Junkers Ju-52/3mge,-,-,-,-,-, D-APAR, 4040,Deutsche Lufthansa,Cargo,-,-,-,-,-,Paris-Le Bourget Airport,LBG,LFPB,France,3,0,3,0,-,-,-
19380299-0,-,xx-FEB-1938,-,U1, Unknown (UNK),Barcelona-El Prat Airport (BCN),Spain,-,-, Damaged beyond repair,-,Fokker F.XX,3,Wright R-1820,1933,-,-, EC-45-E, 5347,LAPE,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19380301-0,Tuesday,01-MAR-1938,21:30,A1, En route (ENR),"13 km (8.1 mls) ENE Wawona, CA",United States of America,9,9, Damaged beyond repair,-,Douglas DC-2-112,-,-,1935,-,-, NC13789, 1299,TWA,Domestic Scheduled Passenger,   8,San Francisco Municipal Airport,SFO,KSFO,United States of America,Winslow Airport,INW,KINW,United States of America,3,6,3,6,-,-,-
19380307-0,Monday,07-MAR-1938,-,A1, En route (ENR),"Datia, Madhya Pradesh",India,7,7, Damaged beyond repair,-,Potez 62,2,Gnome-Rhône 14Kirs Mistral Major,-,-,-, F-ANQR, 4031 / 12,Air France,International Scheduled Passenger,-,Calcutta-Dum Dum Airport,CCU,VECC,India,Jodhpur Airport,JDH,VIJO,India,3,4,3,4,-,-,-
