identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20070101-0,Monday,01-JAN-2007,14:59,A1, En route (ENR),85 km (53.1 mls) W off  Pambauang,Indonesia,102,102, Destroyed, Written off (damaged beyond repair),Boeing 737-4Q8,2,CFMI CFM56-3C1,1989,26725.0,45371.0, PK-KKW, 24070/1665,AdamAir,Domestic Scheduled Passenger, 574,Surabaya-Juanda Airport,SUB,WARR,Indonesia,Manado-Sam Ratulangi Airport,MDC,WAMM,Indonesia,6,96,6,96,-,-,Final
20070107-0,Sunday,07-JAN-2007,20:02,A1, Approach (APR),"Sandy Bay Airport, SK",Canada,4,1, Destroyed, Written off (damaged beyond repair),Beechcraft A100 King Air,2,Pratt & Whitney Canada PT6A-28,1974,-,17066.0, C-GFFN, B-190,Transwest Air,Ambulance, 350,La Ronge Airport,YVC,CYVC,Canada,-,-,-,-,2,2,1,0,-,-,Final
20070109-0,Tuesday,09-JAN-2007,-,A1, Approach (APR),near Balad Air Base,Iraq,35,34, Destroyed, Written off (damaged beyond repair),Antonov An-26B-100,2,Ivchenko AI-24VT,1981,-,-, ER-26068, 11308,Aeriantur-M Airlines,Int'l Non Scheduled Passenger,-,Adana Airport,ADA,LTAF,Turkey,-,-,-,-,5,30,5,29,-,-,Preliminary
20070109-1,Tuesday,09-JAN-2007,23:23,A1, Approach (APR),30 km (18.8 mls) E of Guadalajara-Miguel Hidal Airport (GDL),Mexico,2,2, Destroyed, Written off (damaged beyond repair),Learjet 24F,2,General Electric CJ610-6,1977,-,-, N444TW, 24-348,Ameristar Jet Charter,Cargo, 878,Laredo International Airport,LRD,KLRD,United States of America,Guadalajara-Don Miguel Hidalgo y Costilla International Airport,GDL,MMGL,Mexico,2,0,2,0,-,-,Preliminary - official
20070109-2,Tuesday,09-JAN-2007,11:33,A1, Landing (LDG),"Fort St. John Airport, BC (YXJ)",Canada,12,0, Damaged beyond repair,-,British Aerospace 3112 Jetstream 31,2,Garrett TPE331-10UG-513H,1988,-,-, C-FBIP, 820,Peace Air,Domestic Scheduled Passenger, 905,Grande Prairie Airport,YQU,CYQU,Canada,Fort St. John Airport,YXJ,CYXJ,Canada,2,10,0,0,-,-,Final
20070110-0,Wednesday,10-JAN-2007,03:30,A1, En route (ENR),"near Columbus, OH",United States of America,2,0, Damaged beyond repair,-,Learjet 35A,2,Garrett TFE731-2-2B,1979,-,-, N40AN, 35A-271,AirNet Systems,Cargo,-,Jacksonville International Airport,JAX,KJAX,United States of America,-,-,-,-,2,0,0,0,-,-,Final
20070111-0,Thursday,11-JAN-2007,23:50,A2, Landing (LDG),Sangata-Tanjung Bara Airport,Indonesia,13,0, Substantial, Repaired,CASA/IPTN NC-212 Aviocar 200,2,Garrett TPE331,1992,11969.0,9383.0, PK-BRM, 412/92N,Aviastar Mandiri,Domestic Non Scheduled Passenger,-,Balikpapan-Sepingan Airport,BPN,WALL,Indonesia,-,-,-,-,3,10,0,0,-,-,Final
20070112-0,Friday,12-JAN-2007,11:07,A1, Initial climb (ICL),"Los Angeles-Van Nuys Airport, CA (VNY)",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Cessna 525 CitationJet,2,Williams International FJ44-1A,1996,-,3001.0, N77215, 525-0149,SunQuest,Ferry/positioning,-,Los Angeles-Van Nuys Airport,VNY,KVNY,United States of America,Long Beach Municipal Airport,LGB,KLGB,United States of America,2,0,2,0,-,-,Final
20070113-0,Saturday,13-JAN-2007,05:52,A1, Landing (LDG),Kuching Airport (KCH),Malaysia,4,0, Damaged beyond repair,-,Boeing 737-230C,2,Pratt & Whitney JT8D-9A (HK3),1970,-,-, PK-RPX, 20256/238,RPX Airlines,Cargo,-,Kuala Lumpur International Airport,KUL,WMKK,Malaysia,Kuching Airport,KCH,WBGG,Malaysia,4,0,0,0,-,-,Preliminary
20070117-0,Wednesday,17-JAN-2007,15:50,A1, En route (ENR),"8 km (5 mls) W of Nenana, AK",United States of America,2,0, Damaged beyond repair,-,Douglas C-54G,4,Pratt & Whitney R-2000-7M2,1945,-,28933.0, N82FA, 35960/354,Brooks Air Fuel,Cargo,-,Fairbanks International Airport,FAI,PAFA,United States of America,-,-,-,-,2,0,0,0,-,-,Final
20070118-0,Thursday,18-JAN-2007,-,O1, Standing (STD),Jelenia Góra Airport,Poland,0,0, Substantial, Written off (damaged beyond repair),Antonov An-2T,-,-,-,-,-, SP-FIN, 1G89-57,private,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20070118-1,Thursday,18-JAN-2007,-,O2, Standing (STD),Jelenia Góra Airport,Poland,0,0, Substantial, Repaired,Antonov An-2TP,1,Shvetsov ASh-62IR,1988,-,-, SP-AOA, 1G233-21,Aeroklub Jeleniogórski,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20070118-2,Thursday,18-JAN-2007,-,O1, Standing (STD),Coventry-Baginton Airport (CVT),United Kingdom,0,0, Damaged beyond repair,-,Fokker F-27 Friendship 500RF,2,Rolls-Royce Dart 532-7,1982,-,-, TC-MBE, 10639,MNG Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20070122-0,Monday,22-JAN-2007,-,H2, En route (ENR),Johannesburg-O.R. Tambo International Airport (JNB),South Africa,27,0, None,-,ATR 42-500 ?,-,-,-,-,-, registration unknown,-,Air Botswana,International Scheduled Passenger, 201,Gaborone-Sir Seretse Khama International Airport,GBE,FBSK,Botswana,Johannesburg-O.R. Tambo International Airport,JNB,FAOR,South Africa,4,23,0,0,-,-,-
20070124-0,Wednesday,24-JAN-2007,-,H2, En route (ENR),N'Djamena Airport (NDJ),Chad,103,0, None,-,Boeing 737-200,-,-,-,-,-, ST-SDA ?,-,Air West,Domestic Scheduled Passenger, 612,Khartoum-Civil Airport,KRT,HSSS,Sudan,El Fasher Airport,ELF,HSFS,Sudan,8,95,0,0,-,-,-
20070124-1,Wednesday,24-JAN-2007,09:05,A1, Landing (LDG),"Butler County/K. W. Scholter Field Airport, PA (BTP)",United States of America,4,0, Damaged beyond repair,-,Cessna 550 Citation II,2,Pratt & Whitney Canada JT15D-4,1983,-,10730.0, N492AT, 550-0472,Air Trek,Ambulance,-,Winchester Municipal Airport,WGO,KOKV,United States of America,Butler County/K. W. Scholter Field Airport,BTP,KBTP,United States of America,2,2,0,0,-,-,Final
20070124-2,Wednesday,24-JAN-2007,20:00,A1, Taxi (TXI),"Milwaukee-General Mitchell Airport, WI (MKE)",United States of America,1,0, Substantial, Written off (damaged beyond repair),Beechcraft 99A Airliner,2,Pratt & Whitney Canada PT6A-28,1969,-,-, N699CZ, U-133,Freight Runners Express,Cargo,1509,Stevens Point Airport,STE,KSTE,United States of America,Milwaukee-General Mitchell Airport,MKE,KMKE,United States of America,1,0,0,0,-,-,Final
20070124-3,Wednesday,24-JAN-2007,15:06,A2, Landing (LDG),Barcelona Airport (BCN),Spain,44,0, Substantial, Repaired,Canadair CL-600-2B19 Regional Jet CRJ-200ER,2,General Electric CF34-3B1,2001,11776.0,14643.0, EC-IBM, 7591,Air Nostrum,Domestic Scheduled Passenger,8665,Valladolid Airport,VLL,LEVD,Spain,Barcelona-El Prat Airport,BCN,LEBL,Spain,4,40,0,0,-,-,Final
20070125-0,Thursday,25-JAN-2007,11:24,A1, Takeoff (TOF),Pau-Uzein Airport (PUF),France,54,0, Substantial, Written off (damaged beyond repair),Fokker 100,2,Rolls-Royce Tay 620-15,1991,34886.0,28586.0, F-GMPG, 11362,Régional,Domestic Scheduled Passenger,7775,Pau-Uzein Airport,PUF,LFBP,France,Paris-Charles de Gaulle Airport,CDG,LFPG,France,4,50,0,0,-,1,Final
20070125-1,Thursday,25-JAN-2007,16:50,A2, En route (ENR),"near Woodland Park, CO",United States of America,54,0, Minor, Repaired,Canadair CL-600-2B19 Regional Jet CRJ-200LR,2,General Electric CF34-3B1,1999,15438.0,19629.0, N17337, 7337,America West Express,Domestic Scheduled Passenger,2985,Denver International Airport,DEN,KDEN,United States of America,Phoenix-Sky Harbor International Airport,PHX,KPHX,United States of America,4,50,0,0,-,-,Final
20070125-2,Thursday,25-JAN-2007,16:01,A2, Landing (LDG),St. Moritz-Samedan Airport (SMV),Switzerland,15,0, Substantial, Repaired,Beechcraft 1900D,2,Pratt & Whitney Canada PT6A-67D,1999,-,3338.0, F-HALS, UE-379,Alsair,International Scheduled Passenger, 011,Paris-Le Bourget Airport,LBG,LFPB,France,St. Moritz-Samedan Airport,SMV,LSZS,Switzerland,2,13,0,0,-,-,Final
20070202-0,Friday,02-FEB-2007,09:30,A1, En route (ENR),"near Cape Girardeau Airport, MO (CGI)",United States of America,2,0, Damaged beyond repair,-,Beechcraft B200 King Air,2,Pratt & Whitney Canada PT6A-42,1998,-,1834.0, N777AJ, BB-1638,Horizon Timber Services,Ferry/positioning,-,Rogers Municipal Airport-Carter Field,ROG,KROG,United States of America,Staunton-Shenandoah Valley Airport,SHD,KSHD,United States of America,2,0,0,0,-,-,Final
20070203-0,Saturday,03-FEB-2007,-,A1, Unknown (UNK),Yahurabila,Nicaragua,-,0, Damaged beyond repair,-,Beechcraft 300 Super King Air,-,-,-,-,-, registration unknown,-,Unknown,Illegal Flight,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
20070204-0,Sunday,04-FEB-2007,22:55,A1, Landing (LDG),"Miami International Airport, FL (MIA)",United States of America,3,0, Minor, Written off (damaged beyond repair),McDonnell Douglas DC-8-71F,4,CFMI CFM56-2C1,1968,-,-, HK-4277, 45976/372,TAMPA Colombia,Cargo, 724,Rionegro/Medellín-José María Córdova Airport,MDE,SKRG,Colombia,Miami International Airport,MIA,KMIA,United States of America,3,0,0,0,-,-,Final
20070204-1,Sunday,04-FEB-2007,-,O1, Standing (STD),Narsarsuaq Airport (UAK),Greenland,0,0, Damaged beyond repair,-,Antonov An-2R,-,-,1977,-,-, LY-AJG, 1G178-48,private,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,Preliminary
20070205-0,Monday,05-FEB-2007,-,O1, Pushback / towing (PBT),"Minneapolis-St. Paul International Airport, MN (MSP)",United States of America,0,0, Substantial, Written off (damaged beyond repair),McDonnell Douglas DC-9-31,2,Pratt & Whitney JT8D-9A (HK3),1968,-,-, N1308T, 47315/433,Northwest Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20070206-0,Tuesday,06-FEB-2007,21:04,A1, En route (ENR),"24 km (15 mls) NNW of Belgrade , MT",United States of America,3,3, Substantial, Written off (damaged beyond repair),Beechcraft 200 Super King Air,2,Pratt & Whitney Canada PT6A-41,1977,-,5992.0, N45MF, BB-234,Metro Aviation,Ambulance,-,Great Falls International Airport,GTF,KGTF,United States of America,Bozeman-Gallatin Field,BZN,KBZN,United States of America,1,2,1,2,-,-,Final
20070206-1,Tuesday,06-FEB-2007,18:42,A1, Initial climb (ICL),"1,8 km (1.1 mls) SE of North Caicos Airport (NCA)",Turks and Caicos Islands,6,1, Damaged beyond repair,-,Beechcraft 200C Super King Air,2,Pratt & Whitney Canada PT6A-42,1989,31684.0,24578.0, VQ-TIU, BL-131,Air Turks & Caicos,Domestic Scheduled Passenger,-,North Caicos Airport,NCA,MBNC,Turks and Caicos Islands,Grand Turk Island Airport,GDT,MBJT,Turks and Caicos Islands,1,5,1,0,-,-,Final
20070207-0,Wednesday,07-FEB-2007,09:30,A1, Approach (APR),off Suba-Basbas,Philippines,6,0, Substantial, unk,IRMA/Britten-Norman BN-2A-21 Islander,-,-,1971,-,-, RP-C1047, 654,private,Domestic Non Scheduled Passenger,-,Davao City-Francisco Bangoy International Airport,DVO,RPMD,Philippines,Cebu Airport,CEB,RPVM,Philippines,1,5,0,0,-,-,Preliminary
20070208-0,Thursday,08-FEB-2007,02:25,A1, Approach (APR),"8 km (5 mls) NW of Alliance Airport, NE (AIA)",United States of America,1,0, Damaged beyond repair,-,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,1993,-,7248.0, N1116Y, 208B0368,Suburban Air Freight,Cargo,  22,Omaha-Eppley Airfield,OMA,KOMA,United States of America,Scottsbluff-Western Nebraska Regional Airport/William B. Heilig Field,BFF,KBFF,United States of America,1,0,0,0,-,-,Final
20070211-0,Sunday,11-FEB-2007,11:59,A2, Landing (LDG),"Berbegamau Airstrip, QC",Canada,7,0, Minor, Repaired,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1980,-,-, C-GKCJ, 698,Air Inuit,Passenger,-,-,-,-,-,-,-,-,-,2,5,0,0,-,-,Preliminary - official
20070212-0,Monday,12-FEB-2007,20:10,C1, Landing (LDG),20 km (12.5 mls) N of Al-Amarah,Iraq,64,0, Damaged beyond repair,-,Lockheed Hercules C.4 (C-130J-30),4,Rolls-Royce AE2100D3,1999,-,-, ZH876, 5460,RAF,Military,-,-,-,-,-,-,-,-,-,6,58,0,0,-,-,Final
20070213-0,Tuesday,13-FEB-2007,16:37,A1, Takeoff (TOF),Moskva-Vnukovo Airport (VKO),Russia,3,0, Destroyed, Written off (damaged beyond repair),Canadair CL-600-2B19 Regional Jet CRJ-100SE,2,General Electric CF34-3B1,1996,1765.0,3814.0, N168CK, 7099,FortAero,Ferry/positioning,-,Moskva-Vnukovo Airport,VKO,UUWW,Russia,Berlin-Schönefeld Airport,SXF,EDDB,Germany,3,0,0,0,-,-,Final
20070215-0,Thursday,15-FEB-2007,-,H2, En route (ENR),Las Palmas-Gando Air Base (LPA),Spain,79,0, None,-,Boeing 737-7Q8,-,-,-,-,-, registration unknown,-,Air Mauritanie,Domestic Scheduled Passenger,-,Nouakchott Airport,NKC,GQNN,Mauritania,Nouadhibou Airport,NDB,GQPP,Mauritania,8,71,0,0,-,-,Preliminary
20070215-1,Thursday,15-FEB-2007,-,A1, En route (ENR),near Walikale,Democratic Republic of the Congo,1,1, Missing, Presumed damaged beyond repair,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,1998,-,-, 5Y-BNN, 208B0683,Stellavia,Cargo,-,Goma Airport,GOM,FZNA,Democratic Republic of the Congo,-,-,-,-,1,0,1,0,-,-,-
20070218-0,Sunday,18-FEB-2007,15:06,A2, Landing (LDG),"Cleveland-Hopkins International Airport, OH (CLE)",United States of America,75,0, Substantial, Repaired,Embraer ERJ 170-100 SE (ERJ-170SE),2,General Electric CF34-8E,2005,-,-, N862RW, 17000098,Shuttle America,Domestic Scheduled Passenger,6448,Atlanta Hartsfield-Jackson International Airport,ATL,KATL,United States of America,Cleveland-Hopkins International Airport,CLE,KCLE,United States of America,4,71,0,0,-,-,Final
20070221-0,Wednesday,21-FEB-2007,15:25,A1, Landing (LDG),Surabaya-Juanda Airport (SUB),Indonesia,155,0, Substantial, Written off (damaged beyond repair),Boeing 737-33A,2,CFMI CFM56-3C1,1994,23824.0,37936.0, PK-KKV, 27284/2606,AdamAir,Domestic Scheduled Passenger, 172,Jakarta-Soekarno-Hatta International Airport,CGK,WIII,Indonesia,Surabaya-Juanda Airport,SUB,WARR,Indonesia,7,148,0,0,-,-,Final
20070224-0,Saturday,24-FEB-2007,09:00,A1, Landing (LDG),Geneina Airport (EGN),Sudan,-,0, Damaged beyond repair,-,Antonov An-12BP,4,Ivchenko AI-20M,1961,-,-, ST-AQE, 01400106,United Arabian Airlines,Cargo,-,Khartoum-Civil Airport,KRT,HSSS,Sudan,Geneina Airport,EGN,HSCN,Sudan,-,-,0,0,-,-,-
20070226-0,Monday,26-FEB-2007,10:00,A2, Standing (STD),London-Heathrow Airport (LHR),United Kingdom,205,0, Minor, Repaired,Boeing 777-222ER,2,Pratt & Whitney PW4090,1997,6622.0,43519.0, N786UA, 26938/52,United Airlines,International Scheduled Passenger,-,London-Heathrow Airport,LHR,EGLL,United Kingdom,-,-,-,-,20,185,0,0,-,-,Final
20070228-0,Wednesday,28-FEB-2007,09:47,A1, Landing (LDG),Valencia Airport (VLN),Venezuela,3,0, Substantial, Written off (damaged beyond repair),Rockwell Sabreliner 75A,2,General Electric CF700,1973,-,-, YV265T, 380-2,Unknown,Unknown,-,Barcelona-Gen J A Anzoategui Airport,BLA,SVBC,Venezuela,Valencia Airport,VLN,SVVA,Venezuela,2,1,0,0,-,-,-
20070303-0,Saturday,03-MAR-2007,16:36,A1, Approach (APR),"0,4 km (0.3 mls) NE of Ruhnu Airport",Estonia,3,0, Damaged beyond repair,-,Britten-Norman BN-2B-26 Islander,2,Lycoming O-540-E4C5,1994,27857.0,2811.0, D-ILFB, 2271,LFH Luftverkehr,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,1,2,0,0,-,-,Final
20070307-0,Wednesday,07-MAR-2007,07:58,A1, Landing (LDG),Yogyakarta-Adisutjipto Airport (JOG),Indonesia,140,21, Destroyed, Written off (damaged beyond repair),Boeing 737-497,2,CFMI CFM56-3C1,1992,37360.0,35207.0, PK-GZC, 25664/2393,Garuda,Domestic Scheduled Passenger,GA200,Jakarta-Soekarno-Hatta International Airport,CGK,WIII,Indonesia,Yogyakarta-Adisutjipto Airport,JOG,WARJ,Indonesia,7,133,1,20,-,-,Final
20070309-0,Friday,09-MAR-2007,08:35,C1, Landing (LDG),Mogadishu International Airport (MGQ),Somalia,15,0, Damaged beyond repair,-,Ilyushin Il-76TD,4,Soloviev D-30KP-2,1990,-,-, EW-78826, 1003499991,Transaviaexport,Cargo,-,Entebbe Airport,EBB,HUEN,Uganda,Mogadishu International Airport,MGQ,HCMM,Somalia,9,6,0,0,-,-,Preliminary
20070312-0,Monday,12-MAR-2007,06:30,A1, Takeoff (TOF),Dubai Airport (DXB),United Arab Emirates,250,0, Damaged beyond repair,-,Airbus A310-325,2,Pratt & Whitney PW4158A,1996,-,-, S2-ADE, 698,Biman Bangladesh,International Scheduled Passenger,BG006,Dubai Airport,DXB,OMDB,United Arab Emirates,Dhaka-Zia International Airport,DAC,VGZR,Bangladesh,14,236,0,0,-,-,Preliminary
20070312-1,Monday,12-MAR-2007,-,A1, Taxi (TXI),Kuwait International Airport (KWI),Kuwait,-,0, Damaged beyond repair,-,Saab 340A,2,General Electric CT7-5A2,1984,-,-, OD-IST, 340A-013,First Kuwaiti Trading & Contracting,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,Preliminary
20070313-0,Tuesday,13-MAR-2007,10:54,A2, Landing (LDG),Kochi Airport (KCZ),Japan,60,0, Substantial, Repaired,de Havilland Canada DHC-8-402Q Dash 8,2,Pratt & Whitney Canada PW150A,2005,4197.0,2996.0, JA849A, 4106,Air Central Co.,Domestic Scheduled Passenger,1603,Osaka-Itami Airport,ITM,RJOO,Japan,Kochi Airport,KCZ,RJOK,Japan,4,56,0,0,-,-,Final
20070314-0,Wednesday,14-MAR-2007,-,A2, En route (ENR),"Ostromechevo, Brest district",Belarus,-,0, Substantial, Repaired,Antonov An-2R,1,Shvetsov ASh-62IR,1985,-,-, EW-32744, 1G212-49,Aviakompania Grodno,Agricultural,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,Preliminary
20070316-0,Friday,16-MAR-2007,-,A1, Landing (LDG),Kish Island Airport (KIH),Iran,158,0, Damaged beyond repair,-,McDonnell Douglas DC-9-82 (MD-82),2,Pratt & Whitney JT8D-217C,1986,-,-, LZ-LDD, 49218/1274,Bulgarian Air Charter,Unknown,-,Dubai Airport,DXB,OMDB,United Arab Emirates,Kish Island Airport,KIH,OIBK,Iran,4,154,0,0,-,-,Preliminary
20070317-0,Saturday,17-MAR-2007,11:42,A1, Landing (LDG),Samara Airport (KUF),Russia,57,6, Destroyed, Written off (damaged beyond repair),Tupolev Tu-134A-3,2,Soloviev D-30-III,1976,-,-, RA-65021, 48390,UTair Aviation,Domestic Scheduled Passenger, 471,Surgut Airport,SGC,USRR,Russia,Samara Airport,KUF,UWWW,Russia,7,50,0,6,-,-,Final
20070317-1,Saturday,17-MAR-2007,14:30,A2, Landing (LDG),"Beverly Airport, MA (BVY)",United States of America,6,0, Substantial, unk,Cessna 500 Citation I,2,Pratt & Whitney Canada JT15D-1,1974,-,22015.0, N511AT, 500-0166,Air Trek,Ambulance,-,Punta Gorda-Charlotte County Airport,PGD,KPGD,United States of America,Beverly Airport,BVY,KBVY,United States of America,4,2,0,0,-,-,Final
20070323-0,Friday,23-MAR-2007,14:00,C1, Initial climb (ICL),near Mogadishu International Airport (MGQ),Somalia,11,11, Destroyed, Written off (damaged beyond repair),Ilyushin Il-76TD,4,Soloviev D-30KP-2,1991,-,-, EW-78849, 1013405192,Transaviaexport,Cargo,-,Mogadishu International Airport,MGQ,HCMM,Somalia,Djibouti-Ambouli Airport,JIB,HDAM,Djibouti,4,7,4,7,-,-,Preliminary
20070323-1,Friday,23-MAR-2007,13:49,A1, Landing (LDG),Istanbul-Atatürk International Airport (IST),Turkey,50,0, Substantial, Written off (damaged beyond repair),Airbus A300B4-203,2,General Electric CF6-50C2,1982,-,-, YA-BAD, 177, Ariana Afghan Airlines,International Scheduled Passenger,FG719,Ankara-Esenboga Airport,ESB,LTAC,Turkey,Istanbul-Atatürk International Airport,IST,LTBA,Turkey,20,30,0,0,-,-,Preliminary
