identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19950916-2,Saturday,16-SEP-1995,14:15,A2, Taxi (TXI),Hamburg-Fuhlsbüttel Airport (HAM),Germany,224,0, Substantial, Repaired,Boeing 767-332ER,2,Pratt & Whitney PW4060,1990,-,-, N172DN, 24775/312,Delta Air Lines,International Scheduled Passenger,DL069,Hamburg-Fuhlsbüttel Airport,HAM,EDDH,Germany,Atlanta-William B. Hartsfield International Airport,ATL,KATL,United States of America,12,212,0,0,-,-,-
19950916-3,Saturday,16-SEP-1995,20:20,A2, Takeoff (TOF),"South Bend Regional, IN (SBN)",United States of America,2,0, Substantial, Repaired,Swearingen SA226-TC Metro II,-,-,-,-,23275.0, N169GA, TC-376,Grand Aire Express,Ferry/positioning,-,South Bend Regional,SBN,KSBN,United States of America,Panama City-Northwest Florida Beaches International Airport,ECP,KECP,United States of America,2,0,0,0,-,-,Final
19950918-0,Monday,18-SEP-1995,-,A1, Unknown (UNK),Skopje,North Macedonia,2,2, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, Z3-BGE, 1G111-14,Aviotransport Macedonia,Fire fighting,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19950919-0,Tuesday,19-SEP-1995,-,H2, En route (ENR),Ovda Airport (VDA),Israel,177,0, None,-,Boeing 707-3J9C,-,-,1976,-,-, EP-SHE, 21127/915,Saha Air,Domestic Scheduled Passenger,-,Tehran-Mehrabad Airport,THR,OIII,Iran,Kish Island Airport,KIH,OIBK,Iran,13,164,0,0,-,-,-
19950920-0,Wednesday,20-SEP-1995,20:00,A1, Approach (APR),"Salvesen Lake, ON",Canada,6,6, Substantial, Written off (damaged beyond repair),de Havilland Canada DHC-3 Otter,-,-,1953,-,-, C-FGCV, 2,Walsten Air Service,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,Preliminary - official
19950921-0,Thursday,21-SEP-1995,12:30,A1, Approach (APR),Choho Geologloh Uul,Mongolia,43,42, Damaged beyond repair,-,Antonov An-24RV,2,Ivchenko AI-24VT,1975,-,-, BNMAU-10103, 57310103,MIAT,Domestic Scheduled Passenger,-,Ulan Bator-Buyant Uhaa Airport,ULN,ZMUB,Mongolia,Moron Airport,MXV,ZMMN,Mongolia,6,37,6,36,-,-,-
19950922-0,Friday,22-SEP-1995,07:47,A1, Takeoff (TOF),"ca 2 km NE of Anchorage-Elmendorf AFB, AK (EDF)",United States of America,24,24, Destroyed, Written off (damaged beyond repair),Boeing E-3A Sentry (707-300B),4,Pratt & Whitney JT3D (TF33-100A),1978,-,-, 77-0354, 21554/933,USAF,Military,  27,Anchorage-Elmendorf AFB,EDF,PAED,United States of America,Anchorage-Elmendorf AFB,EDF,PAED,United States of America,4,20,4,20,-,-,Final
19950922-1,Friday,22-SEP-1995,23:00,A1, Landing (LDG),In Amenas Airport (IAM),Algeria,4,0, Damaged beyond repair,-,Learjet 36A,2,Garrett TFE731-2-2B,1978,-,-, HB-VFS, 36-042,Executive Jet Aviation,Ferry/positioning,-,Genève-Cointrin Airport,GVA,LSGG,Switzerland,In Amenas Airport,IAM,DAUZ,Algeria,2,2,0,0,-,-,-
19950927-0,Wednesday,27-SEP-1995,19:10,A1, Approach (APR),"13 km (8.1 mls) NW of Campbell River, BC",Canada,10,8, Damaged beyond repair,-,de Havilland Canada DHC-3T Vazar Turbine Otter,1,Pratt & Whitney Canada PT6A-135A,1954,-,16428.0, C-FEBX,  38,Western Straits Air,Domestic Scheduled Passenger,-,-,-,-,-,Campbell River Airport,YBL,CYBL,Canada,1,9,1,7,-,-,Final
19951003-1,Tuesday,03-OCT-1995,08:00,A1, En route (ENR),Gunung Antara,Indonesia,14,1, Damaged beyond repair,-,CASA/Nurtanio NC-212-A4 Aviocar 100,2,Garrett TPE331-5-251C,1981,-,-, PK-ZAG, 158/28N,Sabang Merauke Raya Air Charter,Domestic Scheduled Passenger,1994,Medan-Polonia Airport,MES,WIMM,Indonesia,Meulaboh-Seunagan Airport,MEQ,WITC,Indonesia,2,12,1,0,-,-,-
19951011-0,Wednesday,11-OCT-1995,-,A1, Unknown (UNK),ca 15 km N of Cahors,France,4,4, Damaged beyond repair,-,Morane Saulnier MS.760B Paris II,-,-,-,-,-, 117, 117,French AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19951012-1,Thursday,12-OCT-1995,18:00,A2, Landing (LDG),"Cleveland-Hopkins International Airport, OH (CLE)",United States of America,9,0, Substantial, Repaired,Grumman American G-1159 Gulfstream II,-,-,1975,-,-, N635AV, 168,The Air Group,Executive,-,Iqaluit Airport,YFB,CYFB,Canada,Cleveland-Hopkins International Airport,CLE,KCLE,United States of America,3,6,0,0,-,-,Final
19951018-0,Wednesday,18-OCT-1995,09:46,A1, Landing (LDG),Male International Airport (MLE),Maldives,8,0, Damaged beyond repair,-,Dornier 228-212K,2,Garrett TPE331,1992,-,3858.0, 9M-PEQ, 8213,Air Maldives,Domestic Scheduled Passenger,3312,Kadhdhoo Airport,KDO,VRMK,Maldives,Malé International Airport,MLE,VRMM,Maldives,3,5,0,0,-,-,Final
