identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19420109-0,Friday,09-JAN-1942,-,A1, Landing (LDG),Galapagos Island,Ecuador,-,-, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, 2368,-,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19420110-1,Saturday,10-JAN-1942,-,A1, En route (ENR),off Kema,Indonesia,6,6, Missing, Presumed damaged beyond repair,Consolidated PBY-5 Catalina,-,-,-,-,-, Y-58,-,Dutch Navy,Military,-,-,-,-,-,-,-,-,-,6,0,6,0,-,-,-
19420111-0,Sunday,11-JAN-1942,19:30,A1, Landing (LDG),"Pearl Harbor NAS, HI",United States of America,5,3, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, 2452,-,US Navy,Military,-,-,-,-,-,-,-,-,-,5,0,3,0,-,-,-
19420113-0,Tuesday,13-JAN-1942,-,A1, En route (ENR),near Smelovka,Russia,6,2, Damaged beyond repair,-,Lisunov PS-84,-,-,-,-,-, CCCP-L3438, 7515,Aeroflot,Unknown,-,-,-,-,-,-,-,-,-,5,1,1,1,-,-,-
19420113-1,Tuesday,13-JAN-1942,-,A1, Landing (LDG),"Selma-Craig Field, AL (SEM)",United States of America,-,0, Damaged beyond repair,-,Douglas C-33 (DC-2),-,-,1936,-,-, 36-72, 1505,USAAF,Military,-,-,-,-,-,Selma-Craig AFB,SEM,KSEM,United States of America,-,-,0,0,-,-,-
19420113-2,Tuesday,13-JAN-1942,-,A1, En route (ENR),near Odessa,Ukraine,9,9, Damaged beyond repair,-,Junkers Ju-52/3mg4e,-,-,-,-,-, G6+GW, 6857,German AF,Military,-,-,-,-,-,-,-,-,-,5,4,5,4,-,-,-
19420113-3,Tuesday,13-JAN-1942,-,A1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Junkers Ju-52/3m,-,-,-,-,-, D-AXAT, 5693,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19420114-2,Wednesday,14-JAN-1942,-,A1, Standing (STD),Kastrup airfield,Denmark,0,0, Damaged beyond repair,-,Junkers Ju-52/3mge,-,-,-,-,-, registration unknown, 4047,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19420115-0,Thursday,15-JAN-1942,-,O1, Standing (STD),Fossvogur,Iceland,0,0, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, 2326,-,US Navy,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19420115-1,Thursday,15-JAN-1942,-,O1, Standing (STD),Fossvogur,Iceland,0,0, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, 2331,-,US Navy,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19420115-2,Thursday,15-JAN-1942,-,O1, Standing (STD),Fossvogur,Iceland,0,0, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, 2337,-,US Navy,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19420115-3,Thursday,15-JAN-1942,-,A1, Takeoff (TOF),Kavieng Harbour,Papua New Guinea,9,9, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, A24-11, 279,RAAF,Military,-,-,-,-,-,-,-,-,-,9,0,9,0,-,-,-
19420115-4,Thursday,15-JAN-1942,-,O1, Standing (STD),"Stranraer, Kirkcudbrightshire",United Kingdom,0,0, Damaged beyond repair,-,Short Sunderland I,-,-,-,-,-, L2163,-,RAF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19420116-0,Friday,16-JAN-1942,19:20,A1, En route (ENR),"53 km (33.1 mls) SW of Las Vegas, NV",United States of America,22,22, Damaged beyond repair,-,Douglas DC-3-382,2,Wright R-1820-G202A,1941,-,-, NC1946, 3295,TWA,Domestic Scheduled Passenger,   3,Las Vegas McCarran Field,LSV,KLSV,United States of America,Hollywood-Lockheed Air Terminal,BUR,KBUR,United States of America,3,19,3,19,-,-,Final
