identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19560109-0,Monday,09-JAN-1956,-,A1, Landing (LDG),Thorney Island RAF Station,United Kingdom,-,0, Damaged beyond repair,-,Handley Page Marathon T.2,-,-,1950,-,-, XA254, 106,RAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19560111-0,Wednesday,11-JAN-1956,-,A1, En route (ENR),57 km (35.6 mls) WSW of Blida,Algeria,-,6, Damaged beyond repair,-,Nord 2501 Noratlas,2,Bristol Hercules 739,-,-,-, 71, 71,French AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19560112-0,Thursday,12-JAN-1956,03:40,A1, Approach (APR),"Frederick Henry Bay, TAS",Australia,2,1, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, VH-BZA, 4651,Ansett-ANA,Cargo,-,Melbourne-Essendon Airport,MEB,YMEN,Australia,-,-,-,-,2,0,1,0,-,-,Final
19560113-0,Friday,13-JAN-1956,-,A1, Landing (LDG),Malta-Luqa Airport (MLA),Malta,8,0, Damaged beyond repair,-,Lockheed Neptune MR.1,-,-,-,-,-, WX547, 426-5163,RAF,Military,-,-,-,-,-,Malta-Luqa Airport,MLA,LMML,Malta,8,0,0,0,-,-,-
19560117-0,Tuesday,17-JAN-1956,00:52,A1, Unknown (UNK),"Oreway, QC",Canada,18,4, Damaged beyond repair,-,Douglas C-47B-20-DK (DC-3),2,Pratt & Whitney R-1830-90C,1944,-,-, CF-GVZ, 26997/15552,Quebecair,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,3,15,3,1,-,-,-
19560118-0,Wednesday,18-JAN-1956,-,A1, En route (ENR),12 km (7.5 mls) from  Toryska,Slovakia,26,22, Damaged beyond repair,-,Douglas C-47A-20-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, OK-WDZ, 9385,CSA,Domestic Scheduled Passenger,-,Bratislava-Ivanka Airport,BTS,LZIB,Slovakia,Koice-Barca Airport,KSC,LZKZ,Slovakia,4,22,4,18,-,-,-
19560120-0,Friday,20-JAN-1956,08:50,A1, Takeoff (TOF),Blackbushe Airport (BBS),United Kingdom,5,0, Damaged beyond repair,-,Vickers 701 Viscount,-,-,1953,-,-, G-AMOM,  26,BEA,Training,-,Blackbushe Airport,BBS,EGLK,United Kingdom,Blackbushe Airport,BBS,EGLK,United Kingdom,5,0,0,0,-,-,-
19560122-1,Sunday,22-JAN-1956,-,U1, Unknown (UNK),at an unknown location,Colombia,-,-, Damaged beyond repair,-,Douglas C-47A-50-DL (DC-3),-,-,1943,-,-, HK-303, 10032,Avianca,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19560124-0,Tuesday,24-JAN-1956,-,A1, Landing (LDG),"Kuujjuaq Airport, QC (YVP)",Canada,-,0, Damaged beyond repair,-,Avro 685 York C.1,4,Rolls-Royce Merlin,1945,-,-, CF-HMU,-,Maritime Central Airways,Unknown,-,-,-,-,-,Kuujjuaq-Fort Chimo Airport,YVP,CYVP,Canada,-,-,0,0,-,-,-
19560124-1,Tuesday,24-JAN-1956,-,A1, Unknown (UNK),Nantes-Chateau Bougon Airport,France,5,0, Damaged beyond repair,-,Douglas C-47A-15-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, F-BAXT, 9274,Air France,Training,-,-,-,-,-,-,-,-,-,5,0,0,0,-,-,-
