identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19710724-1,Saturday,24-JUL-1971,-,H2, En route (ENR),at an unknown location,Cuba,83,0, Unknown,-,McDonnell Douglas DC-8,-,-,-,-,-, registration unknown,-,National Airlines,Domestic Scheduled Passenger, 183,Miami International Airport,MIA,KMIA,United States of America,Jacksonville International Airport,JAX,KJAX,United States of America,7,76,0,0,-,-,-
19710725-0,Sunday,25-JUL-1971,13:21,A1, Approach (APR),32 km (20 mls) ENE of Manila International Airport (MNL),Philippines,4,4, Damaged beyond repair,-,Boeing 707-321C,4,Pratt & Whitney JT3D-3B,1967,-,-, N461PA, 19371/653,Pan Am,Cargo,PA6005,Guam International Airport,GUM,PGUM,Guam,Manila International Airport,MNL,RPLL,Philippines,4,0,4,0,-,-,-
19710725-1,Sunday,25-JUL-1971,-,A1, Approach (APR),Irkutsk Airport (IKT),Russia,126,97, Damaged beyond repair,-,Tupolev Tu-104B,2,Mikulin AM-3M-500,1958,-,-, CCCP-42405, 820202,Aeroflot / West Siberia,Domestic Scheduled Passenger,-,Novosibirsk-Tolmachevo Airport,OVB,UNNN,Russia,Irkutsk Airport,IKT,UIII,Russia,8,118,4,93,-,-,-
19710727-0,Tuesday,27-JUL-1971,-,U1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,CASA 352 (Junkers Ju-52),-,-,-,-,-, T.2B-198, 89,Spanish AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710728-0,Wednesday,28-JUL-1971,-,A1, Landing (LDG),Lipetsk Airport (LPK),Russia,-,0, Damaged beyond repair,-,Yakovlev Yak-40,3,Ivchenko AI-25,1969,-,-, CCCP-87719, 9940408,Aeroflot / Moscow,Domestic Scheduled Passenger,-,-,-,-,-,Lipetsk Airport,LPK,UUOL,Russia,-,-,0,0,-,-,-
19710729-1,Thursday,29-JUL-1971,14:58,A1, Approach (APR),Calcutta-Dum Dum Airport (CCU),India,7,0, Substantial, Written off (damaged beyond repair),Antonov An-12B,4,Ivchenko AI-20M,1970,-,-, CCCP-12993, 00347307,Aeroflot / International,Int'l Non Scheduled Passenger,-,Raipur Airport,RPR,VARP,India,Calcutta-Dum Dum Airport,CCU,VECC,India,7,0,0,0,-,-,-
19710730-0,Friday,30-JUL-1971,14:54,A1, En route (ENR),near Pau,France,39,37, Damaged beyond repair,-,Nord 2501 Noratlas,2,Bristol Hercules 739,-,-,-, 49/F-RABB, 49,French AF,Military,-,Pau-Uzein Airport,PUF,LFBP,France,Pau-Uzein Airport,PUF,LFBP,France,3,36,3,34,-,-,-
19710730-1,Friday,30-JUL-1971,14:00,A1, En route (ENR),near Shizukuishi,Japan,162,162, Destroyed, Written off (damaged beyond repair),Boeing 727-281,3,Pratt & Whitney JT8D-9A,1971,-,865.0, JA8329, 20436/788,All Nippon,Domestic Scheduled Passenger,NH58,Sapporo-Chitose Airport,CTS,RJCC,Japan,Tokyo-Haneda Airport,HND,RJTT,Japan,7,155,7,155,-,-,-
19710730-2,Friday,30-JUL-1971,15:29,A2, Takeoff (TOF),"San Francisco International Airport, CA (SFO)",United States of America,218,0, Substantial, Repaired,Boeing 747-121,4,Pratt & Whitney JT9D-3A,1969,-,2898.0, N747PA, 19639/2,Pan Am,International Scheduled Passenger,PA845,San Francisco International Airport,SFO,KSFO,United States of America,-,-,-,-,19,199,0,0,-,-,Final
19710799-0,-,XX-JUL-1971,-,A1, Landing (LDG),Lyon-Bron Airport (LYN),France,-,0, Damaged beyond repair,-,Morane Saulnier MS.760 Paris I,-,-,-,-,-, 31, 31,French Navy,Military,-,-,-,-,-,Lyon-Bron Airport,LYN,LFLY,France,-,-,0,0,-,-,-
19710799-2,-,xx-JUL-1971,-,A1, Unknown (UNK),Benghazi-Benina Airport (BEN),Libya,-,-, Damaged beyond repair,-,Douglas DC-3C,-,-,1944,-,-, OO-SBC, 13457,BIAS,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710804-0,Wednesday,04-AUG-1971,21:23,A2, Approach (APR),"Compton, CA",United States of America,96,0, Substantial, Repaired,Boeing 707-324C,-,-,1967,-,-, N47330, 19353/587,Continental Air Lines,Domestic Scheduled Passenger,CO712,Hilo International Airport,ITO,PHTO,United States of America,Los Angeles International Airport,LAX,KLAX,United States of America,9,87,0,0,-,-,Final
19710807-0,Saturday,07-AUG-1971,-,A1, Takeoff (TOF),"Villa Reynolds Air Base, SL",Argentina,-,0, Damaged beyond repair,-,Douglas C-47A-80-DL Skytrain (DC-3),-,-,1944,-,-, TC-31, 19659,Argentine AF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19710808-0,Sunday,08-AUG-1971,17:24,O1, Landing (LDG),"Honolulu International Airport, HI (HNL)",United States of America,22,0, Damaged beyond repair,-,Vickers 745D Viscount,-,-,1956,-,31354.0, N7415, 113,Aloha Airlines,Domestic Scheduled Passenger, 845,Hilo International Airport,ITO,PHTO,United States of America,Honolulu International Airport,HNL,PHNL,United States of America,3,19,0,0,-,-,Final
19710809-0,Monday,09-AUG-1971,19:20,A1, Landing (LDG),Jaipur-Sanganer Airport (JAI),India,27,0, Substantial, Written off (damaged beyond repair),Vickers 768D Viscount,4,Rolls-Royce Dart 510,1958,-,-, VT-DIX, 292,Indian Airlines,Domestic Scheduled Passenger,-,-,-,-,-,Jaipur-Sanganer Airport,JAI,VIJP,India,4,23,0,0,-,-,-
19710810-0,Tuesday,10-AUG-1971,-,U1, Unknown (UNK),unknown,Unknown country,-,-, Damaged beyond repair,-,Fairchild C-119 Flying Boxcar,-,-,-,-,-, 3149,-,Republic of China AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710811-0,Wednesday,11-AUG-1971,19:00,A1, En route (ENR),Lago Bracciano (RM),Italy,3,1, Damaged beyond repair,-,Grumman HU-16A Albatross,-,-,-,-,-, MM50-175, G-63,Italian AF,Military,-,-,-,-,-,-,-,-,-,3,0,1,0,-,-,-
19710816-0,Monday,16-AUG-1971,20:30,A1, Maneuvering (MNV),near Ahmednagar,India,-,11, Damaged beyond repair,-,Antonov An-12A,4,Ivchenko AI-20K,-,-,-, BL918, 401603,Indian AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Preliminary
19710820-0,Friday,20-AUG-1971,20:40,A1, Landing (LDG),"Pittsburgh International Airport, PA (PIT)",United States of America,53,0, Damaged beyond repair,-,Convair CV-580,-,-,1952,-,-, N5844,  43,Allegheny Airlines,Domestic Scheduled Passenger,-,Parkersburg-Wood County Airport,PKB,KPKB,United States of America,Pittsburgh International Airport,PIT,KPIT,United States of America,3,50,0,0,-,-,Final
19710821-0,Saturday,21-AUG-1971,-,U1, Unknown (UNK),at an unknown location,India,-,-, Damaged beyond repair,-,Douglas C-47A-25-DK (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, BJ923, 13278,Indian AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710822-0,Sunday,22-AUG-1971,-,U1, Unknown (UNK),Kampot Airport (KMT),Cambodia,-,0, Damaged beyond repair,-,Douglas DC-3A-375,2,Pratt & Whitney R-1830,1941,-,-, B-304, 4808,Air Vietnam,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19710822-1,Sunday,22-AUG-1971,-,H2, Unknown (UNK),at an unknown location,Unknown country,-,0, Unknown,-,Ilyushin Il-18,-,-,-,-,-, registration unknown,-,UAA,Unknown,-,Cairo International Airport,CAI,HECA,Egypt,Amman-Marka International Airport,ADJ,OJAM,Jordan,-,-,0,0,-,-,-
19710823-0,Monday,23-AUG-1971,-,U1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Grumman C-2A Greyhound,-,-,-,-,-, 152788, 5,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710824-1,Tuesday,24-AUG-1971,-,C2, Standing (STD),Madrid-Barajas Airport (MAD),Spain,0,0, Substantial, Repaired,Boeing 707,-,-,-,-,-, registration unknown,-,Alia,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19710827-0,Friday,27-AUG-1971,03:44,A1, Initial climb (ICL),"Fairview Park, OH",United States of America,2,1, Destroyed, Written off (damaged beyond repair),Volpar Turboliner,-,-,-,-,-, N351V, AF-295,Chicago & Southern Airlines,Cargo,-,Cleveland-Hopkins International Airport,CLE,KCLE,United States of America,-,-,-,-,2,0,1,0,-,-,Final
19710828-0,Saturday,28-AUG-1971,18:52,A1, Approach (APR),10 km (6.3 mls) NE off  København-Kastrup Airport (CPH),Denmark,34,32, Destroyed, Written off (damaged beyond repair),Ilyushin Il-18V,4,Ivchenko AI-20K,1961,-,13150.0, HA-MOC, 181002903,Malev,International Scheduled Passenger, 731,Oslo-Fornebu Airport,FBU,ENFB,Norway,København-Kastrup Airport,CPH,EKCH,Denmark,9,25,9,23,-,-,Final
19710901-0,Wednesday,01-SEP-1971,-,A1, Maneuvering (MNV),"Pine Point, NWT",Canada,2,2, Damaged beyond repair,-,Consolidated PBY-5A Catalina,-,-,-,-,-, CF-HTN, 1637,Field Aviation,Fire fighting,-,-,-,-,-,-,-,-,-,2,0,2,0,2,-,-
19710901-1,Wednesday,01-SEP-1971,-,A1, Maneuvering (MNV),"Pine Point, NWT",Canada,2,2, Damaged beyond repair,-,Canadian Vickers PBV-1A Canso (PBY-5A),-,-,1943,-,-, CF-IDS, CV-311,Norcanair,Fire fighting,-,-,-,-,-,-,-,-,-,2,0,2,0,2,-,-
