identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19290116-0,Wednesday,16-JAN-1929,-,A1, En route (ENR),"near Toledo, OH",United States of America,1,0, Damaged beyond repair,-,Ford 4-AT-A Tri-Motor,3,Wright J-4 Junior,1927,-,-, NC1076, 4-AT-09,Stout Air Services,Cargo,-,-,-,-,-,-,-,-,-,1,0,0,0,-,-,-
19290299-0,-,xx-FEB-1929,-,A1, Unknown (UNK),"Epinais, Bretagne",France,-,-, Damaged beyond repair,-,Junkers G.24,-,-,1925,-,-, D-899, 904,Deutsche Lufthansa,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19290317-0,Sunday,17-MAR-1929,-,A1, Initial climb (ICL),"near Newark Airport, NJ (EWR)",United States of America,15,14, Damaged beyond repair,-,Ford 4-AT-B Tri-Motor,3,Wright J-5 Whirlwind,1928,-,-, NC7683, 4-AT-41,Colonial Western Airlines,Domestic Non Scheduled Passenger,-,Newark Airport,EWR,KEWR,United States of America,Newark Airport,EWR,KEWR,United States of America,1,14,0,14,-,-,-
19290319-0,Tuesday,19-MAR-1929,-,A1, Landing (LDG),"Dearborn, MI",United States of America,4,4, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC9674, 5-AT-032,Ford Motor Company,Test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19290412-0,Friday,12-APR-1929,-,O1, Standing (STD),off Napoli,Italy,0,0, Damaged beyond repair,-,Dornier Do R4 Superwal,-,-,1928,-,-, I-RIDE, 142,SANA,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19290421-0,Sunday,21-APR-1929,11:45,A1, En route (ENR),"6,5 km (4.1 mls) E of San Diego Airport, CA (SAN)",United States of America,5,5, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1928,-,-, NC9636, 5-AT-010,Maddux Airlines,Domestic Scheduled Passenger,-,San Diego Airport,SAN,KSAN,United States of America,-,-,-,-,2,3,2,3,-,1,-
19290516-0,Thursday,16-MAY-1929,-,A1, En route (ENR),Shepperton,United Kingdom,2,2, Damaged beyond repair,-,Vickers 170 Vanguard,2,Rolls-Royce Condor III,1923,-,-, G-EBCP, 	170/1,Vickers-Armstrongs,Test,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19290519-0,Sunday,19-MAY-1929,-,A1, En route (ENR),"Paddock Wood, Kent",United Kingdom,2,0, Damaged beyond repair,-,Farman F.63bis Goliath,-,-,1921,-,-, F-GEAI, 24,Air Union,Cargo,-,-,-,-,-,Paris-Le Bourget Airport,LBG,LFPB,France,2,0,0,0,-,-,-
19290602-0,Sunday,02-JUN-1929,-,O1, Standing (STD),"Wichita, KS",United States of America,0,0, Damaged beyond repair,-,Fokker F.10A,-,-,1929,-,-, NC393E, 1013,Western Air Express,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19290613-0,Thursday,13-JUN-1929,08:00,A1, Takeoff (TOF),Santiago Airport (SCU),Cuba,5,2, Damaged beyond repair,-,Fokker F.10A,-,-,1928,-,-, NC9700, 1010,Pan Am,Domestic Scheduled Passenger,-,Santiago-Antonio Maceo Airport,SCU,MUCU,Cuba,-,-,-,-,-,-,-,-,-,-,-
