identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19720503-0,Wednesday,03-MAY-1972,-,C1, Maneuvering (MNV),"1,5 km (0.9 mls) NE of An Loc",Vietnam,6,6, Damaged beyond repair,-,Lockheed C-130E Hercules,-,-,1962,-,-, 62-1797, 3748,USAF,Military,-,Saigon-Tan Son Nhat International Airport,SGN,VVTS,Vietnam,Saigon-Tan Son Nhat International Airport,SGN,VVTS,Vietnam,6,0,6,0,-,-,-
19720503-1,Wednesday,03-MAY-1972,-,H2, Unknown (UNK),Sofia,Bulgaria,66,0, Unknown,-,McDonnell Douglas DC-9-32,2,Pratt & Whitney JT8D-9A,1968,-,-, TC-JAB, 45774/336,THY,Domestic Scheduled Passenger,-,-,-,-,-,Istanbul-Yesilköy Airport,IST,LTBA,Turkey,6,60,0,0,-,-,-
19720503-2,Wednesday,03-MAY-1972,18:00,A1, En route (ENR),68 km (42.5 mls) SE of Paramaribo-Zanderij International Airport (PBM),Suriname,11,11, Damaged beyond repair,-,Douglas C-124C Globemaster II,4,Pratt & Whitney R-4360-20WA,-,-,-, 52-1055, 43964,Air National Guard,Military,-,-,-,-,-,Paramaribo-Zanderij International Airport,PBM,SMJP,Suriname,10,1,10,1,-,-,-
19720504-0,Thursday,04-MAY-1972,23:34,A1, Approach (APR),"1,2 km (0.8 mls) from  Bratsk Airport (BTK)",Russia,18,18, Destroyed, Written off (damaged beyond repair),Yakovlev Yak-40,3,Ivchenko AI-25,1970,2249.0,1667.0, CCCP-87778, 9040314,Aeroflot / East Siberia,Domestic Scheduled Passenger, 608,Irkutsk Airport,IKT,UIII,Russia,Bratsk Airport,BTK,UIBB,Russia,4,14,4,14,-,-,-
19720505-0,Friday,05-MAY-1972,22:24,A1, Approach (APR),5 km (3.1 mls) SW of Palermo,Italy,115,115, Destroyed, Written off (damaged beyond repair),Douglas DC-8-43,4,Rolls-Royce Conway 508-12,1961,-,-, I-DIWB, 45625/144,Alitalia,Domestic Scheduled Passenger,AZ112,Roma-Fiumicino Airport,FCO,LIRF,Italy,Palermo-Punta Raisi Airport,PMO,LICJ,Italy,7,108,7,108,-,-,-
19720505-1,Friday,05-MAY-1972,-,H2, En route (ENR),Havana-José Martí International Airport (HAV),Cuba,81,0, None,-,Boeing 737-200,-,-,-,-,-, registration unknown,-,Western Air Lines,Domestic Scheduled Passenger, 407,Salt Lake City International Airport,SLC,KSLC,United States of America,Los Angeles International Airport,LAX,KLAX,United States of America,-,-,0,0,-,-,-
19720505-2,Friday,05-MAY-1972,-,H2, En route (ENR),at an unknown location,Unknown country,55,0, None,-,Boeing 727,-,-,-,-,-, registration unknown,-,Eastern Air Lines,Domestic Scheduled Passenger,EA175,Allentown-Lehigh Valley International Airport,ABE,KABE,United States of America,Washington-Dulles International Airport,IAD,KIAD,United States of America,6,49,0,0,-,-,-
19720505-3,Friday,05-MAY-1972,-,C1, Standing (STD),Phnom Penh-Pochentong Airport (PNH),Cambodia,0,0, Damaged beyond repair,-,de Havilland Canada U-1A Otter (DHC-3),-,-,1959,-,-, 0-81707, 322,Khmer Air Force,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19720505-4,Friday,05-MAY-1972,-,A1, Maneuvering (MNV),Poltava Region,Ukraine,2,2, Damaged beyond repair,-,Antonov An-2R,-,-,1965,-,-, CCCP-25604, 1G61-30,Aeroflot / Ukraine,Agricultural,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-
19720507-0,Sunday,07-MAY-1972,15:35,A1, En route (ENR),"0,9 km (0.6 mls) from  Valledupar Airport (VUP)",Colombia,32,0, Damaged beyond repair,-,Handley Page HPR-7 Herald 101,2,Rolls-Royce Dart (series unknown),1962,-,-, HK-721, 152,La Urraca,Domestic Scheduled Passenger,-,Valledupar Airport,VUP,SKVP,Colombia,Barrancabermeja-Yariguíes Airport,EJA,SKEJ,Colombia,4,28,0,0,-,-,-
19720508-0,Monday,08-MAY-1972,-,H2, En route (ENR),Tel Aviv-Lod International Airport (TLV),Israel,101,3, Unknown,-,Boeing 707-329,-,-,1963,-,-, OO-SJG, 18460/328,Sabena,International Scheduled Passenger,-,Wien-Schwechat International Airport,VIE,LOWW,Austria,Tel Aviv-Lod International Airport,TLV,LLBG,Israel,-,-,0,3,-,-,-
19720508-1,Monday,08-MAY-1972,-,A1, En route (ENR),ca 150 km W of Ciudad Bolívar,Venezuela,6,6, Damaged beyond repair,-,Douglas VC-47J (DC-3),-,-,1944,-,-, YV-C-GAI, 26613/15168,Aerotechnia,Domestic Non Scheduled Passenger,-,Ciudad Bolívar Airport,CBL,SVCB,Venezuela,-,-,-,-,2,4,2,4,-,-,-
19720508-2,Monday,08-MAY-1972,-,A1, Initial climb (ICL),"Argyz District, Tatarstan",Russia,2,2, Damaged beyond repair,-,Antonov An-2R,-,-,1964,18487.0,4891.0, CCCP-45292, 1G46-01,Aeroflot / Tajikistan,Agricultural,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
