identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19840102-0,Monday,02-JAN-1984,-,A1, En route (ENR),near Al Qatrana,Jordan,13,13, Damaged beyond repair,-,CASA C-212-A3 Aviocar 100,-,-,1976,-,-, 325, 55,Jordanian AF,Military,-,-,-,-,-,-,-,-,-,2,11,2,11,-,-,-
19840109-0,Monday,09-JAN-1984,22:32,A1, Initial climb (ICL),"Saint Louis-Lambert International Airport, MO (STL)",United States of America,2,1, Substantial, Written off (damaged beyond repair),Douglas C-47B-20-DK (DC-3),2,Pratt & Whitney R-1830,1945,-,17933.0, C-GSCA, 27190/15745,Skycraft Air Transport,Cargo,-,Saint Louis-Lambert International Airport,STL,KSTL,United States of America,Toronto-Pearson International Airport,YYZ,CYYZ,Canada,2,0,1,0,-,-,Final
19840110-0,Tuesday,10-JAN-1984,19:38,A1, Approach (APR),4 km (2.5 mls) from  Sofia-Vrazhdebna Airport (SOF),Bulgaria,50,50, Damaged beyond repair,-,Tupolev Tu-134A,-,-,1974,-,-, LZ-TUR, 4352308,Balkan Bulgarian,International Scheduled Passenger,-,Berlin-Schönefeld Airport,SXF,EDDB,Germany,Sofia-Vrazhdebna Airport,SOF,LBSF,Bulgaria,5,45,5,45,-,-,-
19840113-0,Friday,13-JAN-1984,-,A1, Landing (LDG),Cochabamba-J Wilsterman Airport (CBB),Bolivia,3,1, Damaged beyond repair,-,Douglas EC-54U (DC-4),-,-,1945,-,-, CP-1090, 36036,NEBA,Cargo,-,Cochabamba-J Wilsterman Airport,CBB,SLCB,Bolivia,-,-,-,-,3,0,1,0,-,-,-
19840113-1,Friday,13-JAN-1984,14:42,A1, Takeoff (TOF),"New York-John F. Kennedy International Airport, NY (JFK)",United States of America,24,0, Substantial, Written off (damaged beyond repair),Fokker F-27 Friendship 100,2,Rolls-Royce Dart 514-7,1958,39945.0,42040.0, N148PM, 10108,Pilgrim Airlines,International Scheduled Passenger,  35,New York-John F. Kennedy International Airport,JFK,KJFK,United States of America,Ottawa International Airport,YOW,CYOW,Canada,3,21,0,0,-,-,Final
19840114-0,Saturday,14-JAN-1984,11:00,A1, Unknown (UNK),near Karimui,Papua New Guinea,10,10, Damaged beyond repair,-,IRMA/Britten-Norman BN-2A-20 Islander,-,-,1975,-,-, P2-ISH, 757,Talair,Domestic Non Scheduled Passenger,-,Kundiawa-Chimbu Airport,CMU,AYCH,Papua New Guinea,Karimui Airport,KMR,AYRI,Papua New Guinea,1,9,1,9,-,-,-
19840115-1,Sunday,15-JAN-1984,-,C1, Unknown (UNK),near Tessenei Airport (TES),Eritrea,-,26, Damaged beyond repair,-,Antonov An-12,-,-,1963,-,-, 1506, 4342002,Ethiopian AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19840116-0,Monday,16-JAN-1984,10:30,A1, Landing (LDG),Kissidougou Airport (KSI),Guinea,17,0, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, 9Q-CYD, 9010,Transports Aériens Zairois - TAZ,Int'l Non Scheduled Passenger,-,Kissidougou Airport,KSI,GUKU,Guinea,-,-,-,-,4,13,0,0,-,-,-
19840118-0,Wednesday,18-JAN-1984,-,U1, Unknown (UNK),Kwajalein Airport (KWA),Marshall Islands,-,-, Damaged beyond repair,-,de Havilland Canada DHC-4A Caribou,-,-,1967,-,-, 66-255, 255,US Army,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19840118-1,Wednesday,18-JAN-1984,-,O2, En route (ENR),113 km (70.6 mls) W of Karachi,Pakistan,261,0, Substantial, Repaired,Boeing 747,-,-,-,-,-, registration unknown,-,Air France,International Scheduled Passenger,AF171,Karachi International Airport,KHI,OPKC,Pakistan,Dhahran International Airport,DHA,OEDR,Saudi Arabia,15,246,0,0,-,-,-
