identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19300119-0,Sunday,19-JAN-1930,18:23,A1, En route (ENR),"Oceanside, CA",United States of America,16,16, Destroyed, Written off (damaged beyond repair),Ford 5-AT-C Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC9689, 5-AT-046,Maddux Airlines,International Scheduled Passenger,-,-,-,-,-,-,-,-,-,2,14,2,14,-,-,-
19300207-0,Friday,07-FEB-1930,-,A1, En route (ENR),SE off Punta Arenas,Chile,6,3, Damaged beyond repair,-,Junkers R-42 (G.24),-,-,-,-,-, J6, 928,Chilean AF,Military,-,-,-,-,-,Punta Arenas-Carlos Ibañez Airport,PUQ,SCCI,Chile,-,-,-,-,-,-,-
19300208-0,Saturday,08-FEB-1930,-,A1, Landing (LDG),"San Marcos, TX",United States of America,7,0, Damaged beyond repair,-,Ford 4-AT-A Tri-Motor,3,Wright J-4 Junior,1927,-,-, NC2492, 4-AT-06,Private,Private,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19300210-0,Monday,10-FEB-1930,13:00,A1, Landing (LDG),"Marden, Kent",United Kingdom,6,2, Destroyed, Written off (damaged beyond repair),Farman F.63bis Goliath,-,-,1920,-,-, F-FHMY, 2,Air Union,International Scheduled Passenger,-,Paris-Le Bourget Airport,LBG,LFPB,France,-,-,-,-,2,4,0,2,-,-,-
19300214-0,Friday,14-FEB-1930,-,A1, Unknown (UNK),Gaza,Egypt,-,0, Damaged beyond repair,-,de Havilland DH.66 Hercules,3,Bristol Jupiter VI,1927,-,-, G-EBNA, 240,Imperial Airways,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19300223-0,Sunday,23-FEB-1930,-,A1, En route (ENR),"25 km (15.6 mls) NE of San Bernardino, CA",United States of America,3,3, Damaged beyond repair,-,Fokker F.10A,-,-,1929,-,-, NC279E, 1011,Western Air Express,Unknown,-,-,-,-,-,Los Angeles Municipal Airport,LAX,KLAX,United States of America,3,0,3,0,-,-,-
19300302-0,Sunday,02-MAR-1930,-,A1, Unknown (UNK),Cordoba,Argentina,-,0, Damaged beyond repair,-,Ford 4-AT-A Tri-Motor,3,Wright J-4 Junior,1927,-,-, R-131, 4-AT-11,NYRBA,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19300408-0,Tuesday,08-APR-1930,-,A1, Unknown (UNK),Buenos Aires,Argentina,-,-, Damaged beyond repair,-,Ford 5-AT-C Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, R-148, 5-AT-063,Tri-Motor Safety Airways,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19300531-0,Saturday,31-MAY-1930,-,A1, En route (ENR),Mount Misim,Papua New Guinea,-,-, Damaged beyond repair,-,Handley Page W.9a Hampstead,-,-,-,-,-, VH-ULK, W.9-1,Ellyou Goldfields Development,Unknown,-,-,-,-,-,Wau Airport,WUG,AYWU,Papua New Guinea,-,-,-,-,-,-,-
19300605-0,Thursday,05-JUN-1930,13:00,A1, Takeoff (TOF),"Boston, MA",United States of America,15,1, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC9675, 5-AT-033,Colonial Air Transport,Domestic Scheduled Passenger,-,Boston Airport,BOS,KBOS,United States of America,-,-,-,-,2,13,0,1,-,-,-
19300625-0,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago Municipal Airport, IL (MDW)",United States of America,0,0, Damaged beyond repair,-,Ford 5-AT-A Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1928,-,-, NC7739, 5-AT-003,Northwest Airways,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300625-1,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago, IL",United States of America,0,0, Damaged beyond repair,-,Fokker F.10A,-,-,-,-,-, NC457E, 1024,Universal Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300625-2,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago, IL",United States of America,0,0, Damaged beyond repair,-,Fokker F.10A,-,-,1929,-,-, NC879E, 1046,Universal Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300625-3,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago, IL",United States of America,0,0, Damaged beyond repair,-,Fokker F.10A,-,-,-,-,-, NC803E, 1032,Universal Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300625-4,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago, IL",United States of America,0,0, Damaged beyond repair,-,Fokker F.10A,-,-,-,-,-, NC135E, 1008,Universal Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300625-5,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago, IL",United States of America,0,0, Damaged beyond repair,-,Fokker F.10,-,-,-,-,-, NC8010, 1004,Shell Oil,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300625-6,Wednesday,25-JUN-1930,-,O1, Standing (STD),"Chicago, IL",United States of America,0,0, Damaged beyond repair,-,Fokker F.10,-,-,-,-,-, NC5614, 1003,Northern Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19300709-0,Wednesday,09-JUL-1930,15:30,A1, En route (ENR),Aalsmeer,Netherlands,3,1, Destroyed, Written off (damaged beyond repair),Farman F.63bis Goliath,-,-,1921,-,-, F-ADFQ, 42,SGTA,Cargo,-,Amsterdam-Schiphol Municipal Airport,AMS,EHAM,Netherlands,-,-,-,-,3,0,1,0,-,-,-
19300712-0,Saturday,12-JUL-1930,-,A1, Unknown (UNK),"Valley Stream, NY",United States of America,-,-, Damaged beyond repair,-,Curtiss Condor 18,-,-,-,-,-, NC....., G.,Curtiss,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
