identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20141201-0,Monday,01-DEC-2014,20:22,A1, En route (ENR),"12,8 km (8 mls) S of Mackall AAF, NC",United States of America,8,0, Substantial,-,Lockheed C-130H Hercules,-,-,1989,-,-, 88-4404, 5157,USAF,Military,PACKR32,Fayetteville-Pope AAF,POB,KPOB,United States of America,Fayetteville-Pope AAF,POB,KPOB,United States of America,8,0,0,0,-,-,Final
20141201-1,Monday,01-DEC-2014,20:22,A2, En route (ENR),"12,8 km (8 mls) S of Mackall AAF, NC",United States of America,5,0, Substantial,-,Alenia C-27J Spartan,-,-,2014,-,-, 10-27030, 4178,US Army,Military,GECKO33,Fayetteville-Pope AAF,POB,KPOB,United States of America,Fayetteville-Pope AAF,POB,KPOB,United States of America,5,0,0,0,-,-,Final
20141204-0,Thursday,04-DEC-2014,14:20,A1, Landing (LDG),Belize City Municipal Airport (TZA),Belize,6,0, Substantial,-,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,2008,-,-, V3-HHU, 208B2025,Tropic Air,Domestic Scheduled Passenger,PM281,San Pedro Airport,SPR,MZSP,Belize,-,-,-,-,1,5,0,0,-,-,Preliminary
20141204-1,Thursday,04-DEC-2014,08:02,A2, Landing (LDG),Zürich-Kloten Airport (ZRH),Switzerland,30,0, Substantial, Repaired,ATR 72-202,2,Pratt & Whitney Canada PW124B,1992,-,-, D-ANFE, 272,Avanti Air,International Scheduled Passenger,F7286,Dresden Airport,DRS,EDDC,Germany,Zürich-Kloten Airport,ZRH,LSZH,Switzerland,4,26,0,0,-,-,Final
20141207-0,Sunday,07-DEC-2014,15:10,A2, Landing (LDG),Providenciales International Airport (PLS),Turks and Caicos Islands,4,0, Minor,-,Beechcraft B99 Airliner,-,-,1974,-,-, VQ-THL, U-164,interCaribbean Airways,Domestic Scheduled Passenger,-,Providenciales International Airport,PLS,MBPV,Turks and Caicos Islands,Grand Turk Island Airport,GDT,MBJT,Turks and Caicos Islands,2,2,0,0,-,-,Final
20141208-0,Monday,08-DEC-2014,10:41,A1, Approach (APR),"1 km (0.6 mls) NW of Gaithersburg-Montgomery County Airport, MD (GAI)",United States of America,3,3, Destroyed, Written off (damaged beyond repair),Embraer EMB-500 Phenom 100,2,Pratt & Whitney Canada PW617F-E,2009,-,-, N100EQ, 50000082,Sage Aviation,Private,-,-,-,-,-,Gaithersburg-Montgomery County Airport,GAI,KGAI,United States of America,1,2,1,2,-,3,Final
20141209-0,Tuesday,09-DEC-2014,-,C1, Unknown (UNK),within Venezuela,Venezuela,-,-, Damaged beyond repair,-,Rockwell Sabreliner 60ELXM,-,-,1978,-,-, XB-KLQ, 306-132,Unknown,Illegal Flight,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20141212-0,Friday,12-DEC-2014,06:20,A1, Approach (APR),Hokandara,Sri Lanka,5,5, Damaged beyond repair,-,Antonov An-32B,2,Ivchenko AI-20,1996,-,-, SCM-864, 3509,Sri Lanka AF,Military,-,Colombo-Bandaranaike International Airport,CMB,VCBI,Sri Lanka,Colombo-Ratmalana Airport,RML,VCCC,Sri Lanka,5,0,5,0,-,-,Preliminary
20141212-1,Friday,12-DEC-2014,-,A1, Landing (LDG),Obo-AIM Airfield,Central African Republic,7,0, Substantial,-,Antonov An-26B,2,Ivchenko AI-24VT,1984,-,-, UP-AN608, 13504,Burundaiavia,Cargo,-,Entebbe Airport,EBB,HUEN,Uganda,-,-,-,-,3,4,0,0,-,-,Preliminary
20141212-2,Friday,12-DEC-2014,20:30,A2, Approach (APR),"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)",United States of America,145,0, Substantial, Repaired,Boeing 737-76N (WL),2,CFMI CFM56-7B22,2005,-,-, N7710A, 32656/1671,Southwest Airlines,Domestic Scheduled Passenger,WN3118,San Antonio International Airport,SAT,KSAT,United States of America,Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI,United States of America,-,-,0,0,-,-,Final
