identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19620102-0,Tuesday,02-JAN-1962,13:16,A1, Takeoff (TOF),Kabul-Khwaja Rawash Airport (KBL),Afghanistan,2,0, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, EP-ABB, 6043,Iran Air,Cargo, 123,Kabul-Khwaja Rawash Airport,KBL,OAKB,Afghanistan,Tehran-Mehrabad Airport,THR,OIII,Iran,2,0,0,0,-,-,Final
19620102-1,Tuesday,02-JAN-1962,-,U1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Convair C-131E (CV-440),-,-,1956,-,-, 55-4750, 337,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620106-0,Saturday,06-JAN-1962,-,A1, Initial climb (ICL),Belize City-Philip S.W. Goldson International Airport (BZE),Belize,2,1, Damaged beyond repair,-,Curtiss C-46A-60-CK Commando,2,Pratt & Whitney R-2800-51,1945,-,-, HR-TNB, 435,TAN,Cargo,-,Belize City-Philip S.W. Goldson International Airport,BZE,MZBZ,Belize,-,-,-,-,2,0,1,0,-,-,-
19620108-0,Monday,08-JAN-1962,-,A1, En route (ENR),Korea Bay,China,14,14, Damaged beyond repair,-,Lockheed RB-69A Neptune,-,-,-,-,-, 54-4038, 726-7097,Republic of China AF,Military,-,-,-,-,-,-,-,-,-,14,0,14,0,-,-,-
19620110-0,Wednesday,10-JAN-1962,23:00,A1, En route (ENR),"South Park Township, PA",United States of America,5,5, Damaged beyond repair,-,Douglas C-47 (DC-3),-,-,-,-,-, registration unknown,-,Air National Guard,Military,-,Pittsburgh-Greater Pittsburgh Airport,PIT,KPIT,United States of America,Pittsburgh-Greater Pittsburgh Airport,PIT,KPIT,United States of America,5,0,5,0,-,-,-
19620110-2,Wednesday,10-JAN-1962,-,A1, Unknown (UNK),unknown,Unknown country,-,-, Damaged beyond repair,-,Douglas C-47A-DK (DC-3),-,-,1943,-,-, 42-92078, 11839,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620110-3,Wednesday,10-JAN-1962,-,A1, Unknown (UNK),unknown,Unknown country,-,-, Damaged beyond repair,-,Douglas C-47D (DC-3),-,-,1945,-,-, 44-76663, 32995/16247,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620111-0,Thursday,11-JAN-1962,-,A1, Unknown (UNK),near Maniamuna,Democratic Republic of the Congo,-,-, Damaged beyond repair,-,Curtiss C-46D-15-CU Commando,-,-,1945,-,-, HP-312, 33381,APASA,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620112-0,Friday,12-JAN-1962,-,A1, En route (ENR),Kronborg Glacier,Greenland,12,12, Damaged beyond repair,-,Lockheed P2V Neptune,-,-,-,-,-, 131521, 426-5402,US Navy,Military,-,-,-,-,-,-,-,-,-,12,0,12,0,-,-,-
19620113-0,Saturday,13-JAN-1962,-,A1, Takeoff (TOF),Tippi Airport (TIE),Ethiopia,18,5, Damaged beyond repair,-,Douglas C-47A-50-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,20026.0, ET-T-1, 10053,Ethiopian Air Lines,Domestic Scheduled Passenger,-,Tippi Airport,TIE,HATP,Ethiopia,Jimma Airport,JIM,HAJM,Ethiopia,3,15,2,3,-,1,-
19620115-0,Monday,15-JAN-1962,-,A1, Unknown (UNK),"Arctic Bay, NT",Canada,-,-, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, CF-IQF, 6101,Nordair,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620115-1,Monday,15-JAN-1962,-,A1, Unknown (UNK),Oslo-Fornebu Airport (FBU),Norway,-,-, Damaged beyond repair,-,Douglas C-47B-10-DK (DC-3),2,Pratt & Whitney R-1830-90C,1944,-,-, 43-49160, 26421/14976,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620117-0,Wednesday,17-JAN-1962,-,A1, Landing (LDG),50 km (31.3 mls) SSE of Curuzú Cuatiá,Argentina,-,-, Damaged beyond repair,-,Curtiss C-46A-45-CU Commando,2,Pratt & Whitney R-2800-51,1944,-,-, ZP-CAI, 30447,Aerocarga,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19620121-0,Sunday,21-JAN-1962,-,A1, Approach (APR),Azaiba Airfield,Oman,-,0, Damaged beyond repair,-,Douglas DC-4-1009,-,-,1946,-,-, OD-ADO, 42949,TMA,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19620122-0,Monday,22-JAN-1962,15:16,A1, Takeoff (TOF),Caranavi Airport,Bolivia,6,6, Damaged beyond repair,-,Curtiss C-46D-15-CU Commando,-,-,1945,-,-, CP-541, 33579,Transaéreos de la Corporación Boliviana de Fomento,Cargo,-,-,-,-,-,-,-,-,-,4,2,4,2,-,-,-
19620125-0,Thursday,25-JAN-1962,-,A1, Standing (STD),"Altus AFB, OK (LTS)",United States of America,-,0, Destroyed, Written off (damaged beyond repair),Boeing KC-135A Stratotanker,4,Pratt & Whitney J57-P,1958,-,-, 56-3657, 17406/96,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19620126-0,Friday,26-JAN-1962,15:30,A1, En route (ENR),"40 km (25 mls) N of Helena, MT",United States of America,6,6, Damaged beyond repair,-,Douglas C-47A-75-DL (DC-3),-,-,1943,-,-, 42-100861, 19324,Air National Guard,Military,-,Helena Airport,HLN,KHLN,United States of America,Cut Bank Airport,CTB,KCTB,United States of America,3,3,3,3,-,-,-
19620127-0,Saturday,27-JAN-1962,18:18,A1, Initial climb (ICL),1 km (0.6 mls) SW of Ulyanovsk/Baratayevka Airport,Russia,14,13, Damaged beyond repair,-,Antonov An-10A,4,Ivchenko AI-20K,1959,1435.0,622.0, CCCP-11148, 9400801,Aeroflot,Training,-,Ulyanovsk/Baratayevka Airport,ULV,UWLL,Russia,Ulyanovsk/Baratayevka Airport,ULV,UWLL,Russia,4,10,4,9,-,-,-
