identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19750920-0,Saturday,20-SEP-1975,03:55,A2, Takeoff (TOF),"New York-John F. Kennedy International Airport, NY (JFK)",United States of America,4,0, Minor, Repaired,McDonnell Douglas DC-8-63CF,4,Pratt & Whitney JT3D-7,1968,-,27391.0, N6161A, 45969/396,Airlift Int.,Cargo,101,New York-John F. Kennedy International Airport,JFK,KJFK,United States of America,Miami International Airport,MIA,KMIA,United States of America,3,1,0,0,-,-,Final
19750922-0,Monday,22-SEP-1975,-,A1, Landing (LDG),Skopje Airport (SKP),North Macedonia,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, SP-WNZ, 1G155-29,ZUA,Unknown,-,-,-,-,-,Skopje Airport,SKP,LWSK,North Macedonia,-,-,-,-,-,-,-
19750924-2,Wednesday,24-SEP-1975,-,A1, Approach (APR),4 km (2.5 mls) from  Palembang Airport (PLM),Indonesia,61,25, Damaged beyond repair,-,Fokker F-28 Fellowship 1000,-,-,1971,7533.0,8516.0, PK-GVC, 11039,Garuda,Domestic Scheduled Passenger,GA150,-,-,-,-,Palembang Airport,PLM,WIPP,Indonesia,4,57,4,21,-,1,-
19750925-0,Thursday,25-SEP-1975,-,A1, Landing (LDG),"La Grande-LG-2 airstrip, QC",Canada,-,0, Damaged beyond repair,-,Douglas C-47A-15-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, CF-ECY, 9264,Laurentian Air Services,Cargo,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19750925-1,Thursday,25-SEP-1975,-,A1, Approach (APR),"Fort Severn Airport, ON (YER)",Canada,3,3, Damaged beyond repair,-,Douglas C-47A-75-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, CF-AII, 19353,Ilford Riverton,Domestic Non Scheduled Passenger,-,Pickle Lake Airport,YPL,CYPL,Canada,Fort Severn Airport,YER,CYER,Canada,2,1,2,1,-,-,-
19750926-0,Friday,26-SEP-1975,-,A1, Initial climb (ICL),"13 km (8.1 mls) SSE of Santa Ana-El Toro MCAS, CA (NZJ)",United States of America,6,4, Damaged beyond repair,-,Convair C-131F (CV-340),-,-,1955,-,-, 141012, 295,US Navy,Military,-,Santa Ana-El Toro MCAS,NZJ,KNZJ,United States of America,Santa Ana-El Toro MCAS,NZJ,KNZJ,United States of America,6,0,4,0,-,-,-
19750926-1,Friday,26-SEP-1975,-,A1, Unknown (UNK),near Tancos Air Base,Portugal,11,11, Damaged beyond repair,-,Nord 2501D Noratlas,2,Bristol Hercules 739,-,-,-, 6422, D050,Portuguese AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19750927-0,Saturday,27-SEP-1975,06:00,A1, Takeoff (TOF),"Miami International Airport, FL (MIA)",United States of America,10,6, Damaged beyond repair,-,Canadair CC-106 Yukon (CL-44),4,Rolls-Royce Tyne 515-10,1961,5891.0,20108.0, LV-JSY,  5,AER,Cargo, 501/90,Miami International Airport,MIA,KMIA,United States of America,Panama City-Paitilla Airport,PAC,MPMG,Panama,6,4,4,2,-,-,Final
19750927-1,Saturday,27-SEP-1975,-,H2, Unknown (UNK),Mikonos,Greece,-,0, Unknown,-,Shorts SC.7 Skyvan,-,-,-,-,-, registration unknown,-,Olympic Airways,Unknown,-,Athens-Ellinikon International Airport,ATH,LGAT,Greece,Mikonos Airport,JMK,LGMK,Greece,-,-,0,0,-,-,-
19750930-0,Tuesday,30-SEP-1975,-,A1, En route (ENR),"Klua Tan Tan, BC",Canada,7,7, Damaged beyond repair,-,de Havilland Canada DHC-6 Twin Otter 200,2,Pratt & Whitney Canada PT6A-20,1968,-,-, CF-MHU, 142,Northern Thunderbird Air,Domestic Scheduled Passenger,-,Prince George Airport,YXS,CYXS,Canada,Dease Lake Airport,YDL,CYDL,Canada,2,5,2,5,-,-,-
19750930-1,Tuesday,30-SEP-1975,03:44,A1, Approach (APR),10 km (6.3 mls) off  Beirut International Airport (BEY),Lebanon,60,60, Damaged beyond repair,-,Tupolev Tu-154A,3,Kuznetsov NK-8-2U,1974,-,1186.0, HA-LCI, 74A053,Malev,International Scheduled Passenger,MA240,Budapest-Ferihegy Airport,BUD,LHBP,Hungary,Beirut International Airport,BEY,OLBA,Lebanon,10,50,10,50,-,-,-
19750930-2,Tuesday,30-SEP-1975,-,A1, Approach (APR),Barranquilla Airport (BAQ),Colombia,4,4, Damaged beyond repair,-,Boeing 727-24C,3,Pratt & Whitney JT8D-7,1967,-,-, HK-1272, 19525/439,Avianca,Cargo,-,Bogotá-Eldorado Airport,BOG,SKBO,Colombia,Barranquilla-Soledad Airport,BAQ,SKBQ,Colombia,4,0,4,0,-,-,Preliminary
19751005-0,Sunday,05-OCT-1975,-,H2, En route (ENR),"Rafaela Aerodrome, SF",Argentina,-,0, Unknown,-,Boeing 737-287C,2,Pratt & Whitney JT8D-9A,1970,-,-, LV-JNE, 20408/265,Aerolineas Argentinas,Domestic Scheduled Passenger,-,-,-,-,-,Corrientes-Camba Punta Airport,CNQ,SARC,Argentina,-,-,0,0,-,-,-
19751006-0,Monday,06-OCT-1975,-,A1, Approach (APR),near Kirov Airport (KVX),Russia,-,-, Damaged beyond repair,-,Yakovlev Yak-40,3,Ivchenko AI-25,1973,-,-, CCCP-87328, 9330730,Aeroflot / Uralsk,Unknown,-,-,-,-,-,Kirov Airport,KVX,USKK,Russia,-,-,-,-,-,-,-
19751007-0,Tuesday,07-OCT-1975,-,H2, Unknown (UNK),Manila,Philippines,-,0, Unknown,-,BAC One-Eleven,-,-,-,-,-, registration unknown,-,Philippine Air Lines,Unknown,-,Davao-Mati Airport,DVO,RPMD,Philippines,Manila Airport,MNL,RPLL,Philippines,-,-,0,0,-,-,-
19751007-1,Tuesday,07-OCT-1975,-,A1, Unknown (UNK),Sawu Island,Indonesia,-,-, Damaged beyond repair,-,IRMA/Britten-Norman BN-2A-3 Islander,-,-,1971,-,-, PK-OAV, 639,Dirgantara Air Services,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19751010-0,Friday,10-OCT-1975,-,A1, Takeoff (TOF),Sverdlovsk-Koltsovo Airport (SVX),Russia,-,-, Damaged beyond repair,-,Antonov An-8,-,-,1960,3045.0,4362.0, CCCP-69316, OD-3490,MAP Zhukovski,Unknown,-,Sverdlovsk-Koltsovo Airport,SVX,USSS,Russia,-,-,-,-,-,-,-,-,-,-,-
19751015-0,Wednesday,15-OCT-1975,-,A1, Initial climb (ICL),"Cherry Point MCAS, NC (NKT)",United States of America,9,9, Damaged beyond repair,-,Grumman TC-4C (G-159 Gulfstream I),-,-,1967,-,-, 155723, 178,USMC,Military,-,-,-,-,-,-,-,-,-,9,0,9,0,-,-,-
19751017-0,Friday,17-OCT-1975,-,A1, Landing (LDG),Inishmore Airport (IOR),Ireland,7,0, Damaged beyond repair,-,Britten-Norman BN-2A-26 Islander,-,-,1974,-,-, EI-BBA, 444,Aer Arann,Domestic Scheduled Passenger,-,-,-,-,-,Inishmore-Kilronan Airport,IOR,EIIM,Ireland,-,-,0,0,-,-,-
19751019-0,Sunday,19-OCT-1975,-,A1, Unknown (UNK),Trinidad,Bolivia,3,3, Damaged beyond repair,-,Curtiss C-46A-5-CU Commando,2,Pratt & Whitney R-2800-51,1943,-,-, CP-992, 26433,Aerovias Las Minas,Unknown,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19751022-1,Wednesday,22-OCT-1975,-,A1, Approach (APR),near Novgorod Airport (NVR),Russia,6,6, Damaged beyond repair,-,Yakovlev Yak-40,3,Ivchenko AI-25,1974,1500.0,2002.0, CCCP-87458, 9431736,Aeroflot / Latvia,Domestic Scheduled Passenger,-,Vologda Airport,VGD,ULWW,Russia,Novgorod Airport,NVR,ULNN,Russia,4,2,4,2,-,5,-
19751023-0,Thursday,23-OCT-1975,19:28,A1, Approach (APR),"3 km (1.9 mls) N of Cairns Airport, QLD (CNS)",Australia,11,11, Destroyed, Written off (damaged beyond repair),de Havilland DH-114 Riley Heron 2E/A1,4,Lycoming IO-540,1955,-,14986.0, VH-CLS, 14067,Connair,Domestic Scheduled Passenger,1263,Mount Isa Airport,ISA,YBMA,Australia,Cairns Airport,CNS,YBCS,Australia,3,8,3,8,-,-,Final
