identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19601212-0,Monday,12-DEC-1960,14:45,A1, En route (ENR),"21 km (13.1 mls) E off  South Head, Sydney, NSW",Australia,3,3, Destroyed, Written off (damaged beyond repair),Douglas DC-3C,2,Wright R-1820-G202A,1943,-,33027.0, VH-INI, 12252,Airlines of NSW,Training,-,Sydney-Kingsford Smith International Airport,SYD,YSSY,Australia,Sydney-Kingsford Smith International Airport,SYD,YSSY,Australia,3,0,3,0,-,-,Final
19601214-0,Wednesday,14-DEC-1960,-,O1, Standing (STD),Mawson Station,Antarctica,0,0, Damaged beyond repair,-,Douglas C-47B-25-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, A65-81, 32673/15925,RAAF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19601215-1,Thursday,15-DEC-1960,-,C1, Standing (STD),Vientiane-Wattay (VTE),Laos,-,-, Damaged beyond repair,-,Douglas C-47D,2,Pratt & Whitney R-1830-90,1944,-,-, XW-PAD, 26696/15251,Air Laos,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19601216-0,Friday,16-DEC-1960,10:33,A1, Approach (APR),"New York, NY",United States of America,84,84, Destroyed, Written off (damaged beyond repair),Douglas DC-8-11,4,Pratt & Whitney JT3C-6,1959,-,2434.0, N8013U, 45290/22,United Airlines,Domestic Scheduled Passenger,UA826,Chicago-O'Hare International Airport,ORD,KORD,United States of America,New York-Idlewild International Airport,IDL,KIDL,United States of America,7,77,7,77,44,6,Final
19601216-1,Friday,16-DEC-1960,10:33,A1, Approach (APR),"Miller Army Air Station, NY",United States of America,44,44, Damaged beyond repair,-,Lockheed L-1049 Super Constellation,4,Wright R-3350 (975C18CB1),1952,-,21555.0, N6907C, 4021,TWA,Domestic Scheduled Passenger,TW266,Columbus-Port Columbus International Airport,CMH,KCMH,United States of America,New York-La Guardia Airport,LGA,KLGA,United States of America,5,39,5,39,84,-,Final
19601217-0,Saturday,17-DEC-1960,14:10,A1, En route (ENR),10 km (6.3 mls) W of München-Riem Airport (MUC),Germany,20,20, Destroyed, Written off (damaged beyond repair),Convair C-131D (CV-340),-,-,1955,-,-, 55-0291, 212,USAF,Military,-,München-Riem Airport,MUC,EDDM,Germany,London-Northolt Airport,NHT,EGWU,United Kingdom,7,13,7,13,-,32,-
19601217-1,Saturday,17-DEC-1960,-,A1, Unknown (UNK),Puerto Montt,Chile,4,4, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,-,-,1957,-,-, 933, 193,Chilean AF,Military,-,-,-,-,-,Chaiten Airport,WCH,SCTN,Chile,-,-,-,-,-,-,-
19601218-0,Sunday,18-DEC-1960,-,A2, Landing (LDG),Düsseldorf Airport (DUS),Germany,5,0, Substantial, Repaired,Vickers 804 Viscount,4,Rolls-Royce Dart 510,1957,-,-, G-AOXU, 248,BUA,Cargo,-,-,-,-,-,Düsseldorf Airport,DUS,EDDL,Germany,2,3,0,0,-,-,-
19601218-1,Sunday,18-DEC-1960,-,A1, Landing (LDG),"São Paulo-Congonhas Airport, SP (CGH)",Brazil,3,0, Damaged beyond repair,-,Curtiss C-46 Super C,-,-,1945,-,-, PP-VCT,   260,Varig,Cargo,-,-,-,-,-,São Paulo-Congonhas Airport,CGH,SBSP,Brazil,3,0,0,0,-,-,-
19601219-0,Monday,19-DEC-1960,-,A1, Approach (APR),near Vakarel,Bulgaria,5,5, Damaged beyond repair,-,Ilyushin Il-14,-,-,-,-,-, registration unknown,-,Bulgarian AF,Military,-,-,-,-,-,Sofia-Vrazhdebna Airport,SOF,LBSF,Bulgaria,5,0,5,0,-,-,-
19601221-0,Wednesday,21-DEC-1960,-,U1, Unknown (UNK),Mogadishu,Somalia,-,-, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-92,1942,-,-, N10785, 6084,Sinclair Somali Corp.,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19601221-1,Wednesday,21-DEC-1960,-,A1, En route (ENR),"off Newfoundland, Canada",Atlantic Ocean,9,9, Damaged beyond repair,-,Lockheed P2V Neptune,-,-,-,-,-, registration unknown,-,US Navy,Military,-,-,-,-,-,-,-,-,-,9,0,9,0,-,-,-
19601222-0,Thursday,22-DEC-1960,03:31,A1, Initial climb (ICL),4 km (2.5 mls) NNE of Cebu-Lahug Airport,Philippines,37,28, Damaged beyond repair,-,Douglas C-47A-90-DL (DC-3C),-,-,1944,-,18611.0, PI-C126, 20593,Philippine Air Lines,Domestic Scheduled Passenger, S85,-,-,-,-,Davao Airport,DVO,RPMD,Philippines,3,34,2,26,-,-,-
