identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19970607-0,Saturday,07-JUN-1997,-,O1, Taxi (TXI),"Newark International Airport, NJ (EWR)",United States of America,-,0, Damaged beyond repair,-,Boeing 727-227,3,Pratt & Whitney JT8D-9A,1976,-,-, N571PE, 21264/1225,Continental Air Lines,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19970607-1,Saturday,07-JUN-1997,13:50,A1, Landing (LDG),Stockholm-Arlanda Airport (ARN),Sweden,26,0, Damaged beyond repair,-,BAC One-Eleven 525FT,2,Rolls-Royce Spey 512-14DW,1977,17888.0,23901.0, YR-BCM, 256,Tarom,International Scheduled Passenger, 335,Bucharest-Otopeni International Airport,OTP,LROP,Romania,Stockholm-Arlanda Airport,ARN,ESSA,Sweden,6,20,0,0,-,-,Final
19970607-2,Saturday,07-JUN-1997,-,A2, Approach (APR),Ambon-Pattimura Airport (AMQ),Indonesia,19,0, Substantial, Repaired,CASA/Nurtanio NC-212-AB4 Aviocar 200,2,Garrett TPE331-10-511C,1981,-,-, PK-NCL, 185/34N,Merpati Nusantara,Domestic Scheduled Passenger,-,-,-,-,-,Ambon-Pattimura Airport,AMQ,WAPP,Indonesia,2,17,0,0,-,-,-
19970609-0,Monday,09-JUN-1997,-,H2, En route (ENR),Köln/Bonn Airport (CGN),Germany,80,0, None,-,Boeing 737-2Y5,2,Pratt & Whitney JT8D-15A,1987,-,-, 9H-ABF, 23848/1418,Air Malta,International Scheduled Passenger,KM830,Malta-Luqa Airport,MLA,LMML,Malta,Istanbul-Atatürk International Airport,IST,LTBA,Turkey,6,74,0,0,-,-,-
19970610-0,Tuesday,10-JUN-1997,-,A1, Approach (APR),Mandalgobi Airport (MXW),Mongolia,12,7, Damaged beyond repair,-,Harbin Yunshuji Y-12 II,2,Pratt & Whitney Canada PT6A-27,1991,-,-, JU-1020, 0067,MIAT,Domestic Scheduled Passenger,-,Ulan Bator-Buyant Uhaa Airport,ULN,ZMUB,Mongolia,-,-,-,-,2,10,0,7,-,-,-
19970611-0,Wednesday,11-JUN-1997,16:00,A2, Approach (APR),Chub Cay Airport (CCZ),Bahamas,8,0, Substantial, Repaired,Cessna 501 Citation I/SP,-,-,-,-,-, N1AT, 501-0159,American Trans Air,Unknown,-,Fort Lauderdale International Airport,FLL,KFLL,United States of America,Chub Cay Airport,CCZ,MYBC,Bahamas,1,7,0,0,-,-,-
19970613-0,Friday,13-JUN-1997,12:48,A1, Landing (LDG),"Ottawa/Macdonald-Cartier International Airport, ON (YOW)",Canada,2,0, Damaged beyond repair,-,Swearingen SA226-TC Metro II,2,Garrett TPE331-10UA-511G,1979,-,-, C-FEPW, TC-294,North American Airlines,Cargo,-,Hamilton Airport,YHM,CYHM,Canada,Ottawa/Macdonald-Cartier International Airport,YOW,CYOW,Canada,2,0,0,0,-,-,Final
19970615-0,Sunday,15-JUN-1997,-,A1, Unknown (UNK),Nairobi-Wilson Airport (WIL),Kenya,-,-, Damaged beyond repair,-,Reims Cessna F406 Caravan II,2,Pratt & Whitney Canada PT6A-112,1986,-,-, 5Y-TAL, F406-0009,Trackmark Cargo,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Preliminary
19970616-0,Monday,16-JUN-1997,-,A1, Unknown (UNK),near Yelizavetinskoye,Russia,-,-, Damaged beyond repair,-,Antonov An-2T,-,-,-,14126.0,5131.0, RA-02829, 1G73-07,Yessentuki Air Sport Club,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19970621-0,Saturday,21-JUN-1997,12:22,A2, Landing (LDG),"Honolulu International Airport, HI (HNL)",United States of America,308,0, Substantial, Repaired,McDonnell Douglas MD-11,3,General Electric CF6-80C2A3,1992,-,19103.0, EI-CDK, 48501/513,Garuda,International Scheduled Passenger,GA800,Jakarta-Soekarno-Hatta International Airport,CGK,WIII,Indonesia,Honolulu International Airport,HNL,PHNL,United States of America,19,289,0,0,-,-,Final
19970625-0,Wednesday,25-JUN-1997,01:22,A1, Takeoff (TOF),Bogotá-Eldorado Airport (BOG),Colombia,6,0, Damaged beyond repair,-,Boeing 727-21F,3,Pratt & Whitney JT8D-7B,1965,-,51014.0, HK-1717, 18993/215,Aerosucre Colombia,Cargo,-,Bogotá-Eldorado Airport,BOG,SKBO,Colombia,Barranquilla-Soledad Airport,BAQ,SKBQ,Colombia,3,3,0,0,-,-,Final
19970628-0,Saturday,28-JUN-1997,16:18,A1, En route (ENR),"near Venetie, AK",United States of America,3,0, Destroyed, Written off (damaged beyond repair),Aviation Traders ATL-98 Carvair,4,Pratt & Whitney R-2000-7M2,1943,-,7145.0, N103, 4/10273,Hondu Carib Cargo,Ferry/positioning,-,Venetie Airport,VEE,PAVE,United States of America,Fairbanks International Airport,FAI,PAFA,United States of America,3,0,0,0,-,-,Final
19970630-0,Monday,30-JUN-1997,07:45,A1, Initial climb (ICL),San Juan-Luis Munoz Marin International Airport (SJU),Puerto Rico,3,0, Damaged beyond repair,-,Convair CV-240-53,2,Pratt & Whitney R-2800,1954,-,-, N344MM, 53-26,Silver Express,Cargo,-,San Juan-Luis Muñoz Marín International Airport,SJU,TJSJ,Puerto Rico,Santo Domingo-Las Américas International Airport,SDQ,MDSD,Dominican Republic,2,1,0,0,-,-,Final
19970630-1,Monday,30-JUN-1997,-,A1, Landing (LDG),"White Plains-Westchester County Airport, NY (HPN)",United States of America,4,0, Damaged beyond repair,-,Dassault Falcon 10,-,-,1975,-,6784.0, N10YJ, 57,International Aviation,Executive,-,-,-,-,-,White Plains-Westchester County Airport,HPN,KHPN,United States of America,-,-,0,0,-,-,- (No safety board investigation)
19970703-0,Thursday,03-JUL-1997,03:49,A1, En route (ENR),near Madh Island,India,2,2, Damaged beyond repair,-,Fokker F-27 Friendship 200,2,Rolls-Royce Dart 552-7R,1984,-,-, VT-SSA, 10670,Elbee Airlines,Cargo,-,Mumbai-Chhatrapati Shivaji International Airport,BOM,VABB,India,Bangalore-Hindustan Airport,BLR,VOBG,India,2,0,2,0,-,-,Final
19970703-1,Thursday,03-JUL-1997,10:00,A1, Takeoff (TOF),"Rio de Janeiro-Santos Dumont Airport, RJ (SDU)",Brazil,5,0, Damaged beyond repair,-,Cessna 500 Citation I,-,-,-,-,-, PT-ILJ, 500-0057,Riana Táxi Aéreo,Domestic Non Scheduled Passenger,-,Rio de Janeiro-Santos Dumont Airport,SDU,SBRJ,Brazil,São José dos Campos Airport,SJK,SBSJ,Brazil,2,3,0,0,-,-,-
19970709-0,Wednesday,09-JUL-1997,11:57,A1, Approach (APR),Ambon-Pattimura Airport (AMQ),Indonesia,3,3, Damaged beyond repair,-,CASA/Nurtanio NC-212-AB4 Aviocar 200,2,Garrett TPE331-10-511C,1981,-,-, PK-NCS, 201/41N,Merpati Nusantara,Ferry/positioning,MZ7979,Langgur-Dumatubun Airport,LUV,WAPL,Indonesia,Ambon-Pattimura Airport,AMQ,WAPP,Indonesia,3,0,3,0,-,-,-
19970709-1,Wednesday,09-JUL-1997,08:48,C2, En route (ENR),"near Suzano, SP",Brazil,60,1, Substantial, Repaired,Fokker 100,2,Rolls-Royce Tay 650-15,1993,-,-, PT-WHK, 11452,TAM,Domestic Scheduled Passenger, 283,São José dos Campos Airport,SJK,SBSJ,Brazil,São Paulo-Congonhas Airport,CGH,SBSP,Brazil,5,55,0,1,-,-,-
19970711-0,Friday,11-JUL-1997,21:56,A1, En route (ENR),5 km (3.1 mls) off  Santiago-Antonio Maceo Airport (SCU),Cuba,44,44, Damaged beyond repair,-,Antonov An-24RV,2,Ivchenko AI-24VT,1972,-,-, CU-T1262, 27307610,Cubana,Domestic Scheduled Passenger,CU787,Santiago-Antonio Maceo Airport,SCU,MUCU,Cuba,Havana-José Martí International Airport,HAV,MUHA,Cuba,5,39,5,39,-,-,-
19970713-0,Sunday,13-JUL-1997,-,A1, Unknown (UNK),Beiersdorf,Germany,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, OK-JII, 1G184-42,private,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19970715-0,Tuesday,15-JUL-1997,19:53,A1, Landing (LDG),"Avon Park Municipal Airport, FL (AVO)",United States of America,2,0, Destroyed, Written off (damaged beyond repair),Learjet 35A,2,Garrett TFE731-2-2B,1980,-,13726.0, N19LH, 35A-279,Orion Aircraft Sales,Ferry/positioning,-,Fort Lauderdale-Executive Airport,FXE,KFXE,United States of America,Avon Park Municipal Airport,AVO,KAVO,United States of America,2,0,0,0,-,-,Final
19970717-0,Thursday,17-JUL-1997,11:55,A1, Approach (APR),Bandung,Indonesia,50,28, Damaged beyond repair,-,Fokker F-27 Friendship 600,2,Rolls-Royce Dart 532-7,1969,-,-, PK-YPM, 10415,Trigana Air Service,Domestic Scheduled Passenger, 304,Bandung-Husein Sastranegara Airport,BDO,WICC,Indonesia,Jakarta-Soekarno-Hatta International Airport,CGK,WIII,Indonesia,5,45,5,23,-,-,-
19970717-1,Thursday,17-JUL-1997,10:56,A1, Initial climb (ICL),near Tula Airport (TYA),Russia,7,4, Damaged beyond repair,-,Antonov An-2R,-,-,1981,-,-, RA-84700, 1G192-18,Tula Air Enterprise,Ferry/positioning,-,Tula Airport,TYA,UUWV,Russia,-,-,-,-,2,5,1,3,-,-,-
19970718-0,Friday,18-JUL-1997,10:32,A1, Approach (APR),"8,3 km (5.2 mls) NE of Goroka Airport (GKA)",Papua New Guinea,4,2, Damaged beyond repair,-,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1969,-,-, P2-MMU, 250,Goroka Air Services,Domestic Non Scheduled Passenger,-,Kundiawa-Chimbu Airport,CMU,AYCH,Papua New Guinea,Goroka Airport,GKA,AYGA,Papua New Guinea,1,3,1,1,-,-,-
