identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19881123-1,Wednesday,23-NOV-1988,-,O1, Standing (STD),Butzweilerhof,Germany,0,0, Damaged beyond repair,-,Britten-Norman BN-2A-21 Islander,-,-,1976,-,-, B-05, 501,Belgian AF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19881123-2,Wednesday,23-NOV-1988,-,O1, Standing (STD),Butzweilerhof,Germany,0,0, Damaged beyond repair,-,Britten-Norman BN-2A-21 Islander,-,-,1976,-,-, B-06, 510,Belgian AF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19881129-0,Tuesday,29-NOV-1988,23:01,A1, Approach (APR),"2,4 km (1.5 mls) SW of Chapleau Airport, ON (YLD)",Canada,4,4, Damaged beyond repair,-,Beechcraft A100 King Air,2,Pratt & Whitney Canada PT6A-28,1975,-,9420.0, C-GJUL, B-218,Voyageur Airways,Ambulance, 796,Timmins Airport,YTS,CYTS,Canada,Chapleau Airport,YLD,CYLD,Canada,2,2,2,2,-,-,Final
19881130-0,Wednesday,30-NOV-1988,07:20,A1, Approach (APR),Hamada al Hamra,Libya,14,14, Damaged beyond repair,-,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1980,-,-, 5A-DDD, 670,Aero Club Libya,Domestic Non Scheduled Passenger,-,-,-,-,-,Tripoli International Airport,TIP,HLLT,Libya,2,12,2,12,-,-,-
19881202-0,Friday,02-DEC-1988,-,H2, Unknown (UNK),Tel aviv-Ben Gurion International Airport (TLV),Israel,8,0, None,-,Ilyushin Il-76T,-,-,-,-,-, registration unknown,-,Aeroflot,Unknown,-,Mineralnye Vody Airport,MRV,URMM,Russia,Tel Aviv-Ben Gurion International Airport,TLV,LLBG,Israel,3,5,0,0,-,-,-
19881203-0,Saturday,03-DEC-1988,-,A1, Landing (LDG),"Waskaganish Airport, QC (YKQ)",Canada,3,0, Damaged beyond repair,-,Hawker Siddeley HS-748-234 Srs. 2A,2,Rolls-Royce Dart 534-2,1968,-,-, C-GQSV, 1618,Air Creebec,Cargo,-,-,-,-,-,Waskaganish Airport,YKQ,CYKQ,Canada,3,0,0,0,-,-,-
19881207-0,Wednesday,07-DEC-1988,19:33,A1, Approach (APR),"4,7 km (2.9 mls) from  Kodinsk Airport",Russia,14,6, Damaged beyond repair,-,Let L-410UVP,-,-,1979,-,-, CCCP-67127, 790323,Aeroflot / Krasnoyarsk,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,2,12,2,4,-,-,-
19881208-1,Thursday,08-DEC-1988,-,C1, En route (ENR),Western Sahara,Western Sahara,5,5, Damaged beyond repair,-,Douglas DC-7CF,-,-,1957,-,-, N284, 45203/776,USAID,Ferry/positioning,-,Dakar-Yoff Airport,DKR,GOOY,Senegal,Agadir-Inezgane Airport,AGA,GMAA,Morocco,5,0,5,0,-,-,-
19881208-2,Thursday,08-DEC-1988,-,C2, En route (ENR),Western Sahara,Western Sahara,-,0, Substantial, Repaired,Douglas DC-7CF,-,-,1956,-,-, N90804, 45116/750,USAID,Ferry/positioning,-,Dakar-Yoff Airport,DKR,GOOY,Senegal,Agadir-Inezgane Airport,AGA,GMAA,Morocco,-,0,0,0,-,-,-
19881210-0,Saturday,10-DEC-1988,20:00,C1, En route (ENR),at an unknown location,Pakistan,25,25, Damaged beyond repair,-,Antonov An-26,-,-,-,-,-, registration unknown,-,Ariana Afghan Airlines,Domestic Scheduled Passenger,-,Khost Airport,KHT,OAKS,Afghanistan,Kabul-Khwaja Rawash Airport,KBL,OAKB,Afghanistan,-,-,-,-,-,-,-
19881211-0,Sunday,11-DEC-1988,-,A1, Approach (APR),15 km (9.4 mls) from  Leninakan Airport (LWN),Armenia,78,77, Damaged beyond repair,-,Ilyushin Il-76M,-,-,1978,-,-, CCCP-86732, 083413388,Soviet AF,Domestic Non Scheduled Passenger,-,Baku-Bina International Airport,BAK,UBBB,Azerbaijan,Leninakan Airport,LWN,UDSG,Armenia,9,69,9,68,-,-,Preliminary
19881211-1,Sunday,11-DEC-1988,-,H2, En route (ENR),Grand Turk Island Airport (GDT),Turks and Caicos Islands,128,0, None,-,Boeing 727-231,-,-,-,-,-, registration unknown,-,TWA,Domestic Scheduled Passenger,TW469,San Juan-Luis Muñoz Marín International Airport,SJU,TJSJ,Puerto Rico,Miami International Airport,MIA,KMIA,United States of America,7,121,0,0,-,-,-
19881212-0,Monday,12-DEC-1988,02:23,A1, Approach (APR),near Yerevan,Armenia,7,7, Damaged beyond repair,-,Antonov An-12BP,4,Ivchenko AI-20M,1972,4727.0,8388.0, YU-AID, 02348010,Yugoslav AF,Cargo,-,-,-,-,-,Yerevan Airport,EVN,UDYZ,Armenia,7,0,7,0,-,-,Preliminary
19881213-0,Tuesday,13-DEC-1988,-,A1, Unknown (UNK),near Naryan-Mar,Russia,-,0, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, CCCP-81535, 1G208-39,Aeroflot / Arkhangelsk,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19881213-1,Tuesday,13-DEC-1988,21:50,A1, En route (ENR),Karm `Umran,Egypt,8,8, Damaged beyond repair,-,Boeing 707-351C,4,Pratt & Whitney JT3D-3B,1966,-,-, 5N-AYJ, 19168/508,GAS Air Nigeria,Cargo,-,Dar Es Salaam International Airport,DAR,HTDA,Tanzania,Cairo International Airport,CAI,HECA,Egypt,5,3,5,3,-,1,-
19881216-0,Friday,16-DEC-1988,-,A1, En route (ENR),Cuatro Ciénegas,Mexico,2,2, Damaged beyond repair,-,Learjet 24B,-,-,-,-,-, N234CM, 24-214,Crown Center Aviation,Unknown,-,Memphis International Airport,MEM,KMEM,United States of America,Dallas-Addison Airport,ADS,KADS,United States of America,2,0,2,0,-,-,-
