identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19980101-0,Thursday,01-JAN-1998,15:32,A2, Landing (LDG),Puerto Plata-La Union International Airport (POP),Dominican Republic,228,0, Substantial, Repaired,Boeing 757-21K,2,Rolls-Royce RB211-535E4,1997,1241.0,3854.0, G-WJAN, 28674/746,Airtours Int.,Int'l Non Scheduled Passenger,-,Bangor International Airport,BGR,KBGR,United States of America,Puerto Plata-La Union International Airport,POP,MDPP,Dominican Republic,8,220,0,0,-,-,Final
19980102-0,Friday,02-JAN-1998,15:26,A1, Takeoff (TOF),"Nixon Fork Mine, AK",United States of America,3,0, Destroyed, Written off (damaged beyond repair),Douglas DC-6B,4,Pratt & Whitney R-2800-CB16,1952,-,46626.0, N861TA, 43522/229,Woods Air Fuel,Cargo,-,-,-,-,-,Palmer Municipal Airport,PAQ,PAAQ,United States of America,3,0,0,0,-,-,Final
19980102-1,Friday,02-JAN-1998,20:30,A1, Approach (APR),"9,4 km (5.9 mls) from  Tampico-Gen F Javier Mina Airport (TAM)",Mexico,8,3, Damaged beyond repair,-,Learjet 24D,-,-,1975,-,-, XA-RRK, 24-307,Aerodinamo del Pacifico,Int'l Non Scheduled Passenger,-,Houston-William P. Hobby Airport,HOU,KHOU,United States of America,Tampico-Gen F Javier Mina Airport,TAM,MMTM,Mexico,2,6,1,2,-,-,-
19980105-0,Monday,05-JAN-1998,-,A2, Unknown (UNK),Malololailai Airport (PTF),Fiji,9,0, Substantial, Repaired,Britten-Norman BN-2A Islander,2,Lycoming O-540-E4C5,1969,-,-, DQ-FDW, 602,Sunflower Airlines,Unknown,-,Malololailai Airport,PTF,NFFO,Fiji,-,-,-,-,-,-,0,0,-,-,-
19980105-1,Monday,05-JAN-1998,20:42,A1, Approach (APR),8 km (5 mls) E of Isfahan-Shahid Beheshti Airport (IFN),Iran,113,0, Substantial, Written off (damaged beyond repair),Fokker 100,2,Rolls-Royce Tay 650-15,1990,-,-, EP-IDC, 11267,Iran Air,Domestic Scheduled Passenger,IR378,Urmia (Orumiyeh) Airport,OMH,OITR,Iran,Tehran-Mehrabad Airport,THR,OIII,Iran,9,104,0,0,-,-,Preliminary - official
19980106-0,Tuesday,06-JAN-1998,15:48,A1, Landing (LDG),"Pittsburgh-Allegheny County Airport, PA (AGC)",United States of America,3,0, Destroyed, Written off (damaged beyond repair),Cessna 500 Citation I,2,Pratt & Whitney Canada JT15D-1A,1974,-,7124.0, N1DK, 500-0175,US Motorsports,Executive,-,Akron/Canton Regional Airport,CAK,KCAK,United States of America,Pittsburgh-Allegheny County Airport,AGC,KAGC,United States of America,2,1,0,0,-,-,Final
19980108-0,Thursday,08-JAN-1998,17:44,A1, Landing (LDG),Limbang Airport (LMN),Malaysia,8,0, Substantial, Written off (damaged beyond repair),de Havilland Canada DHC-6 Twin Otter 310,2,Pratt & Whitney Canada PT6A-27,1982,-,-, 9M-MDJ, 791,Malaysia Airlines,Domestic Scheduled Passenger,-,Miri Airport,MYY,WBGR,Malaysia,Limbang Airport,LMN,WBGJ,Malaysia,2,6,0,0,-,-,Preliminary - official
19980109-0,Friday,09-JAN-1998,17:04,A1, Takeoff (TOF),"Maiden-Little Mountain Airport, NC",United States of America,1,1, Substantial, Written off (damaged beyond repair),Cessna 208B Super Cargomaster,1,Pratt & Whitney Canada PT6A-114,1987,-,6183.0, N913FE, 208B0013,FedEx,Ferry/positioning,-,-,-,-,-,Greensboro/High Point-Piedmont Triad International Airport,GSO,KGSO,United States of America,1,0,1,0,-,-,Final
19980111-0,Sunday,11-JAN-1998,14:58,A1, Landing (LDG),Samsun Airport (SSX),Turkey,74,0, Damaged beyond repair,-,Avro RJ100,4,Lycoming LF507-1F,1994,-,-, TC-THF, E3240,THY,Domestic Scheduled Passenger,  74,Istanbul-Atatürk International Airport,IST,LTBA,Turkey,Samsun Airport,SSX,LTAQ,Turkey,6,68,0,0,-,-,-
19980113-0,Tuesday,13-JAN-1998,22:00,A1, Approach (APR),Khojak Pass,Pakistan,51,51, Damaged beyond repair,-,Antonov An-32,2,Ivchenko AI-20,-,-,-, registration unknown,-,Afghan AF,Military,-,Kandahar Airport,KDH,OAKN,Afghanistan,Herat Airport,HEA,OAHR,Afghanistan,6,45,6,45,-,-,-
19980113-1,Tuesday,13-JAN-1998,18:32,A1, Approach (APR),"3,5 km (2.2 mls) from  Brno-Turany Airport (BRQ)",Czech Republic,2,2, Damaged beyond repair,-,Let L-410UVP-E3,2,Walter M-601E,1987,-,-, YV-928CP, 871919,Aeroservice International,Ferry/positioning,-,Gomel Airport,GME,UMGG,Belarus,Uherské Hradite-Kunovice Airport,UHE,LKKU,Czech Republic,2,0,2,0,-,-,Preliminary - official
19980113-2,Tuesday,13-JAN-1998,08:10,A1, Approach (APR),"3,2 km (2 mls) E of Houston-George Bush Intercontinental Airport, TX (IAH)",United States of America,2,2, Damaged beyond repair,-,Learjet 25B,2,General Electric CJ610-6,1974,-,8943.0, N627WS, 25-170,American Corporate Aviation,Ferry/positioning,-,Houston-William P. Hobby Airport,HOU,KHOU,United States of America,Houston-George Bush Intercontinental Airport,IAH,KIAH,United States of America,2,0,2,0,-,-,Final
19980120-0,Tuesday,20-JAN-1998,18:10,A1, Landing (LDG),"Lloydminster Airport, AB (YLL)",Canada,15,0, Damaged beyond repair,-,British Aerospace 3112 Jetstream 31,2,Garrett TPE331-10UGR-516H,1988,-,16180.0, C-FBIE, 815,Alberta Citylink,Domestic Scheduled Passenger, 933,Calgary International Airport,YYC,CYYC,Canada,Lloydminster Airport,YLL,CYLL,Canada,2,13,0,0,-,-,Final
19980120-1,Tuesday,20-JAN-1998,12:30,A1, Landing (LDG),Alghero-Fertilia Airport (AHO),Italy,25,0, Damaged beyond repair,-,ATR 42-312,2,Pratt & Whitney Canada PW120,1987,-,-, EI-COC, 048,Italair,Domestic Scheduled Passenger, 111,Pisa-Galileo Galilei Airport,PSA,LIRP,Italy,Alghero-Fertilia Airport,AHO,LIEA,Italy,3,22,0,0,-,-,Preliminary
19980120-2,Tuesday,20-JAN-1998,20:30,A2, Landing (LDG),"Saranac Lake-Adirondack Airport, NY (SLK)",United States of America,12,0, Substantial, Repaired,Beechcraft 1900D,-,-,-,-,9433.0, N854CA, UE-60,US Airways Express,Domestic Scheduled Passenger,4479,Albany Airport,ALB,KALB,United States of America,Saranac Lake-Adirondack Airport,SLK,KSLK,United States of America,2,10,0,0,-,-,Final
