identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19770102-0,Sunday,02-JAN-1977,-,A2, Takeoff (TOF),Praha-Ruzyne Airport (PRG),Czech Republic,6,0, Substantial, Repaired,Ilyushin Il-18V,4,Ivchenko AI-20K,1959,-,-, OK-NAA, 189001604,CSA,Unknown,-,Praha-Ruzyne International Airport,PRG,LKPR,Czech Republic,-,-,-,-,6,0,0,0,-,-,-
19770102-1,Sunday,02-JAN-1977,-,A1, Landing (LDG),Praha-Ruzyne Airport (PRG),Czech Republic,48,0, Damaged beyond repair,-,Tupolev Tu-134A,-,-,1972,-,-, OK-CFD, 2351505,CSA,International Scheduled Passenger,-,Leningrad-Pulkovo Airport,LED,ULLI,Russia,Praha-Ruzyne International Airport,PRG,LKPR,Czech Republic,6,42,0,0,-,-,-
19770103-0,Monday,03-JAN-1977,-,C1, Unknown (UNK),at an unknown location,Mauritania,-,-, Damaged beyond repair,-,IRMA/Britten-Norman BN-2A-21 Defender,-,-,1976,-,-, 5T-MAR, 787,Mauritanian AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19770104-1,Tuesday,04-JAN-1977,-,A1, Landing (LDG),"São Paulo-Viracopos Airport, SP (VCP)",Brazil,42,0, Damaged beyond repair,-,BAC One-Eleven 520FN,-,-,1971,-,-, PP-SDS, 236,Transbrasil,Scheduled Passenger,-,-,-,-,-,São Paulo/Campinas-Viracopos International Airport,VCP,SBKP,Brazil,5,37,0,0,-,-,-
19770106-0,Thursday,06-JAN-1977,-,A1, Landing (LDG),La Senda,Bolivia,4,0, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, CP-728, 19689,Transportes Aéreos Itenez,Cargo,-,Santa Cruz-Viru Viru International Airport,VVI,SLVR,Bolivia,Trinidad Airport,TDD,SLTR,Bolivia,2,2,0,0,-,-,-
19770106-1,Thursday,06-JAN-1977,17:00,A1, En route (ENR),"35 km (21.9 mls) NW of Palm Springs, CA",United States of America,4,4, Damaged beyond repair,-,Learjet 24B,-,-,1969,-,-, N12MK, 24-192,Jet Avia,Unknown,-,Palm Springs Municipal Airport,PSP,KPSP,United States of America,Las Vegas-McCarran International Airport,LAS,KLAS,United States of America,2,2,2,2,-,-,Final
19770106-2,Thursday,06-JAN-1977,19:12,A1, Approach (APR),"near Flint-Bishop Airport, MI (FNT)",United States of America,2,2, Damaged beyond repair,-,Learjet 23,-,-,-,-,-, N332PC, 23-056,Jet Avia,Cargo,-,Detroit-Willow Run Airport,YIP,KYIP,United States of America,Flint-Bishop Airport,FNT,KFNT,United States of America,2,0,2,0,-,-,Final
19770106-3,Thursday,06-JAN-1977,-,A1, Initial climb (ICL),near Buffalo Range Airport (BFO),Zimbabwe,8,3, Damaged beyond repair,-,Douglas C-47B-35-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, R7034, 33410/16662,Rhodesian AF,Military,-,Buffalo Range Airport,BFO,FVCZ,Zimbabwe,-,-,-,-,3,5,2,1,-,-,-
19770110-0,Monday,10-JAN-1977,22:45,A1, Initial climb (ICL),off Puerto Cortés,Mexico,8,3, Damaged beyond repair,-,Grumman HU-16 Albatross,-,-,-,-,-, MP-301,-,Mexican Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19770110-1,Monday,10-JAN-1977,-,U1, Unknown (UNK),Samarinda Airport (SRI),Indonesia,-,-, Damaged beyond repair,-,Britten-Norman BN-2A Trislander Mk.III-2,3,Lycoming O-540-E4C5,1975,-,-, PK-KTD, 1018,Bali Int. Air Service,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
