identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19610622-1,Thursday,22-JUN-1961,-,A1, En route (ENR),"Kings Ranch, TX",United States of America,4,0, Damaged beyond repair,-,Kaiser-Frazer C-119G Flying Boxcar,-,-,-,-,-, 53-8140, 243,USAF,Military,-,-,-,-,-,San Antonio-Kelly AFB,SKF,KSKF,United States of America,4,0,0,0,-,-,-
19610623-0,Friday,23-JUN-1961,-,A1, En route (ENR),"near Nanaimo, BC",Canada,4,4, Damaged beyond repair,-,Martin JRM-3 Mars,4,Pratt & Whitney R-4360 Wasp Major,1946,-,-, CF-LYJ, 9265,Forest Industries Flying Tankers,Fire fighting,-,-,-,-,-,-,-,-,-,4,0,4,0,-,-,-
19610625-0,Sunday,25-JUN-1961,-,A1, Unknown (UNK),"Winslow, AZ",United States of America,-,-, Damaged beyond repair,-,Consolidated PBY-6A Catalina,-,-,-,-,-, N6986C, 2116,Routh Aircraft,Fire fighting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19610630-0,Friday,30-JUN-1961,20:57,A1, Approach (APR),"Buenos Aires-Jorge Newbery Airport, BA (AEP)",Argentina,35,24, Damaged beyond repair,-,Curtiss C-46A-55-CK Commando,2,Pratt & Whitney R-2800-51,1945,-,8926.0, LV-FTO,   193,TSA,Domestic Scheduled Passenger,-,Córdoba-Pajas Blancas Airport,COR,SACO,Argentina,Buenos Aires-Jorge Newbery Airport,AEP,SABE,Argentina,5,30,2,22,-,-,-
19610703-0,Monday,03-JUL-1961,-,H2, Unknown (UNK),"Miami, FL",United States of America,-,0, Unknown,-,Douglas DC-3,-,-,-,-,-, registration unknown,-,Cubana,Unknown,-,Havana-José Martí International Airport,HAV,MUHA,Cuba,Varadero-Juan Gualberto Gomez Airport,VRA,MUVR,Cuba,-,-,0,0,-,-,-
19610708-0,Saturday,08-JUL-1961,05:15,A1, Landing (LDG),"250 km (156.3 mls) W of Knob Lake, QC",Canada,3,3, Damaged beyond repair,-,Consolidated PBY-5A Catalina,-,-,-,-,-, CF-EMW, 1742,Nordair,Cargo,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19610708-1,Saturday,08-JUL-1961,19:00,A1, En route (ENR),"Sosnovy Bor, Nizhneserginski district, Sverdlovsk region",Russia,26,9, Damaged beyond repair,-,Ilyushin Il-14P,-,-,1956,-,9100.0, CCCP-41848, 6341706,Aeroflot / Ukraine,Domestic Scheduled Passenger, 411,Kazan Airport,KZN,UWKD,Russia,Sverdlovsk-Koltsovo Airport,SVX,USSS,Russia,5,21,5,4,-,-,-
19610710-1,Monday,10-JUL-1961,-,A1, Takeoff (TOF),Biggin Hill,United Kingdom,2,2, Damaged beyond repair,-,de Havilland DH-114 Heron 2D,-,-,1952,-,-, G-AMTS, 14007,Metropolitan Air Movements,Training,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19610710-2,Monday,10-JUL-1961,10:43,A1, Approach (APR),Odessa-Central Airport (ODS),Ukraine,94,1, Damaged beyond repair,-,Tupolev Tu-104B,2,Mikulin AM-3M-500,1959,1080.0,1475.0, CCCP-42447, 921004,Aeroflot / Northern,Domestic Scheduled Passenger, 381,Leningrad-Shosseynaya Airport,LED,ULLI,Russia,Odessa-Central Airport,ODS,UKOO,Ukraine,9,85,1,0,-,-,-
19610711-1,Tuesday,11-JUL-1961,11:36,A1, Landing (LDG),"Denver-Stapleton International Airport, CO (DEN)",United States of America,122,17, Damaged beyond repair,-,Douglas DC-8-12,4,Pratt & Whitney JT3C-6,1961,-,124.0, N8040U, 45307/146,United Airlines,Domestic Scheduled Passenger,UA859,Omaha-Eppley Airfield,OMA,KOMA,United States of America,Denver-Stapleton International Airport,DEN,KDEN,United States of America,7,115,0,17,-,1,-
19610712-0,Wednesday,12-JUL-1961,01:25,A1, En route (ENR),13 km (8.1 mls) SSW of Casablanca-Anfa Airport (CAS),Morocco,72,72, Destroyed, Written off (damaged beyond repair),Ilyushin Il-18V,4,Ivchenko AI-20,1961,-,268.0, OK-PAF, 181002904,CSA,International Scheduled Passenger, 511,Zürich-Kloten Airport,ZRH,LSZH,Switzerland,Rabat-Sale Airport,RBA,GMME,Morocco,8,64,8,64,-,-,Final
19610719-2,Wednesday,19-JUL-1961,08:00,A1, En route (ENR),"12 km (7.5 mls) W of Pardo, BA",Argentina,67,67, Damaged beyond repair,-,Douglas DC-6,4,Pratt & Whitney R-2800-CB16,1948,-,20211.0, LV-ADW, 43136/137,Aerolineas Argentinas,Domestic Scheduled Passenger,AR644,Buenos Aires/Ezeiza-Ministro Pistarini Airport,EZE,SAEZ,Argentina,Comodoro Rivadavia Airport,CRD,SAVC,Argentina,7,60,7,60,-,-,Final
19610720-0,Thursday,20-JUL-1961,-,A1, En route (ENR),"NW of Rio Grande, Juquila District",Mexico,3,3, Damaged beyond repair,-,Douglas DC-2-243,-,-,1939,-,-, XA-KIC, 2069,Aerolineas Vega,Unknown,-,Oaxaca Airport,OAX,MMOX,Mexico,Acapulco-Alvarez International Airport,ACA,MMAA,Mexico,2,1,2,1,-,-,-
19610721-0,Friday,21-JUL-1961,02:11,A1, Approach (APR),"Shemya AFB, AK (SYA)",United States of America,6,6, Destroyed, Written off (damaged beyond repair),Douglas DC-6A,4,Pratt & Whitney R-2800-CB17,1958,-,10600.0, N6118C, 45243/919,Alaska Airlines,Cargo, 779,Anchorage International Airport,ANC,PANC,United States of America,Shemya AFB,SYA,PASY,United States of America,6,0,6,0,-,-,Final
19610724-0,Monday,24-JUL-1961,-,H2, En route (ENR),Havana-José Martí International Airport (HAV),Cuba,38,0, None,-,Lockheed L-188 Electra,-,-,-,-,-, registration unknown,-,Eastern Air Lines,Domestic Scheduled Passenger,EA202,Miami International Airport,MIA,KMIA,United States of America,Tampa International Airport,TPA,KTPA,United States of America,5,33,0,0,-,-,-
19610727-0,Thursday,27-JUL-1961,14:20,A1, Takeoff (TOF),Hamburg-Fuhlsbüttel Airport (HAM),Germany,41,0, Damaged beyond repair,-,Boeing 707-328,4,Pratt & Whitney JT4A,1959,1080.0,3978.0, F-BHSA, 17613/65,Air France,International Scheduled Passenger,AF272,Hamburg-Fuhlsbüttel Airport,HAM,EDDH,Germany,Anchorage International Airport,ANC,PANC,United States of America,15,26,0,0,-,-,Final
19610728-0,Friday,28-JUL-1961,-,A1, Landing (LDG),Lukhovitsy-Tretyakovo Airport,Russia,-,0, Damaged beyond repair,-,Ilyushin Il-18V,4,Ivchenko AI-20,-,8.0,15.0, CCCP-75766, 181003405,Aeroflot,Test,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19610731-0,Monday,31-JUL-1961,-,H2, Standing (STD),"Chico Airport, CA (CIC)",United States of America,-,0, Minor, Repaired,Douglas DC-3,-,-,-,-,-, registration unknown,-,Pacific Air Lines,Domestic Scheduled Passenger, 327,Chico Airport,CIC,KCIC,United States of America,San Francisco International Airport,SFO,KSFO,United States of America,-,-,0,0,-,-,-
19610731-1,Monday,31-JUL-1961,19:05,A1, En route (ENR),"near Pearce, WA",Australia,7,4, Damaged beyond repair,-,Douglas C-47B-35-DK (DC-3),2,Pratt & Whitney R-1830-90C,1945,-,-, A65-106, 33290/16542,RAAF,Military,-,-,-,-,-,-,-,-,-,4,3,4,0,-,-,-
19610803-0,Thursday,03-AUG-1961,-,A1, Taxi (TXI),"New York-Idlewild International Airport, NY (IDL)",United States of America,3,0, Damaged beyond repair,-,Lockheed L-1049C Super Constellation,-,-,1953,-,-, N6220C, 4528,Eastern Air Lines,Cargo,-,New York-Idlewild International Airport,IDL,KIDL,United States of America,-,-,-,-,3,0,0,0,-,-,-
19610803-1,Thursday,03-AUG-1961,-,H2, En route (ENR),"El Paso International Airport, TX (ELP)",United States of America,73,0, Minor, Repaired,Boeing 707-124,4,Pratt & Whitney JT3C-6,1959,-,-, N70775, 17611/49,Continental Air Lines,Domestic Scheduled Passenger,CO54,-,-,-,-,El Paso International Airport,ELP,KELP,United States of America,6,67,0,0,-,-,-
19610804-0,Friday,04-AUG-1961,01:46,C1, En route (ENR),6 km (3.8 mls) from  Rudsar,Iran,3,0, Damaged beyond repair,-,Douglas DC-4,-,-,1944,-,-, EP-ADK, 10384,Iranian Airways,Cargo,-,Beirut International Airport,BEY,OLBA,Lebanon,Tehran-Mehrabad Airport,THR,OIII,Iran,3,0,0,0,-,-,-
19610805-0,Saturday,05-AUG-1961,-,A1, Landing (LDG),Chandigarh Airport (IXC),India,-,-, Damaged beyond repair,-,Antonov An-12,-,-,-,-,-, BL536, 024005,Indian AF,Military,-,-,-,-,-,Chandigarh Airport,IXC,VICG,India,-,-,-,-,-,-,-
19610806-0,Sunday,06-AUG-1961,-,A1, En route (ENR),Budapest,Hungary,27,27, Damaged beyond repair,-,Douglas C-47A-90-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, HA-TSA, 20492,Malev,Domestic Non Scheduled Passenger,-,Budapest-Ferihegy Airport,BUD,LHBP,Hungary,Budapest-Ferihegy Airport,BUD,LHBP,Hungary,4,23,4,23,-,3,-
19610809-0,Wednesday,09-AUG-1961,14:02,A1, Approach (APR),"Sarcpa Lake Airstrip, NU",Canada,9,0, Damaged beyond repair,-,Curtiss C-46 Super C,-,-,1945,-,-, CF-HEI, 22419,Nordair,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,2,7,0,0,-,-,-
19610809-1,Wednesday,09-AUG-1961,16:30,A1, En route (ENR),33 km (20.6 mls) NE of Stavanger-Sola Airport (SVG),Norway,39,39, Destroyed, Written off (damaged beyond repair),Vickers 610 Viking 3B,-,-,1947,-,20885.0, G-AHPM, 152,Cunard Eagle Airways,Int'l Non Scheduled Passenger,-,London Airport,LHR,EGLL,United Kingdom,Stavanger-Sola Airport,SVG,ENZV,Norway,3,36,3,36,-,-,Final
19610809-2,Wednesday,09-AUG-1961,-,H2, En route (ENR),Havana-José Martí International Airport (HAV),Cuba,81,0, None,-,McDonnell Douglas DC-8,-,-,-,-,-, registration unknown,-,Pan Am,International Scheduled Passenger,PA501,Mexico City-Benito Juárez International Airport,MEX,MMMX,Mexico,Guatemala City-La Aurora Airport,GUA,MGGT,Guatemala,9,72,0,0,-,-,-
19610809-3,Wednesday,09-AUG-1961,-,H2, En route (ENR),near Havana,Cuba,53,3, Substantial,-,Curtiss C-46,-,-,-,-,-, registration unknown,-,Cubana,Domestic Scheduled Passenger,-,Havana-José Martí International Airport,HAV,MUHA,Cuba,Nueva Gerona Airport,GER,MUNG,Cuba,3,50,1,2,-,-,-
19610813-0,Sunday,13-AUG-1961,-,A1, Maneuvering (MNV),near Pha Khao,Laos,6,6, Damaged beyond repair,-,Curtiss C-46F-1-CU Commando,-,-,1945,-,-, B-136, 22465,Air America,Cargo,-,-,-,-,-,-,-,-,-,5,1,5,1,-,-,-
19610813-1,Sunday,13-AUG-1961,-,A1, Landing (LDG),Riga Central Airport,Latvia,-,0, Damaged beyond repair,-,Ilyushin Il-18B,-,-,1958,-,-, CCCP-75653, 188000502,Aeroflot / Moscow,Domestic Scheduled Passenger,-,Moskva-Vnukovo Airport,VKO,UUWW,Russia,-,-,-,-,-,-,0,0,-,-,-
19610814-0,Monday,14-AUG-1961,16:45,A1, Takeoff (TOF),Lyon-Bron Airport (LYN),France,40,0, Damaged beyond repair,-,Vickers 610 Viking 1B,-,-,1948,-,-, G-AJCE, 256,Overseas Aviation,Int'l Non Scheduled Passenger,-,Lyon-Bron Airport,LYN,LFLY,France,London-Gatwick Airport,LGW,EGKK,United Kingdom,3,37,0,0,-,-,-
19610814-1,Monday,14-AUG-1961,-,A1, En route (ENR),"near Walterboro Municipal Airport, SC (RBW)",United States of America,3,0, Damaged beyond repair,-,Consolidated PBY-5A Catalina,-,-,-,-,-, N10019, 1697,Unknown,Ferry/positioning,-,Walterboro Municipal Airport,RBW,KRBW,United States of America,Charleston Municipal Airport,CHS,KCHS,United States of America,3,0,0,0,-,-,Final
19610814-2,Monday,14-AUG-1961,-,A1, En route (ENR),W off Samarai Island,Papua New Guinea,9,0, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,1,Pratt & Whitney R-1340,1958,-,-, VH-SBQ, 241,TAA,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,2,7,0,0,-,-,-
19610822-0,Tuesday,22-AUG-1961,-,A1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Canadian Vickers PBV-1A Canso A (PBY-5A),-,-,-,-,-, VT-DID, CV-519,Airways (India),Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19610826-0,Saturday,26-AUG-1961,-,A1, Takeoff (TOF),Calcutta-Dum Dum Airport (CCU),India,3,0, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, VT-AXA, 19874,Indian Airlines,Cargo,-,Calcutta-Dum Dum Airport,CCU,VECC,India,Guwahati-Borjhar Airport,GAU,VEGT,India,3,0,0,0,-,-,-
19610828-0,Monday,28-AUG-1961,-,A1, Unknown (UNK),"Norfolk NAS Chambers, VA (NGU)",United States of America,-,-, Damaged beyond repair,-,Lockheed P2V-7 Neptune ,-,-,-,-,-, 140965, 726-7067,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19610829-0,Tuesday,29-AUG-1961,18:23,A1, En route (ENR),"12,5 km (7.8 mls) NW of Kangerlussuaq-Søndre Strømfjord Airport (SFJ)",Greenland,6,1, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,-,-,1960,-,750.0, CF-MEX, 332,Eastern Provincial Airways,Domestic Non Scheduled Passenger,-,Kangerlussuaq-Søndre Strømfjord Airport,SFJ,BGSF,Greenland,Aasiaat Airport,JEG,BGEM,Greenland,2,4,1,0,-,-,Final
