identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19920612-0,Friday,12-JUN-1992,12:10,A1, Takeoff (TOF),"Sheboygan Falls, WI",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Learjet 25B,2,General Electric CJ610-6,-,-,9798.0, N38DJ, 25-191,Jet Charter Group,Ferry/positioning,-,Sheboygan Memorial Airport,SBM,KSBM,United States of America,Manitowoc/Newton Municipal Airport,MTW,KMTW,United States of America,2,0,2,0,-,-,Final
19920616-0,Tuesday,16-JUN-1992,14:47,A1, Approach (APR),"Wilmington Airport, DE (ILG)",United States of America,4,4, Damaged beyond repair,-,Beechcraft 200 Super King Air,2,Pratt & Whitney Canada PT6A-41,1976,-,6718.0, N32HG, BB-146,Omega Air Inc,Executive,-,Baltimore-Glenn L. Martin Airport,MTN,KMTN,United States of America,Wilmington Airport,ILG,KILG,United States of America,2,2,2,2,-,-,Final
19920621-0,Sunday,21-JUN-1992,-,A1, Unknown (UNK),Poltavskiy,Russia,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, CCCP-32544, 1G104-21,Aeroflot / Kazakstan,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19920622-0,Monday,22-JUN-1992,-,A1, Takeoff (TOF),Pantelleria Airport (PNL),Italy,18,0, Damaged beyond repair,-,Grumman G-159 Gulfstream I,-,-,1964,-,-, I-MDDD, 143,TAS Airways,Passenger,-,Pantelleria Airport,PNL,LICG,Italy,-,-,-,-,-,-,0,0,-,-,-
19920622-1,Monday,22-JUN-1992,12:45,A1, Approach (APR),Noril'sk Airport (NSK),Russia,12,10, Damaged beyond repair,-,Antonov An-12A,4,Ivchenko AI-20K,1963,6487.0,15654.0, CCCP-11896, 3340906,Krasnoyarskie Avialinii,Cargo,-,Igarka Airport,IAA,UOII,Russia,Omsk Airport,OMS,UNOO,Russia,7,5,6,4,-,-,-
19920622-2,Monday,22-JUN-1992,06:05,A1, Approach (APR),"15 km (9.4 mls) from  Cruzeiro do Sul, AC",Brazil,3,3, Damaged beyond repair,-,Boeing 737-2A1C,2,Pratt & Whitney JT8D-17,1975,-,-, PP-SND, 21188/444,VASP,Cargo,-,Rio Branco-Presidente Médici Airport,RBR,SBRB,Brazil,Cruzeiro do Sul-Campo Internacional Airport,CZS,SBCZ,Brazil,2,1,2,1,-,-,-
19920624-0,Wednesday,24-JUN-1992,22:00,A2, En route (ENR),Cerro Copey,Venezuela,263,0, Substantial, Repaired,Boeing 767-330ER,2,Pratt & Whitney PW4060,1991,-,-, D-ABUZ, 25209/382,Condor Flugdienst,Int'l Non Scheduled Passenger,-,Porlamar-del Caribe Santiago Mariño International Airport,PMV,SVMG,Venezuela,-,-,-,-,12,251,0,0,-,-,Preliminary - official
19920625-2,Thursday,25-JUN-1992,-,A1, En route (ENR),off Batu Island,Indonesia,3,3, Missing, Presumed damaged beyond repair,CASA/Nurtanio NC-212-A4 Aviocar 100,-,-,1979,-,-, PK-VSM, 116/17N,Dirgantara Air Services,Ferry/positioning,-,Singapore-Seletar Airport,XSP,WSSL,Singapore,Pontianak Airport,PNK,WIOO,Indonesia,3,0,3,0,-,-,-
19920699-0,-,xx-JUN-1992,-,O1, Standing (STD),Bratsk Airport (BTK),Russia,0,0, Damaged beyond repair,-,Tupolev Tu-154B-1,3,Kuznetsov NK-8-2U,1978,-,-, CCCP-85282, 78A282,Aeroflot / Uralsk,Unknown,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19920699-1,-,xx-JUN-1992,-,O1, Standing (STD),Bratsk Airport (BTK),Russia,0,0, Damaged beyond repair,-,Tupolev Tu-154B-1,3,Kuznetsov NK-8-2U,1977,13180.0,31565.0, CCCP-85234, 77A234,Aeroflot / Privolzhsk,Unknown,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19920701-0,Wednesday,01-JUL-1992,15:40,A2, Landing (LDG),"Devonport Airport, TAS (DPO)",Australia,20,0, Substantial, Repaired,Saab 340A,2,General Electric CT7-5A2,1987,-,7663.0, VH-EKT, 340A-085,Kendell Airlines,Domestic Scheduled Passenger,-,Moorabbin Airport,MBW,YMMB,Australia,Devonport Airport,DPO,YDPO,Australia,3,17,0,0,-,-,Final
19920703-0,Friday,03-JUL-1992,-,A1, Unknown (UNK),Sosnovyy,Russia,-,-, Damaged beyond repair,-,Antonov An-2R,-,-,-,-,-, CCCP-40237, 1G221-42,private,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
