identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19410101-2,Wednesday,01-JAN-1941,-,A1, En route (ENR),Bodø,Norway,-,0, Damaged beyond repair,-,Junkers Ju-52 See,-,-,-,-,-, registration unknown, 6929,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410102-2,Thursday,02-JAN-1941,-,A1, Standing (STD),Hommelvik Seaplane Base,Norway,0,0, Damaged beyond repair,-,Junkers Ju-52 See,-,-,-,-,-, registration unknown, 6932,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410104-0,Saturday,04-JAN-1941,-,A1, En route (ENR),"Umbalkees Glacier, Hohe Tauern",Austria,11,1, Damaged beyond repair,-,Junkers Ju-52/3mg6e,-,-,-,-,-, .. + .., 6888,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410104-1,Saturday,04-JAN-1941,18:30,A1, En route (ENR),"43 km (26.9 mls) E of San Diego-North Island NAS, CA (NZY)",United States of America,11,11, Damaged beyond repair,-,Douglas R2D-1 (DC-2),-,-,-,-,-, 9622, 1327,US Navy,Military,-,Big Spring-Webb AFB,BGS,KBPG,United States of America,San Diego-North Island NAS,NZY,KNZY,United States of America,4,7,4,7,-,-,-
19410108-0,Wednesday,08-JAN-1941,-,A1, Unknown (UNK),13 km (8.1 mls) NE of Mbeya,Tanzania,15,15, Damaged beyond repair,-,Junkers Ju-52/3msai,-,-,-,-,-, 668, 5905,South African AF,Military,-,-,-,-,-,-,-,-,-,4,11,4,11,-,-,-
19410112-0,Sunday,12-JAN-1941,-,O1, Standing (STD),"Salt Lake City Municipal Airport, UT (SLC)",United States of America,0,0, Damaged beyond repair,-,Douglas DC-3A-197,-,-,1936,-,-, NC16072, 1912,United Airlines,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19410115-0,Wednesday,15-JAN-1941,12:05,A1, En route (ENR),"off Fernando de Noronha, PE",Brazil,10,10, Damaged beyond repair,-,Savoia-Marchetti SM-75C,-,-,-,-,-, I-BAYR, 32013,LATI,International Scheduled Passenger,-,Natal Airport,NAT,SBNT,Brazil,Sal-Amilcar Cabral International Airport,SID,GVAC,Cape Verde,8,2,8,2,-,-,-
19410117-0,Friday,17-JAN-1941,03:30,A1, Landing (LDG),Catania-Fontanarossa Airport (CTA),Italy,17,0, Damaged beyond repair,-,Savoia-Marchetti SM-75,-,-,-,-,-, I-LUME, 32032,Ala Littoria,Military,-,Catania-Fontanarossa Airport,CTA,LICC,Italy,-,-,-,-,-,-,0,0,-,-,-
19410117-1,Friday,17-JAN-1941,-,A1, En route (ENR),near Nagyvárad (Oradea),Romania,16,12, Damaged beyond repair,-,Junkers Ju-52/3mg3e,-,-,-,-,-, HA-JUA, 5523,Malert,International Scheduled Passenger,-,-,-,-,-,Târgu Mures Airport,TGM,LRTM,Romania,3,13,3,9,-,-,-
19410119-0,Sunday,19-JAN-1941,-,A1, Unknown (UNK),El Fasher,Sudan,-,-, Damaged beyond repair,-,Lockheed 14-WF62 Super Electra,-,-,1938,-,-, G-AFGR, 1470,BOAC,Passenger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410120-0,Monday,20-JAN-1941,-,A1, En route (ENR),within Jiangxi Province,China,6,5, Damaged beyond repair,-,Ford 5-AT-D Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1931,-,-, 23, 5-AT-101,CNAC,Domestic Non Scheduled Passenger,-,-,-,-,-,-,-,-,-,4,2,3,2,-,-,-
19410123-0,Thursday,23-JAN-1941,04:13,A1, Approach (APR),"0,7 km (0.4 mls) W of Saint Louis Airport, MO",United States of America,14,2, Destroyed, Written off (damaged beyond repair),Douglas DC-3B-202,2,Wright R-1820-G102,1937,-,-, NC17315, 1930,TWA,Domestic Scheduled Passenger,Trip 6,Kansas City Municipal Airport,MKC,KMKC,United States of America,Saint Louis-Lambert Municipal Airport,STL,KSTL,United States of America,3,11,1,1,-,-,Final
19410128-2,Tuesday,28-JAN-1941,-,A1,  (CMB),Rhodos,Greece,13,7, Damaged beyond repair,-,Junkers Ju-52/3mg3e,-,-,-,-,-, 6880, 6880,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410202-2,Sunday,02-FEB-1941,-,O1, Standing (STD),BA1 Sintra,Portugal,0,0, Damaged beyond repair,-,Junkers Ju-52/3mge,-,-,-,-,-, 201, 5653,Portuguese AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410206-0,Thursday,06-FEB-1941,05:50,A1, Approach (APR),"near Armstrong Airport, ON (YYW)",Canada,12,12, Damaged beyond repair,-,Lockheed 14-H2 Super Electra,-,-,1939,-,-, CF-TCP, 1501,TCAL,Domestic Scheduled Passenger,-,North Bay Airport,YYB,CYYB,Canada,Winnipeg International Airport,YWG,CYWG,Canada,3,9,3,9,-,-,-
19410206-1,Thursday,06-FEB-1941,-,A1, En route (ENR),Marble Creek,Papua New Guinea,1,1, Damaged beyond repair,-,de Havilland DH.66 Hercules,3,Bristol Jupiter VI,-,-,-, VH-UJO, 344,Stephens Aviation,Unknown,-,-,-,-,-,Wau Airport,WUG,AYWU,Papua New Guinea,1,0,1,0,-,-,-
19410209-0,Sunday,09-FEB-1941,-,A1, Landing (LDG),"San Diego-North Island NAS, CA (NZY)",United States of America,-,1, Damaged beyond repair,-,Consolidated PBY-4 Catalina,-,-,-,-,-, 1244,-,US Navy,Military,-,-,-,-,-,San Diego-North Island NAS,NZY,KNZY,United States of America,-,-,-,-,-,-,-
19410212-0,Wednesday,12-FEB-1941,-,A1, En route (ENR),"Taohsien, Hunan",China,3,3, Damaged beyond repair,-,Douglas DC-2-192,-,-,1936,-,-, 40, 1560 or 1598,CNAC,Cargo,-,Hong Kong-Kai Tak International Airport,HKG,VHHH,Hong Kong,Chongqing-Jiangbei International Airport,CKG,ZUCK,China,3,0,3,0,-,-,-
19410213-0,Thursday,13-FEB-1941,-,A1, Takeoff (TOF),near Perugia,Italy,5,3, Damaged beyond repair,-,Junkers Ju-52/3m,-,-,-,-,-, registration unknown, 6528,German AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410215-0,Saturday,15-FEB-1941,-,O1, Standing (STD),"River Tagus, Lisbon",Portugal,0,0, Damaged beyond repair,-,Short S.30 Empire Flying Boat,4,Bristol Perseus XIIc,1939,-,-, G-AFCX, S.883,BOAC,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19410217-0,Monday,17-FEB-1941,-,A1, En route (ENR),Strait of Messina,Italy,4,4, Damaged beyond repair,-,Junkers Ju-52/3mg5e,-,-,-,-,-, 4V+EH, 7055,German AF,Military,-,-,-,-,-,-,-,-,-,4,0,4,0,-,-,-
19410219-2,Wednesday,19-FEB-1941,-,U1, Unknown (UNK),at an unknown location,Spain,-,-, Damaged beyond repair,-,Junkers Ju-52/3m,-,-,-,-,-, 22-89,-,Spanish AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19410225-0,Tuesday,25-FEB-1941,-,O1, Standing (STD),Scaramanga,Greece,0,0, Damaged beyond repair,-,Short Sunderland I,-,-,-,-,-, L5804,-,RAF,Military,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19410226-0,Wednesday,26-FEB-1941,23:50,A1, Approach (APR),"N of Jonesboro, GA",United States of America,16,8, Damaged beyond repair,-,Douglas DST-318A (DC-3),2,Wright R-1820-G202A,1940,-,-, NC28394, 3250,Eastern Air Lines,Domestic Scheduled Passenger,Trip 21,-,-,-,-,Atlanta-Candler Field,ATL,KATL,United States of America,3,13,3,5,-,-,Final
19410301-0,Saturday,01-MAR-1941,-,A1, Unknown (UNK),Palma de Mallorca,Spain,9,0, Damaged beyond repair,-,Junkers Ju-52/3mge,-,-,-,-,-, EC-AAJ, 4073,Iberia,Passenger,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
