identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19890611-1,Sunday,11-JUN-1989,10:15,A1, En route (ENR),Vereda el Salitre,Colombia,22,6, Damaged beyond repair,-,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1980,-,-, HK-2486, 676,Aerotaca,Domestic Scheduled Passenger,-,El Yopal Airport,EYP,SKYP,Colombia,Tame Airport,TME,SKTM,Colombia,2,20,0,6,-,-,-
19890615-0,Thursday,15-JUN-1989,-,A1, En route (ENR),near Dahomo,Papua New Guinea,2,2, Damaged beyond repair,-,de Havilland Canada DHC-6 Twin Otter 200,-,-,1968,-,-, P2-OTR, 147,Curtain Brothers PNG,Cargo,-,Kiunga Airport,UNG,AYKI,Papua New Guinea,-,-,-,-,2,0,2,0,-,-,Preliminary
19890617-2,Saturday,17-JUN-1989,06:28,A1, Takeoff (TOF),Berlin-Schönefeld Airport (SXF),Germany,113,21, Destroyed, Written off (damaged beyond repair),Ilyushin Il-62M,4,Soloviev D-30KU,1988,546.0,1939.0, DDR-SEW, 2850324,Interflug,International Scheduled Passenger,IF102,Berlin-Schönefeld Airport,SXF,EDDB,Germany,Moskva-Sheremetyevo Airport,SVO,UUEE,Russia,10,103,0,21,-,-,-
19890618-0,Sunday,18-JUN-1989,13:20,A1, Landing (LDG),Zabol Airport (ACZ),Iran,39,6, Damaged beyond repair,-,Antonov An-26,-,-,1985,-,-, YA-BAK, 14104,Ariana Afghan Airlines,Domestic Scheduled Passenger,-,Kabul Airport,KBL,OAKB,Afghanistan,Zaranj Airport,ZAJ,OAZJ,Afghanistan,4,35,0,6,-,-,-
19890621-0,Wednesday,21-JUN-1989,-,A1, En route (ENR),near Tarma,Peru,59,59, Damaged beyond repair,-,de Havilland Canada DHC-5D Buffalo,-,-,1972,-,-, FAP-329, 52,Peruvian AF,Domestic Non Scheduled Passenger,-,-,-,-,-,Lima-Jorge Chávez International Airport,LIM,SPIM,Peru,6,53,6,53,-,-,-
19890626-3,Monday,26-JUN-1989,19:40,A1, Maneuvering (MNV),"48 km (30 mls) SE of St. Anne-des-Monts, QC",Canada,4,4, Destroyed, Written off (damaged beyond repair),Douglas C-118A (DC-6),4,Pratt & Whitney R-2800-CB16,1953,-,24220.0, C-GBYA, 43717/370,Conifair Aviation,Agricultural,-,Bonaventure Airport,YVB,CYVB,Canada,Bonaventure Airport,YVB,CYVB,Canada,4,0,4,0,-,-,Final
19890626-4,Monday,26-JUN-1989,11:05,A1, Initial climb (ICL),"8 km (5 mls) S off  Petersburg, AK",United States of America,1,0, Substantial, Written off (damaged beyond repair),Douglas C-47A-65-DL (DC-3C),2,Pratt & Whitney R-1830-94,1943,-,10762.0, N8042X, 19041,California Air Tours,Ferry/positioning,-,Petersburg Municipal Airport,PSG,PAPG,United States of America,Ketchikan International Airport,KTN,PAKT,United States of America,1,0,0,0,-,-,Final
19890628-1,Wednesday,28-JUN-1989,-,A1, En route (ENR),near Hargeisa,Somalia,30,30, Damaged beyond repair,-,Fokker F-27 Friendship 600RF,2,Rolls-Royce Dart 535-7R,1977,9842.0,21126.0, 6O-SAZ, 10559,Somali Airlines,Domestic Scheduled Passenger,-,Hargeisa Airport,HGA,HCMH,Somalia,Mogadishu International Airport,MGQ,HCMM,Somalia,6,24,6,24,-,-,-
19890628-2,Wednesday,28-JUN-1989,21:19,A1, Landing (LDG),Yaoundé-Ville Airport (YAO),Cameroon,47,3, Damaged beyond repair,-,British Aerospace BAe-748-435 Srs. 2B,2,Rolls-Royce Dart 535-2,1985,-,-, TJ-CCF, 1804,Cameroon Airlines,Domestic Scheduled Passenger,-,Douala Airport,DLA,FKKD,Cameroon,Yaoundé-Ville Airport,YAO,FKKY,Cameroon,2,45,2,1,-,-,-
19890629-0,Thursday,29-JUN-1989,00:04,A1, Takeoff (TOF),"3 km (1.9 mls) N of Cartersville Airport, GA",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Dassault Falcon 20DC,2,General Electric CF700-2D2,1970,-,13547.0, N125CA, 208,Phoenix Air,Ferry/positioning,-,-,-,-,-,Montgomery-Dannelly Field,MGM,KMGM,United States of America,2,0,2,0,-,-,Final
19890703-0,Monday,03-JUL-1989,-,A1, Landing (LDG),Ocaña-Aguasclaras Airport (OCV),Colombia,-,0, Damaged beyond repair,-,Lockheed C-130B Hercules,4,Allison T56-A-7,1959,-,-, FAC-1007, 3531,Colombian AF,Military,-,-,-,-,-,Ocaña-Aguas Claras Airport,OCV,SKOC,Colombia,-,-,0,0,-,-,-
19890706-0,Thursday,06-JUL-1989,-,A1, Takeoff (TOF),near Cape Schmidt,Russia,-,0, Damaged beyond repair,-,Ilyushin Il-14M,-,-,1958,6989.0,17992.0, CCCP-61788, 8343901,Aeroflot / Yakutsk,Survey/research,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19890708-0,Saturday,08-JUL-1989,-,A1, Landing (LDG),Cam Ranh Airport,Vietnam,34,31, Damaged beyond repair,-,Antonov An-12BP,4,Ivchenko AI-20M,-,-,-, CCCP-11875, 7345006,Soviet AF,Military,-,Cam Ranh Airport,CXR,VVCR,Vietnam,Ho Chi Minh City-Tan Son Nhat International Airport,SGN,VVTS,Vietnam,6,28,4,27,-,-,Preliminary
19890709-0,Sunday,09-JUL-1989,-,O1, Standing (STD),Belfast City Airport (BHD),United Kingdom,0,0, Damaged beyond repair,-,Shorts 330-200,-,-,1983,-,-, G-OATD, SH.3096,Short Brothers,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19890710-0,Monday,10-JUL-1989,-,A2, Landing (LDG),Wau Airport (WUU),South Sudan,7,0, Substantial, Repaired,Lockheed L-100-30 Hercules,-,-,-,-,-, registration unknown,-,Pelita Air Service,Cargo,-,-,-,-,-,Wau Airport,WUU,HSWW,South Sudan,7,0,0,0,-,-,Preliminary - official
19890711-0,Tuesday,11-JUL-1989,-,A1, Landing (LDG),Addis Ababa-Bole Airport (ADD),Ethiopia,76,0, Damaged beyond repair,-,Boeing 707-351B,4,Pratt & Whitney JT3D-3B,1968,-,-, 5Y-BBK, 19872/742,Kenya Airways,International Scheduled Passenger,-,Addis Ababa-Bole Airport,ADD,HAAB,Ethiopia,Nairobi-Jomo Kenyatta International Airport,NBO,HKJK,Kenya,10,66,0,0,-,-,-
19890713-0,Thursday,13-JUL-1989,01:13,A2, Taxi (TXI),"Dayton-James Cox Dayton International Airport, OH (DAY)",United States of America,3,0, Substantial, Repaired,McDonnell Douglas DC-8-63F,-,-,1967,-,53209.0, N950R, 45903/286,Rosenbalm Aviation,Cargo,-,Charlotte-Douglas Airport,CLT,KCLT,United States of America,Dayton-James Cox Dayton International Airport,DAY,KDAY,United States of America,3,0,0,0,-,-,Final
19890714-0,Friday,14-JUL-1989,-,A2, Takeoff (TOF),"Miami International Airport, FL (MIA)",United States of America,4,0, Substantial, Repaired,McDonnell Douglas DC-8-63F,4,Pratt & Whitney JT3D-7,1969,-,-, HK-3490X, 46041/439,TAMPA Colombia,Cargo,-,Miami International Airport,MIA,KMIA,United States of America,-,-,-,-,4,0,0,0,-,-,-
19890718-0,Tuesday,18-JUL-1989,-,U1, Unknown (UNK),at an unknown location,Papua New Guinea,-,-, Damaged beyond repair,-,Britten-Norman BN-2A Islander,-,-,1969,-,-, P2-ISJ, 89,Talair,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
