identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20010104-0,Thursday,04-JAN-2001,-,A1, Approach (APR),near Zheng Zou Air Base,China,8,8, Damaged beyond repair,-,Shaanxi Yunshuji Y-8,-,-,-,-,-, 31242,-,China Air Force,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
20010104-1,Thursday,04-JAN-2001,-,A1, Approach (APR),near Zheng Zou Air Base,China,8,8, Damaged beyond repair,-,Shaanxi Yunshuji Y-8,-,-,-,-,-, 31243,-,China Air Force,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20010104-2,Thursday,04-JAN-2001,15:47,A1, Takeoff (TOF),"Schenectady-County Airport, NY (SCH)",United States of America,3,0, Substantial, Written off (damaged beyond repair),Learjet 35,2,Garrett TFE731,-,-,16302.0, N435JL, 35-018,Air Response North,Ambulance,-,Schenectady-County Airport,SCH,KSCH,United States of America,New York-La Guardia Airport,LGA,KLGA,United States of America,2,1,0,0,-,-,Final
20010105-0,Friday,05-JAN-2001,-,A1, Landing (LDG),Dundo Airport (DUE),Angola,10,0, Damaged beyond repair,-,Boeing 727-46F,3,Pratt & Whitney JT8D-9A,1969,30800.0,40300.0, S9-BAI, 20078/686,Air Gemini Cargo,Cargo,-,Luanda-4 de Fevereiro Airport,LAD,FNLU,Angola,Dundo Airport,DUE,FNDU,Angola,4,6,0,0,-,1,Preliminary
20010106-0,Saturday,06-JAN-2001,-,A1, En route (ENR),9 km (5.6 mls) from  Mahdia,Guyana,3,3, Damaged beyond repair,-,Britten-Norman BN-2A-2 Islander,2,Lycoming IO-540-K1B5,1970,-,-, 8R-GFN, 289,Guyana AF,Domestic Non Scheduled Passenger,-,Kato Airport,KTO,SYKT,Guyana,Mahdia Airport,MHA,SYMD,Guyana,2,1,2,1,-,-,-
20010108-0,Monday,08-JAN-2001,-,A1, En route (ENR),near Silimo,Indonesia,9,9, Damaged beyond repair,-,CASA/Nurtanio NC-212-MP Aviocar 200,-,-,1984,-,-, U-614, 223/63N,Indonesian Navy,Military,-,Timika-Moses Kilangin (Tembagapura) Airport,TIM,WABP,Indonesia,Jayapura-Sentani Airport,DJJ,WAJJ,Indonesia,-,-,-,-,-,-,Preliminary
20010108-1,Monday,08-JAN-2001,-,A1, Landing (LDG),Luanda Airport (LAD),Angola,-,0, Damaged beyond repair,-,Boeing 727-23F,3,Pratt & Whitney JT8D-7B,1963,-,-, D2-FOO, 18426/15,Air Gemini Cargo,Unknown,-,-,-,-,-,Luanda Airport,LAD,FNLU,Angola,-,-,0,0,-,-,Preliminary
20010109-0,Tuesday,09-JAN-2001,17:20,A1, Taxi (TXI),"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",Argentina,146,0, Damaged beyond repair,-,Boeing 727-287,3,Pratt & Whitney JT8D-17,1981,-,-, CP-2323, 22605/1787,LAB,International Scheduled Passenger,-,Buenos Aires/Ezeiza-Ministro Pistarini Airport,EZE,SAEZ,Argentina,Santa Cruz-Viru Viru International Airport,VVI,SLVR,Bolivia,8,138,0,0,-,-,Final
20010111-0,Thursday,11-JAN-2001,16:14,A2, Approach (APR),"near Fort Worth-Meacham Field, TX (FTW)",United States of America,3,0, Substantial, Repaired,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1985,-,6011.0, N824ED, 824,Earth Data Aviation,Executive,-,Alexandria-Esler Field,ESF,KESF,United States of America,Fort Worth-Meacham Field,FTW,KFTW,United States of America,1,2,0,0,-,-,Final
20010111-1,Thursday,11-JAN-2001,-,A1, En route (ENR),"near Parnamirim, BA",Brazil,3,3, Damaged beyond repair,-,IRMA/Britten-Norman BN-2A-21 Islander,-,-,1973,-,-, PT-KNE, 696,LASA,Survey/research,-,-,-,-,-,-,-,-,-,2,1,2,1,-,-,-
