identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19470908-0,Monday,08-SEP-1947,-,A1, En route (ENR),"6,5 km (4.1 mls) S of Larkspur, CO",United States of America,3,3, Damaged beyond repair,-,Douglas C-47B-5-DK (DC-3),-,-,1944,-,-, 43-48721, 25982/14537,USAAF,Military,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
19470913-0,Saturday,13-SEP-1947,-,U1, Unknown (UNK),Zamboanga,Philippines,-,-, Damaged beyond repair,-,Douglas DC-3,-,-,-,-,-, PI-C59,-,Philippine Air Lines,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19470917-0,Wednesday,17-SEP-1947,11:12,A1, Landing (LDG),"Hollywood-Lockheed Air Terminal, CA (BUR)",United States of America,2,0, Damaged beyond repair,-,Curtiss C-46E-1-CS Commando,2,Pratt & Whitney R-2800-75,1945,-,3811.0, NC59495,  2937,Slick Airways,Cargo,-,-,-,-,-,Hollywood-Lockheed Air Terminal,BUR,KBUR,United States of America,2,0,0,0,-,-,Final
19470917-1,Wednesday,17-SEP-1947,-,A1, Landing (LDG),Carlota,Venezuela,2,0, Damaged beyond repair,-,Douglas C-47A (DC-3),-,-,-,-,-, YV-C-CAJ,-,C.A. Vuelos Express,Cargo,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,-
19470917-2,Wednesday,17-SEP-1947,-,A1, Unknown (UNK),"Buenos Aires-Jorge Newbery Airport, BA (AEP)",Argentina,-,-, Damaged beyond repair,-,Vickers 615 Viking 1B,-,-,1946,-,-, T-4, 161,LADE,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19470918-0,Thursday,18-SEP-1947,-,A1, Unknown (UNK),Junagarh,India,-,-, Damaged beyond repair,-,Douglas C-47A-90-DL (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, VT-CFL, 20248,Tata Airlines,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19470919-0,Friday,19-SEP-1947,13:55,A1, En route (ENR),5 km (3.1 mls) SW off  Puerto San Juan,Peru,14,14, Damaged beyond repair,-,Douglas C-54D-5-DC (DC-4),4,Pratt & Whitney R-2000-11,1945,-,-, 42-72554, 10659,USAF,Military,-,La Paz-El Alto Airport,LPB,SLLP,Bolivia,Lima-Limatambo Airport,LIM,SPIM,Peru,5,9,5,9,-,-,-
19470919-1,Friday,19-SEP-1947,-,O1, Standing (STD),Moskva-Vnukovo Airport (VKO),Russia,0,0, Damaged beyond repair,-,Ilyushin Il-12P,-,-,1947,-,-, CCCP-L1332, 30038,Aeroflot / Moscow,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19470920-0,Saturday,20-SEP-1947,18:23,A1, En route (ENR),"New York-Floyd Bennett Field, NY (NOP)",United States of America,41,0, Damaged beyond repair,-,Douglas DC-4,-,-,1944,-,-, NC88911, 27229,Pan Am,International Scheduled Passenger,PA131,Bermuda Air Terminal,BDA,TXKF,Bermuda,New York-La Guardia Airport,LGA,KLGA,United States of America,5,36,0,0,-,-,Final
19470920-1,Saturday,20-SEP-1947,-,A1, En route (ENR),265 km (165.6 mls) ESE of Angeles City-Clark Air Base,Philippines,27,2, Damaged beyond repair,-,Curtiss C-46D-15-CU Commando,-,-,-,-,-, 44-78263, 33659,USAF,Military,-,-,-,-,-,Angeles City-Clark Air Base,CRK,RPMK,Philippines,-,-,-,-,-,-,-
