identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20100102-0,Saturday,02-JAN-2010,-,A1, Landing (LDG),Kinshasa-N'Djili Airport (FIH),Democratic Republic of the Congo,3,0, Substantial, Written off (damaged beyond repair),Boeing 727-231F Super 27,3,Pratt & Whitney JT8D-219,1980,-,-, 9Q-CAA, 21986/1580, CAA,Cargo,-,Kinshasa-N'Djili Airport,FIH,FZAA,Democratic Republic of the Congo,-,-,-,-,3,0,0,0,-,-,Preliminary
20100102-1,Saturday,02-JAN-2010,15:21,A2, Landing (LDG),"Somerset-Lake Cumberland Regional Airport, KY (SME)",United States of America,3,0, Substantial, Repaired,Swearingen SA227-AC Metro III,2,Garrett TPE331-11U,1982,-,25998.0, N227ML, AC-472,Locair,Domestic Scheduled Passenger, 151,Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI,United States of America,Somerset-Lake Cumberland Regional Airport,SME,KSME,United States of America,2,1,0,0,-,-,Final
20100104-0,Monday,04-JAN-2010,09:10,A1, Landing (LDG),Heglig Airport,Sudan,6,0, Damaged beyond repair,-,Antonov An-12BK,4,Ivchenko AI-20M,1969,-,36190.0, ST-AQQ, 9346504,El Magal Aviation,Cargo, 100,Khartoum-Civil Airport,KRT,HSSS,Sudan,-,-,-,-,6,0,0,0,-,-,Final
20100105-0,Tuesday,05-JAN-2010,13:30,A1, Approach (APR),"ca 2,5 km S of Chicago-Executive Airport, IL (PWK)",United States of America,2,2, Destroyed, Written off (damaged beyond repair),Learjet 35A,2,Garrett TFE731-2-2B,1977,-,-, N720RA, 35A-156,Royal Air Freight,Ferry/positioning,-,Pontiac-Oakland County International Airport,PTK,KPTK,United States of America,Chicago-Executive Airport,PWK,KPWK,United States of America,2,0,2,0,-,-,Final
20100106-0,Wednesday,06-JAN-2010,-,A2, Takeoff (TOF),"Piajo Airstrip, Chief's Island, Okavango Delta",Botswana,6,0, Substantial, Repaired,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,1997,-,-, A2-AKG, 208B0573,Mack Air,Domestic Non Scheduled Passenger,-,-,-,-,-,Maun Airport,MUB,FBMN,Botswana,1,5,0,0,-,-,Preliminary
20100106-1,Wednesday,06-JAN-2010,07:41,A2, Landing (LDG),"Kearney Regional Airport, NE (EAR)",United States of America,1,0, Substantial, Repaired,Beechcraft C99 Commuter,2,Pratt & Whitney Canada PT6A-60A,1983,-,-, N206AV, U-206,Ameriflight,Cargo,-,Omaha-Eppley Airfield,OMA,KOMA,United States of America,Kearney Regional Airport,EAR,KEAR,United States of America,1,0,0,0,-,-,Final
20100107-0,Thursday,07-JAN-2010,11:45,O1, Standing (STD),Nassau-Lynden Pindling International Airport (NAS),Bahamas,2,0, Substantial, Written off (damaged beyond repair),Saab 340A,2,General Electric CT7-5A2,1987,-,-, C6-SBE, 340A-099,SkyBahamas Airlines,Domestic Scheduled Passenger,-,Nassau-Lynden Pindling International Airport,NAS,MYNN,Bahamas,Marsh Harbour International Airport,MHH,MYAM,Bahamas,2,0,0,0,-,-,Preliminary
20100108-0,Friday,08-JAN-2010,12:25,A2, Takeoff (TOF),"Vail-Eagle County Airport, CO (EGE)",United States of America,7,0, Substantial,-,Dassault Falcon 20C,-,-,1968,-,-, XA-PCC, 159,Aerotaxis Dos Mil,Executive,-,Vail-Eagle County Airport,EGE,KEGE,United States of America,Chihuahua-Gen Fierro Villalobos Airport,CUU,MMCU,Mexico,2,5,0,0,-,-,Final
20100110-0,Sunday,10-JAN-2010,09:30,A2, Landing (LDG),"Newark-Liberty International Airport, NJ (EWR)",United States of America,53,0, Substantial, Repaired,Airbus A319-131,2,IAE V2522-A5,1998,-,39679.0, N816UA, 871,United Airlines,Domestic Scheduled Passenger,UA634,Chicago-O'Hare International Airport,ORD,KORD,United States of America,Newark-Liberty International Airport,EWR,KEWR,United States of America,5,48,0,0,-,-,Final
20100113-0,Wednesday,13-JAN-2010,-,A1, Landing (LDG),Moba Airport (BDV),Democratic Republic of the Congo,22,0, Substantial, Written off (damaged beyond repair),de Havilland Canada DHC-8-102,2,Pratt & Whitney Canada PW120A,1988,-,-, 5Y-EMD, 110,CMC Aviation,Int'l Non Scheduled Passenger,-,-,-,-,-,Moba Airport,BDV,FZRB,Democratic Republic of the Congo,4,18,0,0,-,-,Preliminary
