identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19340115-0,Monday,15-JAN-1934,19:30,A1, En route (ENR),Corbigny,France,10,10, Destroyed, Written off (damaged beyond repair),Dewoitine D.332,-,-,-,-,-, F-AMMY, 01,Air France,Domestic Scheduled Passenger,-,Lyon-Bron Airport,LYN,LFLY,France,Paris-Le Bourget Airport,LBG,LFPB,France,3,7,3,7,-,-,-
19340305-0,Monday,05-MAR-1934,-,A1, Initial climb (ICL),Toncontín,Honduras,12,1, Damaged beyond repair,-,Ford 4-AT-B Tri-Motor,3,Wright J-5 Whirlwind,1928,-,-, NC7120, 4-AT-34,Morgan Air Lines,Passenger,-,-,-,-,-,-,-,-,-,2,10,0,1,-,-,-
19340310-0,Saturday,10-MAR-1934,-,A1, Unknown (UNK),Gliwice,Poland,-,-, Damaged beyond repair,-,Junkers F.24k2ay (G.24),1,Junkers Jumo 4,1925,-,-, D-1019, 843,Deutsche Lufthansa,Cargo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19340322-0,Thursday,22-MAR-1934,-,A1, Takeoff (TOF),Lima-Limatambo Airport (LIM),Peru,15,4, Damaged beyond repair,-,Ford 5-AT-C Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC407H, 5-AT-066,Panagra,International Scheduled Passenger,-,Lima-Limatambo Airport,LIM,SPIM,Peru,-,-,-,-,3,12,2,2,-,-,-
19340531-0,Thursday,31-MAY-1934,-,A1, Approach (APR),Croydon,United Kingdom,2,2, Damaged beyond repair,-,Lioré et Olivier 213,-,-,1928,-,-, F-AIVG, 3,Air France,Cargo,-,-,-,-,-,Paris-Le Bourget Airport,LBG,LFPB,France,2,0,2,0,-,-,-
19340609-0,Saturday,09-JUN-1934,17:00,A1, En route (ENR),"18 km (11.3 mls) N of Livingston Manor, NY",United States of America,7,7, Damaged beyond repair,-,Curtiss T-32 Condor II,-,-,-,-,-, NC12354, 22,American Airways,Domestic Scheduled Passenger,-,Newark Airport,EWR,KEWR,United States of America,-,-,-,-,3,4,3,4,-,-,-
19340611-0,Monday,11-JUN-1934,-,A1, Takeoff (TOF),"Camp Skeel, Oscoda, MI",United States of America,-,0, Damaged beyond repair,-,Ford C-4A (5-AT-D) Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1931,-,-, 31-403, 5-AT-093,USAAC,Military,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19340611-1,Monday,11-JUN-1934,-,A1, En route (ENR),Junin,Argentina,10,5, Damaged beyond repair,-,Ford 5-AT-C Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC8417, 5-AT-055,Panagra,International Scheduled Passenger,-,-,-,-,-,-,-,-,-,4,6,3,2,-,-,-
19340623-0,Saturday,23-JUN-1934,-,O1, Standing (STD),"Columbus, OH",United States of America,0,0, Damaged beyond repair,-,Ford 4-AT-B Tri-Motor,3,Wright J-5 Whirlwind,1928,-,-, NC7685, 4-AT-43,Mulzer Flying Service,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19340701-0,Sunday,01-JUL-1934,-,A1, Unknown (UNK),"Lima, OH",United States of America,-,0, Damaged beyond repair,-,Ford 4-AT-D Tri-Motor,-,-,1928,-,-, NC7586, 4-AT-40,Private,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
