identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19320208-0,Monday,08-FEB-1932,-,O1, Unknown (UNK),"Detroit, MI",United States of America,-,-, Damaged beyond repair,-,Fokker F.10A,-,-,1929,-,-, NC812H, 1051,Transamerican Airlines,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19320315-0,Tuesday,15-MAR-1932,-,O1, Standing (STD),"Blackwell Airport, OK (BWL)",United States of America,0,0, Damaged beyond repair,-,Ford 4-AT-B Tri-Motor,3,Wright J-5 Whirlwind,1928,-,-, NC4805, 4-AT-17,Skyway,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
19320319-0,Saturday,19-MAR-1932,19:30,A1, En route (ENR),"Calimesa, CA",United States of America,7,7, Damaged beyond repair,-,Fokker F.10A,-,-,1929,-,-, NC652E, 1027,American Airways,Domestic Scheduled Passenger,-,-,-,-,-,Los Angeles Municipal Airport,LAX,KLAX,United States of America,-,-,-,-,-,-,-
19320627-0,Monday,27-JUN-1932,-,A1, En route (ENR),Nizhnetambovsk,Russia,-,-, Damaged beyond repair,-,Junkers PS-5 (G.24),-,-,1926,-,-, CCCP-L718, 930,Dobrolet,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19320710-0,Sunday,10-JUL-1932,-,A1, En route (ENR),"Sterling, IL",United States of America,8,0, Damaged beyond repair,-,Boeing 80A,-,-,-,-,-, NC229M, 1087,Boeing Air Transport,Domestic Scheduled Passenger,-,-,-,-,-,Oakland Municipal Airport,OAK,KOAK,United States of America,3,5,0,0,-,-,-
19320716-0,Saturday,16-JUL-1932,-,A1, En route (ENR),near Vitacura,Chile,9,9, Damaged beyond repair,-,Ford 5-AT-C Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC403H, 5-AT-062,Panagra,International Scheduled Passenger,-,-,-,-,-,Mendoza-El Plumerillo Airport,MDZ,SAME,Argentina,3,6,3,6,-,-,-
19320729-0,Friday,29-JUL-1932,15:40,A2, Unknown (UNK),"0,5 km (0.3 mls) from  Schleissheim Aerodrome",Germany,6,0, Substantial, Repaired,Junkers Ju-52/3mce,-,-,1932,-,-, D-2201, 4013,Deutsche Lufthansa,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,1,-,-
19320831-0,Wednesday,31-AUG-1932,00:10,A1, En route (ENR),Tubbergen,Netherlands,2,2, Damaged beyond repair,-,Junkers G.24,-,-,-,-,-, SE-AAE, 836,AB Aerotransport,Cargo,-,Amsterdam-Schiphol Municipal Airport,AMS,EHAM,Netherlands,Hannover Airport,HAJ,EDDV,Germany,2,0,2,0,-,-,-
19320908-0,Thursday,08-SEP-1932,ca 9:00,A1, En route (ENR),"near Salt Flat, TX",United States of America,3,3, Damaged beyond repair,-,Fokker F.10A,-,-,1929,-,-, NC9716, 1009,American Airways,Cargo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19320917-0,Saturday,17-SEP-1932,-,A1, Approach (APR),Selsdon Park,United Kingdom,2,1, Damaged beyond repair,-,Lioré et Olivier 212,-,-,1926,-,-, F-AIFE, 2,Air Union,Cargo,-,Paris-Charles de Gaulle Airport,CDG,LFPG,France,-,-,-,-,2,0,1,0,-,-,-
19321002-0,Sunday,02-OCT-1932,-,A1, En route (ENR),"El Aceituno, Choluteca",Honduras,-,0, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC9664, 5-AT-023,Pan Am,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19321026-0,Wednesday,26-OCT-1932,-,A1, Unknown (UNK),"Villamontes, Gran Chaco",Bolivia,2,2, Damaged beyond repair,-,Ford 5-AT-D Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1932,-,-, n/a, 5-AT-113,LAB,Cargo,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19321211-0,Sunday,11-DEC-1932,-,U1, Unknown (UNK),"Lynndyl, UT",United States of America,-,-, Damaged beyond repair,-,Fokker F.10A,-,-,-,-,-, NC39N, 1028,Western Air Express,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19321214-0,Wednesday,14-DEC-1932,-,A1, Landing (LDG),"Amarillo-English Field, TX (AMA)",United States of America,2,2, Damaged beyond repair,-,Ford 5-AT-B Tri-Motor,3,Pratt & Whitney R-1340 Wasp,1929,-,-, NC9650, 5-AT-037,TWA,Cargo,-,-,-,-,-,Amarillo-English Field,AMA,KAMA,United States of America,2,0,2,0,-,-,-
