identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19550110-0,Monday,10-JAN-1955,09:38,A1, Takeoff (TOF),"St. Petersburg Airport, FL (PIE)",United States of America,13,0, Damaged beyond repair,-,Lockheed 18-50 Lodestar,2,Wright R-1820-G202A,1943,-,20627.0, N33369, 18-2414,National Airlines,Domestic Scheduled Passenger,   1,St. Petersburg-Pinellas International Airport,PIE,KPIE,United States of America,Sarasota-Bradenton Airport,SRQ,KSRQ,United States of America,3,10,0,0,-,-,Final
19550111-0,Tuesday,11-JAN-1955,21:00,A1, En route (ENR),"S off Fastnet Rock, Ireland",Atlantic Ocean,9,9, Missing, Presumed damaged beyond repair,Avro Shackleton MR.2,4,Rolls-Royce Griffon 57,1952,-,-, WG531,-,RAF,Military,-,-,-,-,-,-,-,-,-,9,0,9,0,9,-,-
19550111-1,Tuesday,11-JAN-1955,21:00,A1, En route (ENR),"S off Fastnet Rock, Ireland",Atlantic Ocean,9,9, Destroyed, Written off (damaged beyond repair),Avro Shackleton MR.2,4,Rolls-Royce Griffon 57,1953,-,-, WL743,-,RAF,Military,-,-,-,-,-,-,-,-,-,9,0,9,0,9,-,-
19550111-2,Tuesday,11-JAN-1955,-,A1, En route (ENR),"8 km (5 mls) NE of Smyrna-Sewart AFB, TN (MQY)",United States of America,42,2, Damaged beyond repair,-,Fairchild C-119G Flying Boxcar,-,-,-,-,-, 52-5949, 11136,USAF,Military,-,Smyrna-Sewart AFB,MQY,KMQY,United States of America,-,-,-,-,5,37,2,0,-,-,-
19550112-0,Wednesday,12-JAN-1955,09:04,A1, En route (ENR),"4 km (2.5 mls) W of Cincinnati/Northern Kentucky Airport, KY (CVG)",United States of America,13,13, Damaged beyond repair,-,Martin 2-0-2A,2,Pratt & Whitney R-2800-CB16,1950,-,7958.0, N93211, 14081,TWA,Domestic Scheduled Passenger,TW694,Cincinnati/Northern Kentucky Airport,CVG,KCVG,United States of America,Cleveland-Hopkins International Airport,CLE,KCLE,United States of America,3,10,3,10,2,-,Final
19550112-1,Wednesday,12-JAN-1955,09:04,A1, En route (ENR),"4 km (2.5 mls) W of Cincinnati/Northern Kentucky Airport, KY (CVG)",United States of America,2,2, Damaged beyond repair,-,Douglas C-47-DL (DC-3),2,Pratt & Whitney R-1830-65-92,1942,-,5677.0, N999B, 4255,Castleton Inc,Executive,-,Battle Creek-WK Kellogg Regional Airport,BTL,KBTL,United States of America,Lexington-Blue Grass Airport,LEX,KLEX,United States of America,2,0,2,0,13,-,Final
19550113-1,Thursday,13-JAN-1955,11:30,A1, Takeoff (TOF),Moscow Region,Russia,5,5, Damaged beyond repair,-,Lisunov Li-2,-,-,-,-,-, CCCP-L5000, 33444902,Aeroflot / Moscow,Cargo,-,-,-,-,-,-,-,-,-,5,0,5,0,-,-,-
19550115-0,Saturday,15-JAN-1955,-,A2, Takeoff (TOF),London Airport (LHR),United Kingdom,30,0, Substantial, Repaired,Vickers 701 Viscount,4,Rolls-Royce Dart 505,1953,-,-, G-AMOK, 24,BEA,International Scheduled Passenger,-,London Airport,LHR,EGLL,United Kingdom,Nice-le Var Airport,NCE,LFMN,France,5,25,0,0,-,-,Preliminary
19550115-1,Saturday,15-JAN-1955,01:00,A1, Approach (APR),"1,8 km (1.1 mls) N of London Airport, ON (YXU)",Canada,5,0, Damaged beyond repair,-,Grumman G-73 Mallard,-,-,1947,-,-, CF-GEU, J-33,Hydro-Electric Power Comm. of Ontario,Unknown,-,Toronto-Malton Airport,YYZ,CYYZ,Canada,-,-,-,-,2,3,0,0,-,-,-
19550117-0,Monday,17-JAN-1955,05:15,A1, En route (ENR),"112 km (70 mls) SW off  Stephenville, NL, Canada",Atlantic Ocean,13,13, Damaged beyond repair,-,Lockheed C-121J Super Constellation,-,-,1953,-,-, 131639, 4140,US Navy,Military,-,Stephenville-Ernest Harmon AFB,YJT,CYJT,Canada,Patuxent River NAS,NHK,KNHK,United States of America,6,7,6,7,-,-,-
19550118-0,Tuesday,18-JAN-1955,-,A1, En route (ENR),"4,8 km (3 mls) E of Jardín, Antioquia",Colombia,6,3, Damaged beyond repair,-,Grumman SA-16A Albatross,-,-,-,-,-, 51-7197, G-262,USAF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19550119-0,Wednesday,19-JAN-1955,16:25,A2, En route (ENR),"10 km (6.3 mls) SE of Dexter, IA",United States of America,39,0, Substantial, Repaired,Convair CV-340-13,2,Pratt & Whitney R-2800-CB16,1954,-,1502.0, N73154, 180,United Airlines,Domestic Scheduled Passenger,UA329,Des Moines Airport,DSM,KDSM,United States of America,Omaha-Eppley Airfield,OMA,KOMA,United States of America,3,36,0,0,-,-,Final
19550121-0,Friday,21-JAN-1955,07:29,A1, Approach (APR),Guwahati,India,3,3, Damaged beyond repair,-,Douglas C-47A-25-DK (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, VT-COZ, 13569,Indian Airlines,Cargo,-,Calcutta-Dum Dum Airport,CCU,VECC,India,Guwahati-Borjhar Airport,GAU,VEGT,India,3,0,3,0,-,-,-
19550122-0,Saturday,22-JAN-1955,-,A1, Approach (APR),"0,8 km (0.5 mls) from  Chattanooga-Lovell Field, TN (CHA)",United States of America,2,0, Damaged beyond repair,-,Curtiss C-46F-1-CU Commando,-,-,1945,-,-, N1242N, 22406,Resort Airlines,Cargo,-,Norfolk NAS Chambers,NGU,KNGU,United States of America,Knoxville Airport,TYS,KTYS,United States of America,2,0,0,0,-,-,-
19550123-0,Sunday,23-JAN-1955,07:57,A1, En route (ENR),"near Lipovec, Kagarlyksky District",Ukraine,13,3, Damaged beyond repair,-,Lisunov Li-2,-,-,-,-,-, CCCP-L4510, 18429709,Aeroflot / Ukraine,Domestic Scheduled Passenger,-,-,-,-,-,-,-,-,-,5,8,2,1,-,-,-
19550126-0,Wednesday,26-JAN-1955,16:58,A1, En route (ENR),off Ocean Weather Station Echo [35°N 48°W],Atlantic Ocean,8,0, Damaged beyond repair,-,Douglas C-54G-5-DO (DC-4),-,-,1945,-,-, 45-569, 36022,USAF,Military,-,Terceira-Lajes Airport,TER,LPLA,Portugal,-,-,-,-,-,-,0,0,-,-,-
19550127-0,Thursday,27-JAN-1955,-,A1, Landing (LDG),Niigata Air Base (KIJ),Japan,-,-, Damaged beyond repair,-,Douglas C-47A-30-DK (DC-3),-,-,1944,-,-, 43-48091, 25352/13907,USAF,Military,-,-,-,-,-,Niigata Airport,KIJ,RJAN,Japan,-,-,-,-,-,-,-
19550201-0,Tuesday,01-FEB-1955,-,A1, Landing (LDG),La Pedrera Airport (LPD),Colombia,8,5, Damaged beyond repair,-,Consolidated PBY-5 Catalina,-,-,-,-,-, HK-1000E,-,Agencia Interamericana,Cargo,-,Mitú Airport,MVP,SKMU,Colombia,La Pedrera Airport,LPD,SKLP,Colombia,4,4,1,4,-,-,-
19550202-0,Wednesday,02-FEB-1955,03:50,A1, En route (ENR),Nagpur,India,10,10, Damaged beyond repair,-,Douglas C-47A-20-DK (DC-3),2,Pratt & Whitney R-1830-92,1944,-,-, VT-CVB, 13037,Indian Airlines,Domestic Scheduled Passenger,-,Nagpur-Sonegaon Airport,NAG,VANP,India,-,-,-,-,4,6,4,6,-,-,-
19550205-0,Saturday,05-FEB-1955,10:04,A1, En route (ENR),84 km (52.5 mls) NW of Calabar,Nigeria,13,13, Damaged beyond repair,-,Bristol 170 Freighter 21E,-,-,-,-,-, VR-NAD, 12779,West African Airways,Domestic Scheduled Passenger,-,Enugu Airport,ENU,DNEN,Nigeria,Calabar Airport,CBQ,DNCA,Nigeria,4,9,4,9,-,-,-
19550213-0,Sunday,13-FEB-1955,19:53,A1, En route (ENR),Monte Terminillo,Italy,29,29, Destroyed, Written off (damaged beyond repair),Douglas DC-6,-,-,1947,-,-, OO-SDB, 43063/60,Sabena,International Scheduled Passenger, 503,-,-,-,-,Roma-Ciampino Airport,CIA,LIRA,Italy,8,21,8,21,-,-,Final
