identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19260818-0,Wednesday,18-AUG-1926,14:30,A1, En route (ENR),"Hurst, near Ashford, Kent",United Kingdom,15,4, Damaged beyond repair,-,Blériot 155,4,Renault 8Fg,1926,-,47.0, F-AIEB, 2,Air Union,International Scheduled Passenger,-,Paris-Le Bourget Airport,LBG,LFPB,France,-,-,-,-,2,13,2,2,-,-,-
19261002-0,Saturday,02-OCT-1926,-,A1, En route (ENR),"Leigh, Kent",United Kingdom,7,7, Damaged beyond repair,-,Blériot 155,-,-,-,-,-, F-AICQ, 1,Air Union,International Scheduled Passenger,-,Paris-Le Bourget Airport,LBG,LFPB,France,-,-,-,-,-,-,-,-,-,-,-
19261021-0,Thursday,21-OCT-1926,-,A1, En route (ENR),English Channel,United Kingdom,12,0, Damaged beyond repair,-,Handley Page W.10,-,-,-,-,-, G-EBMS, W.10/3,Imperial Airways,International Scheduled Passenger,-,-,-,-,-,Paris-Le Bourget Airport,LBG,LFPB,France,2,10,0,0,-,-,-
19261120-0,Saturday,20-NOV-1926,-,A1, Unknown (UNK),Königsberg,Germany,-,-, Damaged beyond repair,-,Junkers G.24,-,-,1925,-,-, D-944, 907,Deutsche Lufthansa,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
