identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19530101-0,Thursday,01-JAN-1953,11:00,A1, En route (ENR),Spernall,United Kingdom,25,0, Damaged beyond repair,-,Douglas DC-3D,-,-,1946,-,10968.0, EI-ACF, 42957,Aer Lingus,International Scheduled Passenger,-,Dublin Airport,DUB,EIDW,Ireland,Birmingham International Airport,BHX,EGBB,United Kingdom,3,22,0,0,-,-,-
19530101-1,Thursday,01-JAN-1953,22:22,A2, Landing (LDG),"27,5 km (17.2 mls) from  Dhahran",Saudi Arabia,66,0, Substantial, Repaired,Douglas C-54B-1-DC (DC-4),-,-,1944,-,-, PH-TDL, 10488,KLM,Int'l Non Scheduled Passenger,-,Roma-Ciampino Airport,CIA,LIRA,Italy,Basra International Airport,BSR,ORMM,Iraq,10,56,0,0,-,-,Final
19530102-0,Friday,02-JAN-1953,-,A1, Unknown (UNK),"3 km (1.9 mls) S of Raleigh/Durham Airport, NC (RDU)",United States of America,4,3, Damaged beyond repair,-,Douglas C-47A-80-DL (DC-3),-,-,1944,-,-, 43-15273, 19739,USAF,Military,-,Newburgh-Stewart Air Force Base,SWF,KSWF,United States of America,Fayetteville-Pope AFB,POB,KPOB,United States of America,4,0,3,0,-,-,-
19530102-1,Friday,02-JAN-1953,-,A1, Unknown (UNK),at an unknown location,Unknown country,-,-, Damaged beyond repair,-,Lockheed P2V-5 Neptune,-,-,-,-,-, 124886,-,US Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19530105-0,Monday,05-JAN-1953,-,A1, Approach (APR),Belfast-Nutts Corner Airport,United Kingdom,35,27, Damaged beyond repair,-,Vickers 610 Viking 1B,-,-,1949,-,-, G-AJDL, 262,BEA,Domestic Scheduled Passenger,-,London-Northolt Airport,NHT,EGWU,United Kingdom,-,-,-,-,4,31,3,24,-,-,-
19530107-0,Wednesday,07-JAN-1953,04:12,A1, En route (ENR),"13 km (8.1 mls) W of Fish Haven, ID",United States of America,40,40, Damaged beyond repair,-,Curtiss C-46F-1-CU Commando,2,Pratt & Whitney R-2800,1945,-,1941.0, N1648M, 22395,Associated Air Transport,Domestic Non Scheduled Passenger,-,Seattle-Boeing Field International Airport,BFI,KBFI,United States of America,Cheyenne Airport,CYS,KCYS,United States of America,3,37,3,37,-,-,Final
19530107-1,Wednesday,07-JAN-1953,20:55,A1, Approach (APR),"3 km (1.9 mls) S of Issaquah, WA",United States of America,7,7, Damaged beyond repair,-,Douglas C-54B-10-DO (DC-4),4,Pratt & Whitney R-2000-7,1944,-,20078.0, N86574, 18350,Flying Tiger Line,Ferry/positioning, 841,San Francisco International Airport,SFO,KSFO,United States of America,Seattle-Boeing Field International Airport,BFI,KBFI,United States of America,4,3,4,3,-,-,Final
19530110-0,Saturday,10-JAN-1953,-,A1, Approach (APR),Myeik,Myanmar,18,0, Damaged beyond repair,-,Douglas C-47B-1-DK (DC-3),2,Pratt & Whitney R-1830-90C,1944,-,-, XY-ACL, 25818/14373,Union of Burma Airways,Domestic Scheduled Passenger,-,Dawei Airport,TVY,VYDW,Myanmar,Myeik Airport,MGZ,VYME,Myanmar,3,15,0,0,-,-,-
19530111-0,Sunday,11-JAN-1953,-,A1, Approach (APR),near Jönköping Airport (JKG),Sweden,2,2, Damaged beyond repair,-,Lockheed 18-56 Lodestar,-,-,1941,-,-, SE-BUX, 18-2071,Dagens Nyheter,Cargo,-,-,-,-,-,Jönköping Airport,JKG,ESGJ,Sweden,2,0,2,0,-,-,-
19530112-0,Monday,12-JAN-1953,-,A1, En route (ENR),"5,6 km (3.5 mls) WSW of Shallufa RAF Station",Egypt,9,9, Damaged beyond repair,-,Handley Page Hastings C.1,-,-,-,-,-, TG602, HP67/80,RAF,Military,-,-,-,-,-,-,-,-,-,5,4,5,4,-,-,-
