identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19800602-1,Monday,02-JUN-1980,-,A1, Approach (APR),near Yacuiba,Bolivia,13,13, Damaged beyond repair,-,Fairchild F-27J,-,-,1965,-,-, CP-1117, 118,LAB,Domestic Scheduled Passenger,-,-,-,-,-,Yacuiba Airport,BYC,SLYA,Bolivia,3,10,3,10,-,-,-
19800603-0,Tuesday,03-JUN-1980,-,O1, Standing (STD),"Allentown International Airport, PA (ABE)",United States of America,9,0, Damaged beyond repair,-,Shorts 330-100,-,-,1980,-,-, N844SA, SH.3041,Suburban Airlines,Domestic Scheduled Passenger,-,Allentown-Lehigh Valley International Airport,ABE,KABE,United States of America,New York-John F. Kennedy International Airport,JFK,KJFK,United States of America,3,6,0,0,-,-,-
19800606-0,Friday,06-JUN-1980,-,A1, Landing (LDG),near Moskva-Vnukovo Airport (VKO),Russia,-,3, Damaged beyond repair,-,Antonov An-22A,4,Kuznetsov NK-12MA,1974,-,-, CCCP-09311, 043481251,Soviet AF,Military,-,-,-,-,-,Moskva-Sheremetyevo Airport,SVO,UUEE,Russia,-,-,3,0,-,-,-
19800608-0,Sunday,08-JUN-1980,15:32,C1, En route (ENR),near Matala,Angola,19,19, Damaged beyond repair,-,Yakovlev Yak-40K,3,Ivchenko AI-25,1977,-,-, D2-TYC, 9721753,TAAG,Domestic Scheduled Passenger,-,Lubango Airport,SDD,FNUB,Angola,-,-,-,-,4,15,4,15,-,-,-
19800612-0,Thursday,12-JUN-1980,-,A1, Takeoff (TOF),Brno-Cernovice,Czech Republic,-,-, Damaged beyond repair,-,Avia 14T,-,-,-,-,-, 3151, 174913151,Czechoslovak AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19800612-1,Thursday,12-JUN-1980,15:46,A1, Approach (APR),"ca 5 km N of Valley, NE",United States of America,15,13, Destroyed, Written off (damaged beyond repair),Swearingen SA226-TC Metro II,2,Garrett TPE331-3VW-303G,1976,-,8055.0, N650S, TC-228,Air Wisconsin,Domestic Scheduled Passenger, 965,Minneapolis-St. Paul International Airport,MSP,KMSP,United States of America,Lincoln Municipal Airport,LNK,KLNK,United States of America,2,13,2,11,-,-,Final
19800612-2,Thursday,12-JUN-1980,13:44,A1, Approach (APR),44 km (27.5 mls) NW of Dushanbe,Tajikistan,29,29, Damaged beyond repair,-,Yakovlev Yak-40,3,Ivchenko AI-25,1969,-,-, CCCP-87689, 9910403,Aeroflot / Tajikistan,Domestic Scheduled Passenger,-,Leninabad Airport,LBD,UTDL,Tajikistan,Dushanbe Airport,DYU,UTDD,Tajikistan,4,25,4,25,-,-,-
19800614-0,Saturday,14-JUN-1980,-,A1, Landing (LDG),Khost Airport (KHT),Afghanistan,-,0, Damaged beyond repair,-,Antonov An-26,-,-,-,-,-, 235,-,Afghan AF,Military,-,Kabul Airport,KBL,OAKB,Afghanistan,Khost Airport,KHT,OAKS,Afghanistan,-,-,0,0,-,-,-
19800617-0,Tuesday,17-JUN-1980,-,A1, Landing (LDG),Kabul Airport (KBL),Afghanistan,-,-, Damaged beyond repair,-,Antonov An-26,-,-,-,-,-, 229,-,Soviet AF,Military,-,-,-,-,-,Kabul Airport,KBL,OAKB,Afghanistan,-,-,-,-,-,-,-
19800619-0,Thursday,19-JUN-1980,18:49,A1, Landing (LDG),"Yuma International Airport, AZ (YUM)",United States of America,3,0, Substantial, Written off (damaged beyond repair),McDonnell Douglas DC-9-81 (MD-81),2,Pratt & Whitney JT8D-209,1979,-,6.0, N1002G, 48001/917,McDonnell Douglas,Test,-,Yuma International Airport,YUM,KYUM,United States of America,Yuma International Airport,YUM,KYUM,United States of America,3,0,0,0,-,-,Final
19800619-1,Thursday,19-JUN-1980,04:56,A1, Landing (LDG),"Atlanta Municipal Airport, GA (ATL)",United States of America,4,0, Damaged beyond repair,-,Sud Aviation SE-210 Caravelle VI-R,2,Rolls-Royce Avon 533R,1961,-,-, N905MW,  95,Airborne Express,Cargo,-,Wilmington-Clinton Field,ILN,KILN,United States of America,Atlanta Municipal Airport,ATL,KATL,United States of America,3,1,0,0,-,-,Final
19800621-0,Saturday,21-JUN-1980,-,A1, Takeoff (TOF),Chiang Rai Airport (CEI),Thailand,21,0, Damaged beyond repair,-,Hawker Siddeley HS-748-243 Srs. 2,-,-,1970,-,-, HS-THG, 1693,Thai Airways,Domestic Scheduled Passenger,-,Chiang Rai Airport,CEI,VTCT,Thailand,-,-,-,-,3,18,0,0,-,-,-
19800622-0,Sunday,22-JUN-1980,13:59,A1, Initial climb (ICL),"1,4 km (0.9 mls) SW of Columbus Municipal Airport, IN (CLU)",United States of America,8,3, Destroyed, Written off (damaged beyond repair),Lockheed L-1049H Super Constellation,4,Wright R-3350-42,1959,-,-, N74CA, 4850,Air Traders Int.,Ferry/positioning,-,Columbus Municipal Airport,CLU,KBAK,United States of America,Seattle/Tacoma International Airport,SEA,KSEA,United States of America,3,5,2,1,-,-,Final
19800627-0,Friday,27-JUN-1980,20:59,C1, En route (ENR),"25 km (15.6 mls) NE off  Ustica, Italy [Tyrrhenian Sea]",Mediterranean Sea,81,81, Destroyed, Written off (damaged beyond repair),Douglas DC-9-15,2,Pratt & Whitney JT8D-7,1966,45032.0,29544.0, I-TIGI, 45724/22,Itavia,Domestic Scheduled Passenger, 870,Bologna-Borgo Panigale Airport,BLQ,LIPE,Italy,Palermo-Punta Raisi Airport,PMO,LICJ,Italy,4,77,4,77,-,-,-
19800627-1,Friday,27-JUN-1980,-,A1, Unknown (UNK),off Isola d'Elba,Italy,3,0, Damaged beyond repair,-,Britten-Norman BN-2A-6 Islander,-,-,1970,-,-, I-BADE, 237,Transavio,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19800630-0,Monday,30-JUN-1980,-,H2, En route (ENR),"Buenos Aires, BA",Argentina,-,0, Unknown,-,Boeing 737-287C,-,-,1970,-,-, LV-JND, 20407/263,Aerolineas Argentinas,Domestic Scheduled Passenger,-,Mar Del Plata Airport,MDQ,SAZM,Argentina,-,-,-,-,-,-,0,0,-,-,-
19800702-0,Wednesday,02-JUL-1980,-,A1, En route (ENR),"96 km (60 mls) off  Prachuap Khiri Khan Province, Thailand",Indian Ocean,21,2, Damaged beyond repair,-,Douglas C-47 (DC-3),-,-,-,-,-, registration unknown,-,Thai Navy,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Preliminary
19800705-0,Saturday,05-JUL-1980,12:08,A1, Landing (LDG),"King Salmon Airport, AK (AKN)",United States of America,2,0, Damaged beyond repair,-,Fairchild C-119 Flying Boxcar,-,-,-,-,-, N90268, 11219,Gifford Aviation,Cargo,-,Kenai Airport,ENA,PAEN,United States of America,King Salmon Airport,AKN,PAKN,United States of America,2,0,0,0,-,-,Final
