identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
20150102-0,Friday,02-JAN-2015,08:33,A1, Takeoff (TOF),Stornoway Airport (SYY),United Kingdom,29,0, Substantial, Written off (damaged beyond repair),Saab 340B,2,General Electric CT7-9B,1991,-,-, G-LGNL, 340B-246,Loganair,Domestic Scheduled Passenger,BE6821,Stornoway Airport,SYY,EGPO,United Kingdom,Glasgow International Airport,GLA,EGPF,United Kingdom,3,26,0,0,-,-,Final
20150103-0,Saturday,03-JAN-2015,11:19,A1, Takeoff (TOF),Magadan-Sokol Airport (GDX),Russia,10,0, Substantial, Written off (damaged beyond repair),Antonov An-26B-100,2,Ivchenko AI-24VT,1981,6810.0,13698.0, RA-26082, 11705,KAPO Avia,Ferry/positioning,-,Magadan-Sokol Airport,GDX,UHMM,Russia,Mirny Airport,MJZ,UERR,Russia,4,6,0,0,-,-,Final
20150104-0,Sunday,04-JAN-2015,11:02,A1, Landing (LDG),Nairobi-Jomo Kenyatta International Airport (NBO),Kenya,10,0, Substantial,-,Fokker 50,2,Pratt & Whitney Canada PW125B,1989,-,-, 5Y-SIB, 20167,Skyward International Aviation,Cargo,-,Wajir Airport,WJR,HKWJ,Kenya,Nairobi-Wilson Airport,WIL,HKNW,Kenya,4,6,0,0,-,-,Final
20150109-0,Friday,09-JAN-2015,08:28,A2, Landing (LDG),Matthews Ridge Airport (MWJ),Guyana,15,0, Substantial, Repaired,Cessna 208B Grand Caravan,1,Pratt & Whitney Canada PT6A-114A,2004,-,13488.0, 8R-GAB, 208B1070,Trans Guyana Airways,Domestic Scheduled Passenger,TGA103A,Ogle Airport,OGL,SYGO,Guyana,Matthews Ridge Airport,MWJ,SYMR,Guyana,1,14,0,0,-,-,Final
20150110-0,Saturday,10-JAN-2015,11:05,A1, Landing (LDG),Accra-Kotoka Airport (ACC),Ghana,3,0, Substantial, Written off (damaged beyond repair),Boeing 737-43QSF,2,CFMI CFM56-3C1,1996,-,-, ET-AQV, 28493/2838,Ethiopian Airlines,Cargo,KP4016,Lome Airport,LFW,DXXX,Togo,Accra-Kotoka Airport,ACC,DGAA,Ghana,3,0,0,0,-,-,Preliminary
20150111-0,Sunday,11-JAN-2015,13:30,A2, Landing (LDG),Enarotali Airport (EWI),Indonesia,3,0, Substantial,-,de Havilland Canada DHC-6 Twin Otter 300,2,Pratt & Whitney Canada PT6A-27,1980,-,-, PK-YRU, 685,Trigana Air Service,Ferry/positioning,-,Timika-Moses Kilangin (Tembagapura) Airport,TIM,WABP,Indonesia,Enarotali Airport,EWI,WABT,Indonesia,3,0,0,0,-,-,Final
20150112-0,Monday,12-JAN-2015,-,O1, Standing (STD),Hamburg-Fuhlsbüttel Airport (HAM),Germany,-,0, Substantial, Written off (damaged beyond repair),Dornier 328-110,2,Pratt & Whitney Canada PW119B,1994,-,-, D-CIRD, 3011,Sun-Air,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
20150115-0,Thursday,15-JAN-2015,01:45,A2, Standing (STD),Coventry-Baginton Airport (CVT),United Kingdom,2,0, Minor, Repaired,British Aerospace ATP-F (LFD),2,Pratt & Whitney Canada PW126,1988,-,-, G-BTPC, 2010,Atlantic Airlines,Cargo,-,Coventry-Baginton Airport,CVT,EGBE,United Kingdom,Dublin Airport,DUB,EIDW,Ireland,2,0,0,0,-,-,Final
20150116-0,Friday,16-JAN-2015,-,A1, Landing (LDG),Los Roques Airport (LRV),Venezuela,10,0, Substantial,-,Britten-Norman BN-2A-8 Islander,-,-,1971,-,-, YV2238, 296,Chapi Air,Passenger,-,-,-,-,-,Los Roques Airport,LRV,SVRS,Venezuela,-,-,0,0,-,-,Preliminary
20150117-0,Saturday,17-JAN-2015,13:35,A1, Takeoff (TOF),Tacloban Airport (TAC),Philippines,16,0, Substantial,-,Bombardier BD-700-1A11 Global 5000,-,-,2009,-,-, RP-C9363, 9363,Challenger Aero Corporation Metro Manila,Executive,-,Tacloban Airport,TAC,RPVA,Philippines,Manila-Ninoy Aquino International Airport,MNL,RPLL,Philippines,2,14,0,0,-,-,Final
20150118-0,Sunday,18-JAN-2015,-,A1, Approach (APR),near Abu adh Dhuhur Air Base,Syria,30,30, Destroyed, Written off (damaged beyond repair),Antonov An-26,-,-,1975,-,-, YK-AND, 3008,Syrian Air Force,Military,-,-,-,-,-,-,-,-,-,6,24,6,24,-,-,Preliminary
20150120-0,Tuesday,20-JAN-2015,15:40,A1, En route (ENR),20 km (12.5 mls) from  Shatyrkul Mine,Kazakhstan,7,6, Damaged beyond repair,-,Antonov An-2P,-,-,1973,-,13080.0, UP-A0314, 1G149-70,Olimp Air,Domestic Non Scheduled Passenger,-,Balkhash Airport,BXH,UAAH,Kazakhstan,-,-,-,-,3,4,3,3,-,-,Preliminary
20150120-1,Tuesday,20-JAN-2015,-,A2, Unknown (UNK),"Dawlatabad District, Balkh Province",Afghanistan,2,0, Substantial,-,IRMA/Pilatus Britten-Norman BN-2T Islander,2,Allison 250-B17C,1986,-,-, ZS-NAT, 2158,Xcel Aviation,Unknown,-,-,-,-,-,-,-,-,-,2,0,0,0,-,-,Preliminary
20150120-2,Tuesday,20-JAN-2015,10:55,A2, Standing (STD),Nürnberg Airport (NUE),Germany,-,0, Substantial, Repaired,Fokker 100,2,Rolls-Royce Tay 650-15,1993,37191.0,51879.0, HB-JVE, 11459,Swiss,International Scheduled Passenger,LX1189,Nürnberg Airport,NUE,EDDN,Germany,Zürich-Kloten Airport,ZRH,LSZH,Switzerland,-,-,0,0,-,-,Final
20150126-0,Monday,26-JAN-2015,16:45,C2, Approach (APR),near Baghdad International Airport (BGW),Iraq,-,0, Minor, Repaired,Boeing 737-8KN (WL),2,CFMI CFM56-7B27E,2013,-,-, A6-FEK, 40282/4738,flydubai,International Scheduled Passenger,FZ215,Dubai Airport,DXB,OMDB,United Arab Emirates,Baghdad International Airport,BGW,ORBI,Iraq,-,-,0,0,-,-,Preliminary
20150129-0,Thursday,29-JAN-2015,-,C1, En route (ENR),off Boca Druif,Aruba,3,3, Damaged beyond repair,-,Canadair CL-600-2A12 Challenger 601,-,-,1983,-,-, N214FW, 3008,Dinama Aircorp,Illegal Flight,-,-,-,-,-,-,-,-,-,3,0,3,0,-,-,-
20150130-0,Friday,30-JAN-2015,-,C1, Standing (STD),Tripoli-Mitiga International Airport (MJI),Libya,0,0, Destroyed, Written off (damaged beyond repair),Ilyushin Il-76T,-,-,1981,-,-, 5A-DNK, 0013430882,Libyan Air Cargo,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,- (No safety board investigation)
20150202-0,Monday,02-FEB-2015,07:36,A1, Landing (LDG),Rhodes/Paradisi-Diagoras Airport (RHO),Greece,19,0, Substantial, Written off (damaged beyond repair),British Aerospace 4100 Jetstream 41,2,Garrett TPE331-14GR,1995,-,28327.0, SX-DIA, 41075,Sky Express,Domestic Scheduled Passenger,GQ100,Heraklion Airport,HER,LGIR,Greece,Rhodes/Paradisi-Diagoras Airport,RHO,LGRP,Greece,3,16,0,0,-,-,Final
20150204-0,Wednesday,04-FEB-2015,10:54,A1, Initial climb (ICL),"5,3 km (3.3 mls) E of Taipei-Songshan Airport (TSA)",Taiwan,58,43, Destroyed, Written off (damaged beyond repair),ATR 72-212A (ATR-72-600),2,Pratt & Whitney Canada PW127M,2014,2356.0,1627.0, B-22816, 1141,TransAsia Airways,Domestic Scheduled Passenger,GE235,Taipei-Songshan Airport,TSA,RCSS,Taiwan,Kinmen-Shang-Yi Airport,KNH,RCBS,Taiwan,5,53,4,39,-,-,Final
20150209-0,Monday,09-FEB-2015,06:15,A2, Taxi (TXI),"Sebastian Municipal Airport, FL",United States of America,1,0, Substantial, Repaired,de Havilland Canada DHC-6 Twin Otter 200,2,Pratt & Whitney Canada PT6A-27,1968,-,-, N30EA, 191,Eagle Air Transport,Ferry/positioning,-,-,-,-,-,George Town-Exuma International Airport,GGT,MYEG,Bahamas,1,0,0,0,-,-,Final
20150209-1,Monday,09-FEB-2015,06:15,A2, Standing (STD),"Sebastian Municipal Airport, FL",United States of America,1,0, Substantial, Repaired,de Havilland Canada DHC-6 Twin Otter 200,2,Pratt & Whitney Canada PT6A-27,1968,-,-, N70EA, 139,Eagle Air Transport,Ferry/positioning,-,-,-,-,-,George Town-Exuma International Airport,GGT,MYEG,Bahamas,1,0,0,0,-,-,Final
20150211-0,Wednesday,11-FEB-2015,14:39,A1, Initial climb (ICL),"4,5 km (2.8 mls) W of Miami Executive Airport, FL (TMB)",United States of America,4,4, Destroyed, Written off (damaged beyond repair),Beechcraft 1900C,2,Pratt & Whitney Canada PT6A-65B,1988,-,35373.0, YV1674, UC-47,Aeropanamericano,Ferry/positioning,-,Miami Executive Airport,TMB,KTMB,United States of America,Providenciales International Airport,PLS,MBPV,Turks and Caicos Islands,2,2,2,2,-,-,Final
20150214-0,Saturday,14-FEB-2015,20:58,A1, Landing (LDG),Malange Airport (MEG),Angola,47,0, Damaged beyond repair,-,Antonov An-32B,-,-,1989,-,-, T-256, 2108,Angolan AF,Military,-,Saurimo Airport,VHC,FNSA,Angola,Luanda Airport,LAD,FNLU,Angola,-,-,0,0,-,-,-
20150214-1,Saturday,14-FEB-2015,15:30,A1, Takeoff (TOF),near Quelimane Airport,Mozambique,6,0, Substantial, Written off (damaged beyond repair),Antonov An-26B-100,-,-,1981,-,-, FA312, 11603 ?,Mozambique AF,Military,-,Quelimane Airport,UEL,FQQL,Mozambique,-,-,-,-,6,0,0,0,-,-,Preliminary
20150218-0,Wednesday,18-FEB-2015,-,O2, Standing (STD),Kiev-Borispol Airport (KBP),Ukraine,-,0, Substantial,-,Antonov An-26B,-,-,1986,-,-, EW-246TG, 14403,Genex,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
20150218-1,Wednesday,18-FEB-2015,-,O1, Standing (STD),Kiev-Borispol Airport (KBP),Ukraine,0,0, Substantial,-,Yakovlev Yak-40,-,-,1976,-,-, UR-MIG, 9641250,BPV Group,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-
20150218-2,Wednesday,18-FEB-2015,14:30,A2, Standing (STD),Sharjah Airport (SHJ),United Arab Emirates,-,0, Substantial,-,Airbus A300B4-605R(F),2,General Electric CF6-80C2A5,1992,-,-, A6-JIM, 643,Unique Air,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,Preliminary
20150218-3,Wednesday,18-FEB-2015,-,O1, Standing (STD),Samara Airport (KUF),Russia,0,0, Damaged beyond repair,-,Tupolev Tu-154B-2,-,-,1983,-,-, RA-85587, 83A587,Russian AF,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,- (No safety board investigation)
20150223-0,Monday,23-FEB-2015,19:54,A2, Landing (LDG),"Guernsey Airport, Channel Islands (GCI)",United Kingdom,51,0, Minor, Repaired,British Aerospace BAe-146-200,4,Lycoming ALF502R-5,1988,-,-, G-RAJJ, E2108,Cello Aviation,Domestic Scheduled Passenger,GR1607,London-Gatwick Airport,LGW,EGKK,United Kingdom,Guernsey Airport,GCI,EGJB,United Kingdom,4,47,0,0,-,-,Final
20150224-0,Tuesday,24-FEB-2015,18:25,A2, Landing (LDG),"Sault Ste. Marie Airport, ON (YAM)",Canada,18,0, Substantial, Repaired,de Havilland Canada DHC-8-102,2,Pratt & Whitney Canada PW120A,1987,-,-, C-GTAI, 078,Air Canada Express,Domestic Scheduled Passenger,AC7795,Toronto-Pearson International Airport,YYZ,CYYZ,Canada,Sault Ste. Marie Airport,YAM,CYAM,Canada,3,15,0,0,-,-,Final
20150224-1,Tuesday,24-FEB-2015,06:12,A2, Taxi (TXI),"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)",United States of America,1,0, Substantial, Repaired,Cessna 208B Super Cargomaster,1,Pratt & Whitney Canada PT6A-114A,2012,-,1103.0, N989FX, 208B2403,FedEx,Cargo,-,Newark-Liberty International Airport,EWR,KEWR,United States of America,Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI,United States of America,1,0,0,0,-,-,Final
20150226-0,Thursday,26-FEB-2015,07:45,A2, Standing (STD),"St. John's Airport, NF (YYT)",Canada,2,0, Substantial, Repaired,Boeing 757-28A (PCF),2,Rolls-Royce RB211-535E4,1987,-,-, C-GIAJ, 23767/127,Cargojet Airways,Cargo,W8620,Halifax-Stanfield International Airport,YHZ,CYHZ,Canada,St. John's Airport,YYT,CYYT,Canada,2,0,0,0,-,-,-
20150301-0,Sunday,01-MAR-2015,16:15,A1, Landing (LDG),"Marco Island Airport, FL (MRK)",United States of America,9,0, Substantial, Written off (damaged beyond repair),Canadair CL-600-2B16 Challenger 601-3A,2,General Electric CF34-3A,1983,-,15771.0, N600NP, 3002,Six Hundred NP,Executive,-,Marathon-Florida Keys Airport,MTH,KMTH,United States of America,Marco Island Airport,MRK,KMKY,United States of America,3,6,0,0,-,-,Final
